Date,Symbol,Exchange,garch,svr,mlp,LSTM,prev_Close,prediction,volatility,ActualDate,ActualClose,ActualPercent,ActualStd,ActualTrend
2022-01-03,AAL,NASDAQ,7.80073,2.68296,2.67993,19.2347,18.75,1.0,2.68144,2022-01-04,19.02,1.4399999999999977,,0.0
2022-01-03,AAPL,NASDAQ,2.24893,1.38374,1.34301,161.639,182.01,0.0,1.36338,2022-01-04,179.7,1.2691610351079625,,0.0
2022-01-03,AMAT,NASDAQ,4.97567,1.58561,1.55923,141.783,159.93,0.0,1.57242,2022-01-04,158.36,0.9816794847745846,,0.0
2022-01-03,AMC,NYSE,30.5176,3.79159,4.79857,37.5044,26.52,1.0,4.29508,2022-01-04,25.49,3.8838612368024177,,-1.0
2022-01-03,AMD,NASDAQ,8.68112,3.00354,2.91554,138.209,150.24,-1.0,2.95954,2022-01-04,144.42,3.8738019169329214,,-1.0
2022-01-03,AVTR,NYSE,3.6536,2.10577,1.99953,39.671,40.56,-1.0,2.05265,2022-01-04,39.17,3.427021696252467,,-1.0
2022-01-03,BA,NYSE,4.60339,1.87977,1.8441,206.162,207.86,0.0,1.86193,2022-01-04,213.63,2.77590686038679,,1.0
2022-01-03,BAC,NYSE,3.27527,1.74764,1.79077,44.1282,46.18,0.0,1.76921,2022-01-04,47.99,3.919445647466441,,1.0
2022-01-03,BMY,NYSE,1.17826,0.454741,0.450034,59.2077,61.88,0.0,0.452387,2022-01-04,62.13,0.40400775694893337,,0.0
2022-01-03,BRO,NYSE,1.94623,1.23602,1.10702,65.6639,68.79,0.0,1.17152,2022-01-04,69.12,0.4797208896641929,,0.0
2022-01-03,BSX,NYSE,1.96947,1.02994,1.03199,41.0387,43.12,0.0,1.03096,2022-01-04,43.64,1.2059369202226418,,0.0
2022-01-03,C,NYSE,2.08784,2.06601,2.054,60.8745,63.1,-1.0,2.06001,2022-01-04,63.59,0.7765451664025388,,0.0
2022-01-03,CCL,NYSE,12.9482,3.38865,3.45633,18.7478,21.41,-1.0,3.42249,2022-01-04,21.73,1.494628678187764,,0.0
2022-01-03,CLF,NYSE,8.51944,1.78004,1.3386,23.6755,21.73,0.0,1.55932,2022-01-04,22.62,4.095720202485046,,1.0
2022-01-03,CMCSA,NASDAQ,1.37292,0.722805,0.510969,52.2375,50.74,0.0,0.616887,2022-01-04,50.19,1.0839574300354835,,0.0
2022-01-03,COP,NYSE,3.57532,1.4481,1.18118,71.5008,73.77,0.0,1.31464,2022-01-04,76.97,4.337806696489092,,1.0
2022-01-03,CSCO,NASDAQ,1.36962,0.522273,0.49385,55.6487,63.16,0.0,0.508062,2022-01-04,61.25,3.0240658644711793,,-1.0
2022-01-03,CTLT,NYSE,4.10198,1.82012,1.78878,127.008,124.49,0.0,1.80445,2022-01-04,119.64,3.8958952526307287,,-1.0
2022-01-03,CZR,NASDAQ,7.16978,0.931283,0.790084,98.4304,93.47,0.0,0.860683,2022-01-04,89.95,3.765914197068574,,-1.0
2022-01-03,DAL,NYSE,5.71471,1.8758,1.71758,37.3843,40.29,0.0,1.79669,2022-01-04,40.59,0.7446016381236145,,0.0
2022-01-03,DBA,AMEX,0.687181,0.798259,0.712113,19.635,19.67,0.0,0.755186,2022-01-04,19.8,0.6609049313675597,,0.0
2022-01-03,DKNG,NASDAQ,12.7427,4.46863,4.44648,39.4489,27.77,1.0,4.45756,2022-01-04,26.63,4.105149441843718,,-1.0
2022-01-03,EBAY,NASDAQ,3.12291,0.637812,0.454095,55.9771,66.8,0.0,0.545954,2022-01-04,65.14,2.4850299401197553,,-1.0
2022-01-03,EFA,AMEX,0.556492,0.494828,0.392854,78.6465,79.19,0.0,0.443841,2022-01-04,79.64,0.568253567369621,,0.0
2022-01-03,EWW,AMEX,1.29296,0.573281,0.526369,47.9576,50.42,0.0,0.549825,2022-01-04,50.54,0.2380007933359727,,0.0
2022-01-03,EWZ,AMEX,3.51461,1.8312,1.83405,31.6086,27.36,0.0,1.83262,2022-01-04,27.24,0.4385964912280738,,0.0
2022-01-03,FB,NASDAQ,3.2464,1.27534,1.19794,299.428,338.54,0.0,1.23664,2022-01-04,336.53,0.5937259998818597,,0.0
2022-01-03,FCX,NYSE,6.34403,0.731884,0.491478,39.9596,41.48,0.0,0.611681,2022-01-04,42.15,1.6152362584378057,,0.0
2022-01-03,FE,NYSE,0.9914,0.795743,0.790826,39.3136,41.24,0.0,0.793284,2022-01-04,41.08,0.38797284190107584,,0.0
2022-01-03,GLD,AMEX,0.519599,0.971616,0.915814,169.075,168.33,0.0,0.943715,2022-01-04,169.57,0.7366482504603936,,0.0
2022-01-03,GM,NYSE,4.97042,2.28777,1.92805,57.0444,61.17,-1.0,2.10791,2022-01-04,65.74,7.470982507765234,,1.0
2022-01-03,HPQ,NYSE,3.70923,0.797105,0.566156,34.592,38.02,0.0,0.681631,2022-01-04,39.2,3.1036296685954747,,1.0
2022-01-03,HYG,AMEX,0.0408627,0.261373,0.063625,86.6564,86.97,0.0,0.162499,2022-01-04,86.75,0.25296079107738173,,0.0
2022-01-03,INTC,NASDAQ,2.40587,1.68043,1.44624,48.7084,53.21,0.0,1.56334,2022-01-04,53.14,0.13155421913174267,,0.0
2022-01-03,IWM,AMEX,1.68089,0.729115,0.718411,222.546,225.32,0.0,0.723763,2022-01-04,224.98,0.15089650275164362,,0.0
2022-01-03,IYR,AMEX,0.623986,0.563931,0.532834,108.446,115.26,0.0,0.548383,2022-01-04,115.04,0.19087280930071043,,0.0
2022-01-03,JPM,NYSE,1.85262,0.985892,0.952253,158.773,161.7,0.0,0.969072,2022-01-04,167.83,3.790970933828092,,1.0
2022-01-03,KDP,NASDAQ,1.11812,0.771284,0.427094,35.6746,36.71,0.0,0.599189,2022-01-04,37.26,1.498229365295552,,0.0
2022-01-03,KO,NYSE,0.527344,0.387316,0.335588,56.5151,59.3,0.0,0.361452,2022-01-04,60.29,1.6694772344013526,,0.0
