Date,Symbol,Exchange,garch,svr,mlp,LSTM,prev_Close,prediction,volatility,ActualDate,ActualClose,ActualPercent,ActualTrend
2022-04-04,AAL,NASDAQ,9.28532,2.47927,2.28121,16.6536,18.23,-1,4.68193,2022-04-05,17.84,2.13933077345036,-1
2022-04-04,AAPL,NASDAQ,2.79687,1.75485,1.60878,159.021,178.44,-1,2.0535,2022-04-05,175.06,1.8941941268773792,0
2022-04-04,AMAT,NASDAQ,6.81057,3.11612,3.1123,131.545,129.44,1,4.34633,2022-04-05,121.71,5.9718788627935755,-1
2022-04-04,AMC,NYSE,101.918,5.43978,5.71697,16.0923,23.31,-1,37.6917,2022-04-05,21.21,9.009009009009,-1
2022-04-04,AMD,NASDAQ,16.3012,4.39617,4.4373,110.454,110.53,-1,8.37822,2022-04-05,106.82,3.35655478150729,-1
2022-04-04,AVTR,NYSE,3.52502,2.27644,2.18243,34.6188,32.75,1,2.6613,2022-04-05,31.62,3.45038167938931,-1
2022-04-04,BA,NYSE,4.31598,1.77007,1.72795,185.453,191.18,-1,2.60467,2022-04-05,182.65,4.461763782822471,-1
2022-04-04,BAC,NYSE,3.06346,1.64322,1.64232,42.6584,40.83,1,2.11633,2022-04-05,40.14,1.6899338721528232,0
2022-04-04,BMY,NYSE,0.978525,0.849474,0.75139,71.3836,73.79,0,0.859796,2022-04-05,74.43,0.8673261959615131,0
2022-04-04,BRO,NYSE,1.12373,0.614051,0.52735,64.3777,72.2,0,0.755044,2022-04-05,72.36,0.22160664819944123,0
2022-04-04,BSX,NYSE,2.27682,1.48387,1.4764,43.2241,44.16,0,1.7457,2022-04-05,44.35,0.43025362318841676,0
2022-04-04,C,NYSE,2.66509,1.88257,1.50324,56.293,52.8,1,2.01697,2022-04-05,51.58,2.3106060606060583,-1
2022-04-04,CCL,NYSE,10.3477,2.38489,2.44265,17.923,19.74,-1,5.05842,2022-04-05,20.22,2.4316109422492427,1
2022-04-04,CLF,NYSE,15.4733,1.67169,1.6711,28.8445,32.45,-1,6.27201,2022-04-05,32.54,0.2773497688751812,0
2022-04-04,CMCSA,NASDAQ,1.85385,1.45351,1.38051,47.7083,48.11,0,1.56262,2022-04-05,47.87,0.49885678653087095,0
2022-04-04,COP,NYSE,4.0478,1.40222,1.29888,100.501,100.55,-1,2.24964,2022-04-05,98.05,2.486325211337643,-1
2022-04-04,CSCO,NASDAQ,1.66456,0.68151,0.575698,55.53,55.87,0,0.973922,2022-04-05,54.92,1.7003758725612956,0
2022-04-04,CTLT,NYSE,5.00786,1.71693,1.59241,102.001,113.4,-1,2.7724,2022-04-05,112.47,0.8201058201058261,0
2022-04-04,CZR,NASDAQ,12.2272,4.38723,4.31246,77.4167,80.69,-1,6.97564,2022-04-05,77.16,4.374767629198168,-1
2022-04-04,DAL,NYSE,5.38914,1.56665,1.45449,36.2041,39.4,-1,2.80343,2022-04-05,39.03,0.9390862944162371,0
2022-04-04,DBA,AMEX,0.970459,0.926486,0.930555,21.6505,21.89,0,0.9425,2022-04-05,21.97,0.3654636820465888,0
2022-04-04,DKNG,NASDAQ,31.88,6.6882,6.71917,26.6198,20.41,1,15.0958,2022-04-05,19.05,6.66340029397354,-1
2022-04-04,EBAY,NASDAQ,3.62845,2.42963,2.50117,54.1976,56.73,-1,2.85308,2022-04-05,56.4,0.5817028027498649,0
2022-04-04,EFA,AMEX,1.11534,1.45576,1.46607,72.3459,74.59,0,1.34572,2022-04-05,73.58,1.3540689100415675,0
2022-04-04,EWW,AMEX,1.49209,0.848128,0.803834,51.8467,55.07,0,1.04802,2022-04-05,54.14,1.688759760305066,0
2022-04-04,EWZ,AMEX,3.26346,1.53113,1.50024,34.7513,39.52,-1,2.09828,2022-04-05,38.32,3.0364372469635694,-1
2022-04-04,FB,NASDAQ,9.61494,2.7032,2.66357,206.093,233.89,-1,4.9939,2022-04-05,231.84,0.8764803967677041,0
2022-04-04,FCX,NYSE,6.21547,1.84731,1.71649,47.2726,50.9,-1,3.25975,2022-04-05,49.09,3.555992141453822,-1
2022-04-04,FE,NYSE,1.19091,0.988169,1.10339,42.8549,46.31,0,1.09416,2022-04-05,46.64,0.7125890736342005,0
2022-04-04,GLD,AMEX,0.661938,0.50527,0.517803,181.585,180.37,0,0.56167,2022-04-05,179.24,0.6264899927925904,0
2022-04-04,GM,NYSE,4.95918,3.11495,3.17724,43.6535,43.18,1,3.75046,2022-04-05,41.42,4.075961093098652,-1
2022-04-04,HPQ,NYSE,5.73577,3.82221,3.85022,37.1947,36.64,1,4.4694,2022-04-05,36.0,1.746724890829696,0
2022-04-04,HYG,AMEX,0.485875,0.760701,0.769632,81.9904,82.57,0,0.672069,2022-04-05,81.5,1.2958701707641918,0
2022-04-04,INTC,NASDAQ,3.16559,2.70159,2.59623,47.7407,49.2,-1,2.82114,2022-04-05,48.13,2.17479674796748,-1
2022-04-04,IWM,AMEX,1.92321,1.83285,1.85368,199.899,207.91,0,1.86991,2022-04-05,202.99,2.3664085421576586,-1
2022-04-04,IYR,AMEX,1.2107,1.55233,1.72666,103.75,109.63,0,1.49656,2022-04-05,109.27,0.32837726899571235,0
2022-04-04,JPM,NYSE,2.15661,1.42463,1.4012,138.092,135.91,0,1.66081,2022-04-05,133.34,1.8909572511220611,0
2022-04-04,KDP,NASDAQ,1.08128,0.922446,0.666047,37.967,38.36,0,0.889924,2022-04-05,36.95,3.675703858185601,-1
2022-04-04,KO,NYSE,0.770726,0.817366,0.765913,59.9821,62.54,0,0.784668,2022-04-05,62.47,0.1119283658458591,0
2022-04-04,LQD,AMEX,0.443852,0.421578,0.394318,121.617,121.51,0,0.419916,2022-04-05,119.38,1.752942144679458,0
