Symbol,Daily Volatility,Exchange
00001.HK,2.208503107618524,HKEX
00003.HK,2.111345969496735,HKEX
00004.HK,2.5009526010190877,HKEX
00008.HK,17.548385479645372,HKEX
00010.HK,2.377735509945581,HKEX
00014.HK,2.2909240113733165,HKEX
00016.HK,2.3222205235356066,HKEX
00017.HK,3.136246073980077,HKEX
00018.HK,2.728044673493386,HKEX
00019.HK,2.078952791648177,HKEX
00020.HK,2.596371562013195,HKEX
00022.HK,4.5963974610128,HKEX
00023.HK,2.2242399481918382,HKEX
00024.HK,4.130248655316305,HKEX
00025.HK,2.106767252295818,HKEX
00026.HK,3.5630851613454784,HKEX
00027.HK,3.704137634849945,HKEX
00028.HK,3.540105023701931,HKEX
00029.HK,4.270007310451631,HKEX
00030.HK,5.635313754726912,HKEX
00031.HK,4.093307290556443,HKEX
00033.HK,5.670496793168497,HKEX
00035.HK,3.616711930243151,HKEX
00036.HK,12.196302556731954,HKEX
00037.HK,5.002887060998487,HKEX
00038.HK,3.8695640283485275,HKEX
00040.HK,2.838369167398375,HKEX
00041.HK,2.5458544255204263,HKEX
00042.HK,4.900299095123294,HKEX
00043.HK,4.313301884458915,HKEX
00044.HK,2.4632494687048503,HKEX
00045.HK,2.323940497444661,HKEX
00047.HK,12.642992529847318,HKEX
00051.HK,2.038675689239137,HKEX
00052.HK,2.9188478760843815,HKEX
00054.HK,2.412024380300902,HKEX
00055.HK,19.226909345378342,HKEX
00056.HK,3.0794775611950764,HKEX
00057.HK,2.598117729591655,HKEX
00059.HK,49.486524305842636,HKEX
00060.HK,3.6063965605448933,HKEX
00063.HK,6.066395480960279,HKEX
00069.HK,2.7707730625196874,HKEX
00075.HK,7.350194395440998,HKEX
00076.HK,42.02371326172748,HKEX
00078.HK,10.943563218412526,HKEX
00079.HK,19.17979319232128,HKEX
00080.HK,7.662320664058329,HKEX
00081.HK,3.772585903898223,HKEX
00082.HK,5.588131177833734,HKEX
00083.HK,2.797268236840012,HKEX
00084.HK,5.345337686136317,HKEX
00085.HK,13.86097513275591,HKEX
00086.HK,3.2603417107235932,HKEX
00088.HK,2.363118907111495,HKEX
00089.HK,2.0384811961722975,HKEX
00091.HK,7.580461942350105,HKEX
00092.HK,3.8949321622382516,HKEX
00093.HK,4.143786528216288,HKEX
00094.HK,6.358148645698711,HKEX
00096.HK,2.963025860531152,HKEX
00097.HK,3.192310557083429,HKEX
00098.HK,3.445379636631103,HKEX
00099.HK,11.27306584708306,HKEX
00101.HK,2.4570854417479215,HKEX
00102.HK,8.17112091529775,HKEX
00104.HK,6.723232990210723,HKEX
00106.HK,23.405998139599024,HKEX
00107.HK,2.9486141328762674,HKEX
00108.HK,16.65645849271535,HKEX
00112.HK,6.5368099040845316,HKEX
00113.HK,2.858740660389716,HKEX
00114.HK,2.9839313649364683,HKEX
00116.HK,2.327704411749602,HKEX
00118.HK,5.128898194610396,HKEX
00119.HK,3.8644304791066224,HKEX
00121.HK,8.294247995981193,HKEX
00122.HK,4.413753058915336,HKEX
00123.HK,3.0846260957326384,HKEX
00124.HK,3.6561026341985463,HKEX
00126.HK,4.2804666098296815,HKEX
00127.HK,2.860707303078034,HKEX
00128.HK,4.837271471261256,HKEX
00129.HK,21.984441749439952,HKEX
00131.HK,3.8906184446662406,HKEX
00132.HK,6.279405926334848,HKEX
00133.HK,14.798720060591965,HKEX
00135.HK,3.0557761488183384,HKEX
00136.HK,32.63532500095612,HKEX
00137.HK,110.8639318315006,HKEX
00138.HK,4.385476100580163,HKEX
00139.HK,20.81324362837138,HKEX
00141.HK,6.865213984294401,HKEX
00142.HK,3.01264366362335,HKEX
00144.HK,2.9411190841037675,HKEX
00145.HK,16.638258677411002,HKEX
00146.HK,3.8027942891399364,HKEX
00147.HK,7.613330595199735,HKEX
00148.HK,3.154323384170806,HKEX
00149.HK,61.461300456423494,HKEX
00152.HK,13.165724362847381,HKEX
00154.HK,4.06865972724023,HKEX
00155.HK,13.79348720584766,HKEX
00156.HK,4.862959206008631,HKEX
00159.HK,25.635551746606932,HKEX
00160.HK,3.0654357213072623,HKEX
00161.HK,3.712355621934561,HKEX
00163.HK,141.16619968491923,HKEX
00164.HK,30.449255197882085,HKEX
00165.HK,3.7198497516802242,HKEX
00167.HK,4.352673838096298,HKEX
00168.HK,3.076501526942474,HKEX
00171.HK,3.4286450550574226,HKEX
00172.HK,7.294025343102639,HKEX
00173.HK,3.414379533339664,HKEX
00174.HK,4.389521148011982,HKEX
00175.HK,4.31573421482198,HKEX
00177.HK,2.6543399164976957,HKEX
00178.HK,3.110434854991947,HKEX
00179.HK,4.970496102133535,HKEX
00180.HK,5.182048350681967,HKEX
00182.HK,5.437274986251694,HKEX
00183.HK,3.668172350888643,HKEX
00185.HK,6.270710260955027,HKEX
00186.HK,5.0065005847370445,HKEX
00187.HK,4.834976500425822,HKEX
00190.HK,33.62146262255565,HKEX
00191.HK,6.721418290850255,HKEX
00193.HK,138.79360464826155,HKEX
00199.HK,104.95171564390014,HKEX
00200.HK,10.852403474070327,HKEX
00201.HK,7.999317462399469,HKEX
00205.HK,5.926697172057729,HKEX
00207.HK,15.138439184543381,HKEX
00210.HK,11.678719149335683,HKEX
00212.HK,2.0167165459473493,HKEX
00213.HK,3.355510276597802,HKEX
00214.HK,4.24129052998188,HKEX
00216.HK,2.8779456986061804,HKEX
00217.HK,4.918917683616256,HKEX
00218.HK,4.713616845835411,HKEX
00219.HK,4.764996139584418,HKEX
00222.HK,3.4465605909636365,HKEX
00224.HK,5.752872182419969,HKEX
00225.HK,2.321162723305822,HKEX
00226.HK,4.043742030362796,HKEX
00227.HK,4.377136455351872,HKEX
00229.HK,3.377713419697945,HKEX
00230.HK,4.669900599651751,HKEX
00231.HK,6.940127266980691,HKEX
00232.HK,7.22084704162615,HKEX
00233.HK,4.690833728495088,HKEX
00234.HK,6.456585999531192,HKEX
00235.HK,6.280010059438763,HKEX
00237.HK,2.5399502864502526,HKEX
00241.HK,10.398801241787684,HKEX
00242.HK,3.213283130732836,HKEX
00243.HK,7.903341902247544,HKEX
00245.HK,7.642371389255575,HKEX
00247.HK,2.98830788895791,HKEX
00250.HK,5.903715574506795,HKEX
00252.HK,4.702981784337077,HKEX
00253.HK,5.346335093193489,HKEX
00255.HK,3.7232961851386825,HKEX
00256.HK,4.088821359871189,HKEX
00257.HK,4.218078354695076,HKEX
00259.HK,7.351063166077865,HKEX
00260.HK,124.18986465485193,HKEX
00261.HK,10.65166052055635,HKEX
00262.HK,13.03669240390367,HKEX
00263.HK,39.25311122924829,HKEX
00267.HK,2.7404693471448405,HKEX
00268.HK,4.400259960567708,HKEX
00269.HK,11.440875312187062,HKEX
00270.HK,3.028321658293977,HKEX
00271.HK,5.959212922075003,HKEX
00273.HK,50.69319881747586,HKEX
00275.HK,57.00664381027462,HKEX
00281.HK,5.367121091637954,HKEX
00282.HK,4.509624531920633,HKEX
00286.HK,13.486547340535427,HKEX
00291.HK,3.0080402682384615,HKEX
00293.HK,2.37056721933577,HKEX
00296.HK,48.392469760538084,HKEX
00297.HK,47.67015225378051,HKEX
00298.HK,5.283976016256828,HKEX
00300.HK,4.676794563871531,HKEX
00303.HK,2.908640008243215,HKEX
00305.HK,9.09437080145187,HKEX
00306.HK,2.9547077079784834,HKEX
00308.HK,3.040549167446499,HKEX
00310.HK,9.068708997206533,HKEX
00315.HK,4.917572609365616,HKEX
00316.HK,2.9033322470032585,HKEX
00317.HK,4.425790796682139,HKEX
00321.HK,2.8541754008013505,HKEX
00322.HK,2.8862389831079867,HKEX
00323.HK,3.9457071615936345,HKEX
00326.HK,41.17848150363267,HKEX
00328.HK,2.845534945748423,HKEX
00330.HK,3.127484118195133,HKEX
00332.HK,11.314983039883273,HKEX
00333.HK,6.668398555203281,HKEX
00336.HK,6.310169731917525,HKEX
00338.HK,3.506652804369948,HKEX
00340.HK,5.970615984591999,HKEX
00343.HK,50.85888626156254,HKEX
00345.HK,2.1972019607506295,HKEX
00347.HK,3.990932029083596,HKEX
00348.HK,5.307233684563131,HKEX
00355.HK,16.089807396257832,HKEX
00358.HK,3.7598596151753023,HKEX
00363.HK,2.474400537443645,HKEX
00366.HK,3.420665632271957,HKEX
00367.HK,3.5882052014920673,HKEX
00369.HK,3.4450365157914415,HKEX
00373.HK,149.7703595302283,HKEX
00375.HK,2.8804081657975487,HKEX
00376.HK,35.747714068214556,HKEX
00378.HK,5.667308762198726,HKEX
00382.HK,6.92658611989958,HKEX
00383.HK,5.382316689725345,HKEX
00384.HK,4.156850577347784,HKEX
00385.HK,27.084795648303242,HKEX
00391.HK,7.428220638188851,HKEX
00392.HK,2.6890121685652604,HKEX
00393.HK,2.550445202409235,HKEX
00396.HK,5.013819478735194,HKEX
00397.HK,72.27595036440708,HKEX
00398.HK,2.8695155970658295,HKEX
00403.HK,4.0368731054517095,HKEX
00404.HK,4.0542216554072406,HKEX
00406.HK,5.385311299470968,HKEX
00408.HK,2.625630006121501,HKEX
00411.HK,3.0569801615094647,HKEX
00412.HK,26.65565349682033,HKEX
00413.HK,5.92624561238743,HKEX
00418.HK,4.534998340073968,HKEX
00419.HK,12.256527410511321,HKEX
00420.HK,3.2719916796702413,HKEX
00430.HK,13.344502260139098,HKEX
00432.HK,5.56928516393738,HKEX
00433.HK,6.7809552427147715,HKEX
00438.HK,4.578839117910081,HKEX
00439.HK,34.952730325624444,HKEX
00440.HK,2.6566156440623976,HKEX
00450.HK,2.5850933534893303,HKEX
00451.HK,11.314733428092438,HKEX
00455.HK,5.4541458973126975,HKEX
00467.HK,10.744608786002791,HKEX
00472.HK,7.353814101230255,HKEX
00476.HK,8.548677140615018,HKEX
00480.HK,2.804641999893756,HKEX
00485.HK,6.552976797350578,HKEX
00487.HK,6.177544418877234,HKEX
00488.HK,68.30802992804739,HKEX
00491.HK,105.49143454423155,HKEX
00493.HK,5.275711809606143,HKEX
00494.HK,2.904311621446287,HKEX
00497.HK,26.00737521474611,HKEX
00498.HK,4.187941588396697,HKEX
00499.HK,32.77278731284061,HKEX
00500.HK,5.058039691685694,HKEX
00506.HK,3.1062153628984417,HKEX
00511.HK,2.3421977846416615,HKEX
00512.HK,6.712193217126193,HKEX
00517.HK,3.884856809475812,HKEX
00518.HK,2.6437681770534742,HKEX
00519.HK,6.264948879551991,HKEX
00521.HK,4.904461266441059,HKEX
00522.HK,2.904181774890573,HKEX
00524.HK,5.975626894536613,HKEX
00525.HK,2.6773341407415647,HKEX
00529.HK,3.6117980134509704,HKEX
