Date,Symbol,Exchange,garch,svr,mlp,LSTM
2022-03-11 02:20:01.788014,MSFT,NASDAQ,0.01495964553370057,[0.72422446],[0.71907835],[281.5084]
2022-03-11 02:20:01.788014,INTC,NASDAQ,0.015659936633428226,[1.18253687],[0.93183639],[53.685925]
2022-03-11 02:20:01.788014,EBAY,NASDAQ,0.03650750916146547,[1.340539],[1.11966155],[71.0751]
2022-03-11 02:20:01.788014,XOM,NYSE,0.025974519050041764,[1.71918885],[1.67004258],[56.183563]
2022-03-11 02:20:01.788014,AAPL,NASDAQ,0.02086417198492095,[1.01313011],[0.99144874],[102.70697]
2022-03-11 02:20:01.788014,UAL,NASDAQ,0.05732958651787916,[2.97563634],[2.80264703],[43.43527]
2022-03-11 02:20:01.788014,JPM,NYSE,0.01568067350378241,[1.13209815],[0.93511524],[148.22386]
2022-03-11 02:20:01.788014,DAL,NYSE,29.571549804817415,[3.14097295],[3.30804519],[42.74915]
2022-03-11 02:20:01.788014,DKNG,NASDAQ,0.11540714685565982,[1.89586188],[1.71648294],[60.322445]
2022-03-11 02:20:01.788014,USB,NYSE,0.02181448455334259,[1.64893325],[1.62670073],[54.691387]
2022-03-11 02:20:01.788014,WFC,NYSE,0.07195413264832293,[3.7048839],[3.38453102],[47.332264]
2022-03-11 02:20:01.788014,BMY,NYSE,0.016768907666393513,[1.00715623],[1.02148742],[65.3507]
2022-03-11 02:20:01.788014,CSCO,NASDAQ,0.018903301756175887,[0.67285132],[0.4117771],[57.255165]
2022-03-11 02:20:01.788014,PFE,NYSE,0.03144179946278641,[1.60786641],[1.56692045],[47.21451]
2022-03-11 02:20:01.788014,T,NYSE,0.010566319255502244,[1.08498485],[0.93595014],[27.900248]
2022-03-11 02:20:01.788014,BA,NYSE,0.03293992432755963,[1.93124937],[1.60140671],[238.1194]
2022-03-11 02:20:01.788014,C,NYSE,0.02800574444440277,[1.16649743],[1.15807676],[70.09402]
2022-03-11 02:20:01.788014,AMD,NASDAQ,0.07598885990846208,[2.37932156],[2.34181818],[85.630615]
2022-03-11 02:20:01.788014,BAC,NYSE,0.022447833716866025,[1.44804951],[1.33328464],[41.179214]
2022-03-11 02:20:01.788014,WORK,NYSE,0.08926551799791531,[0.56851912],[0.52835954],[36.60406]
2022-03-11 02:20:01.788014,VIAC,NASDAQ,2.0768084768792257,[2.22775027],[2.31114813],[41.39186]
2022-03-11 02:20:01.788014,FB,NASDAQ,0.030463819241275683,[1.60717313],[1.60394017],[333.97147]
2022-03-11 02:20:01.788014,NFLX,NASDAQ,0.07097230375629343,[1.258615],[0.92984251],[443.74564]
2022-03-11 02:20:01.788014,SNAP,NYSE,0.12275223172149886,[1.83880724],[1.72355663],[66.563446]
2022-03-11 02:20:01.788014,TWTR,NYSE,0.08613535649896965,[1.98154197],[1.9189344],[59.217922]
2022-03-11 02:20:01.788014,UBER,NYSE,0.0686895250921166,[1.55429657],[1.47475509],[41.440346]
2022-03-11 02:20:01.788014,KO,NYSE,0.006675640969121076,[0.65341034],[0.54435315],[51.903023]
2022-03-11 02:20:01.788014,PINS,NYSE,0.19380773720513822,[1.72683917],[1.69087798],[56.43463]
2022-03-11 02:20:01.788014,TSLA,NASDAQ,0.05783424056147026,[1.24053681],[1.18164911],[326.8661]
2022-03-11 02:20:01.788014,AVTR,NYSE,0.02854472980451046,[1.31734345],[1.27337264],[39.57871]
2022-03-11 02:20:01.788014,MU,NASDAQ,0.050927977748196955,[1.61674173],[1.71600968],[67.36061]
2022-03-11 02:20:01.788014,NVDA,NASDAQ,0.636916940886521,[1.98928968],[1.57378247],[214.06056]
2022-03-11 02:20:01.788014,ORCL,NYSE,0.015030079194353691,[0.78570638],[0.7771393],[81.613045]
2022-03-11 02:20:01.788014,CMCSA,NASDAQ,0.020316644538705277,[1.16460333],[1.1064373],[54.068123]
2022-03-11 02:20:01.788014,CTLT,NYSE,0.05900574476621367,[2.33291527],[2.12493727],[90.478096]
2022-03-11 02:20:01.788014,PTON,NASDAQ,0.19219691109747467,[2.45430757],[2.14025868],[103.49178]
2022-03-11 02:20:01.788014,KDP,NASDAQ,0.010272676806057743,[0.98531001],[0.80946644],[35.60969]
2022-03-11 02:20:01.788014,MS,NYSE,0.019206754089565382,[1.52248354],[1.05831211],[98.9615]
2022-03-11 02:20:01.788014,WDC,NASDAQ,0.08911686855208206,[3.3998421],[2.96861096],[62.969933]
2022-03-11 02:20:01.788014,BSX,NYSE,0.021249533073053474,[1.28556718],[1.10702698],[44.041374]
2022-03-11 02:20:01.788014,NKLA,NASDAQ,0.4753083556365837,[6.4283821],[6.29432805],[13.480083]
2022-03-11 02:20:01.788014,FE,NYSE,0.011267263862571446,[0.6459973],[0.53179452],[38.710587]
2022-03-11 02:20:01.788014,FCX,NYSE,0.09004016925507584,[3.74624766],[3.76379203],[35.561035]
2022-03-11 02:20:01.788014,CCL,NYSE,0.09732280272090742,[3.86399238],[3.84004479],[24.256298]
2022-03-11 02:20:01.788014,VZ,NYSE,0.004862641840271231,[0.28621254],[0.32343242],[55.25089]
2022-03-11 02:20:01.788014,PLUG,NASDAQ,2.0418430077659413,[1.85109998],[2.64127197],[26.71022]
2022-03-11 02:20:01.788014,PLTR,NYSE,0.0677791497029901,[1.59452655],[1.57629818],[26.601618]
2022-03-11 02:20:01.788014,MRNA,NASDAQ,3.239184949282407,[4.43143778],[3.92345795],[420.0883]
2022-03-11 02:20:01.788014,GM,NYSE,0.04786774278374339,[1.50448765],[0.81272022],[50.6098]
2022-03-11 02:20:01.788014,COP,NYSE,0.053781127004000645,[1.8493398],[1.9881879],[55.768124]
2022-03-11 02:20:01.788014,OXY,NYSE,0.13925159293137906,[3.19532823],[2.90722543],[29.262821]
2022-03-11 02:20:01.788014,AMAT,NASDAQ,0.04494095493843754,[1.92580082],[1.82698425],[109.85661]
2022-03-11 02:20:01.788014,CCIV,NYSE,0.0012533225558014416,[0.52272694],[0.70449241],
2022-03-11 02:20:01.788014,CZR,NASDAQ,0.31646879545887757,[2.03265114],[2.00014738],[48.389526]
2022-03-11 02:20:01.788014,MRK,NYSE,0.014562233430574256,[0.81252845],[0.79190691],[76.65304]
2022-03-11 02:20:01.788014,HPQ,NYSE,0.056251026824295766,[2.57443976],[2.41332992],[27.990496]
2022-03-11 02:20:01.788014,AAL,NASDAQ,0.06733680673143091,[2.87078874],[2.71630196],[20.675087]
2022-03-11 02:20:01.788014,QS,NYSE,0.21397510072492718,[1.48609892],[1.42722536],
2022-03-11 02:20:01.788014,RBLX,NYSE,0.1515226401139195,[3.60904213],[3.57895895],
2022-03-11 02:20:01.788014,AMC,NYSE,0.545220618163177,[5.78352767],[5.91860929],[32.184364]
2022-03-11 02:20:01.788014,CLF,NYSE,0.4182616343873169,[2.81912293],[2.76446634],[27.081348]
2022-03-11 02:20:01.788014,MTCH,NASDAQ,10.47307128435865,[1.80853863],[1.95433153],[147.63911]
2022-03-11 02:20:01.788014,BRO,NYSE,0.023705749677971465,[0.95505968],[0.76664667],[48.643234]
2022-03-11 02:20:01.788014,LCID,NASDAQ,0.259228987883079,[12.33553621],[12.53778655],
2022-03-11 02:20:01.788014,HYG,AMEX,0.0004688159142727025,[0.20762599],[0.18140553],[87.015305]
2022-03-11 02:20:01.788014,TLT,NASDAQ,0.005231647739867325,[0.5357991],[0.44170823],[148.86665]
2022-03-11 02:20:01.788014,LQD,AMEX,0.001038977687937725,[0.30186638],[0.23945052],[135.37798]
2022-03-11 02:20:01.788014,EFA,AMEX,0.004632965678076325,[0.27609381],[0.22043093],[79.12881]
2022-03-11 02:20:01.788014,EWW,AMEX,0.016164111444316356,[1.55017788],[1.56738184],[48.580135]
2022-03-11 02:20:01.788014,EWZ,AMEX,0.02667358618821779,[1.11502334],[0.90698147],[36.73237]
2022-03-11 02:20:01.788014,GLD,AMEX,0.006751203490763497,[0.64708413],[0.52453615],[170.54752]
2022-03-11 02:20:01.788014,SLV,AMEX,0.020194693358939367,[1.04031521],[0.72507924],[21.223501]
2022-03-11 02:20:01.788014,XME,AMEX,0.043796249308330634,[1.41953703],[1.28217809],[43.849262]
2022-03-11 02:20:01.788014,XOP,AMEX,0.0588391871462622,[2.09005197],[2.06616187],[80.65987]
2022-03-11 02:20:01.788014,XLE,AMEX,0.02567001535872397,[1.44382204],[1.27979399],[47.436153]
2022-03-11 02:20:01.788014,DBA,AMEX,0.006321312299447895,[0.55448072],[0.54260584],[19.178852]
2022-03-11 02:20:01.788014,IYR,AMEX,0.021044821705618097,[0.68434813],[0.65497161],[97.76758]
2022-03-11 02:20:01.788014,VNQ,AMEX,0.006331057914462446,[0.68728044],[0.64522496],[99.32384]
2022-03-11 02:20:01.788014,XHB,AMEX,0.012736285461670733,[0.39227996],[0.43487927],[70.1723]
2022-03-11 02:20:01.788014,SPY,AMEX,0.0032453582803268345,[0.37194438],[0.22270066],[298.1132]
2022-03-11 02:20:01.788014,QQQ,NASDAQ,0.006631148265123546,[0.60894032],[0.70597968],[290.2222]
2022-03-11 02:20:01.788014,IWM,AMEX,0.014171007214196084,[0.66707725],[0.67160927],[209.1617]
