date,symbol,open,high,low,close,volume,turnover,preclose,risefall,risefallratio
2021-01-29 00:00:00,ABBV,104.0,104.49,101.812,102.48,963655583.5,0,104.21,-1.73,-1.66
2021-01-28 00:00:00,ABBV,104.0,105.138,103.11,104.21,890279844.18,0,102.79,1.42,1.38
2021-01-27 00:00:00,ABBV,106.28,106.7,102.59,102.79,1235246510.46,0,108.8,-6.01,-5.52
2021-01-26 00:00:00,ABBV,111.3,111.3,108.56,108.8,607697584.2,0,110.5,-1.7,-1.54
2021-01-25 00:00:00,ABBV,109.73,111.23,109.21,110.5,764420160.56,0,110.86,-0.36,-0.32
2021-01-22 00:00:00,ABBV,110.65,111.6,109.48,110.86,575214566.53,0,111.26,-0.4,-0.36
2021-01-21 00:00:00,ABBV,112.63,112.75,110.76,111.26,603266384.13,0,112.62,-1.36,-1.21
2021-01-20 00:00:00,ABBV,112.91,113.1,111.47,112.62,737900683.27,0,112.18,0.44,0.39
2021-01-19 00:00:00,ABBV,111.25,112.31,110.26,112.18,862336817.41,0,110.52,1.66,1.5
2021-01-15 00:00:00,ABBV,111.2,111.56,109.48,110.52,1014942746.75,0,111.63,-1.11,-0.99
2021-01-14 00:00:00,ABBV,110.7,112.69,109.5,111.63,924525645.82,0,112.45,-0.82,-0.73
2021-01-13 00:00:00,ABBV,109.8,113.41,109.7,112.45,1101149513.51,0,109.78,2.67,2.43
2021-01-12 00:00:00,ABBV,109.22,110.78,109.12,109.78,671582479.59,0,109.02,0.76,0.7
2021-01-11 00:00:00,ABBV,107.065,109.56,107.065,109.02,688749294.66,0,107.27,1.75,1.63
2021-01-08 00:00:00,ABBV,106.84,107.53,105.762,107.27,571155190.34,0,106.71,0.56,0.52
2021-01-07 00:00:00,ABBV,106.11,107.064,105.566,106.71,873401642.26,0,105.58,1.13,1.07
2021-01-06 00:00:00,ABBV,104.75,107.19,104.18,105.58,1164277823.29,0,106.5,-0.92,-0.86
2021-01-05 00:00:00,ABBV,105.41,107.02,104.63,106.5,723121798.13,0,105.41,1.09,1.03
2021-01-04 00:00:00,ABBV,107.18,107.35,103.86,105.41,1001879952.74,0,107.15,-1.74,-1.62
2020-12-31 00:00:00,ABBV,105.26,107.28,104.85,107.15,655612162.61,0,105.27,1.88,1.79
2020-12-30 00:00:00,ABBV,105.11,106.227,105.1,105.27,562628832.42,0,104.7,0.57,0.54
2020-12-29 00:00:00,ABBV,103.95,105.37,103.95,104.7,534479243.67,0,103.45,1.25,1.21
2020-12-28 00:00:00,ABBV,103.65,103.875,102.72,103.45,408076531.57,0,103.26,0.19,0.18
2020-12-24 00:00:00,ABBV,103.11,103.39,102.6,103.26,142040549.18,0,103.28,-0.02,-0.02
2020-12-23 00:00:00,ABBV,103.06,103.925,102.91,103.28,378512045.04,0,102.8,0.48,0.47
2020-12-22 00:00:00,ABBV,103.41,103.5,102.01,102.8,411135131.53,0,103.71,-0.91,-0.88
2020-12-21 00:00:00,ABBV,102.76,103.92,101.548,103.71,686727604.48,0,104.45,-0.74,-0.71
2020-12-18 00:00:00,ABBV,105.03,105.06,103.2,104.45,1449827464.35,0,104.89,-0.44,-0.42
2020-12-17 00:00:00,ABBV,104.86,105.5,104.11,104.89,665697373.17,0,104.64,0.25,0.24
2020-12-16 00:00:00,ABBV,102.5,105.41,101.903,104.64,955142916.76,0,102.82,1.82,1.77
2020-12-15 00:00:00,ABBV,105.44,105.45,102.32,102.82,1250355400.34,0,104.2,-1.38,-1.32
2020-12-14 00:00:00,ABBV,107.43,108.07,104.09,104.2,873088100.66,0,106.34,-2.14,-2.01
2020-12-11 00:00:00,ABBV,107.01,107.415,105.58,106.34,553146481.54,0,107.49,-1.15,-1.07
2020-12-10 00:00:00,ABBV,109.06,109.07,106.67,107.49,675082698.0,0,108.67,-1.18,-1.09
2020-12-09 00:00:00,ABBV,107.9,109.15,107.63,108.67,797910967.04,0,107.69,0.98,0.91
2020-12-08 00:00:00,ABBV,105.7,108.35,105.6,107.69,720042749.9,0,105.84,1.85,1.75
2020-12-07 00:00:00,ABBV,107.04,107.21,104.96,105.84,690186776.12,0,107.28,-1.44,-1.34
2020-12-04 00:00:00,ABBV,105.02,107.31,105.02,107.28,772330889.87,0,104.74,2.54,2.43
2020-12-03 00:00:00,ABBV,105.0,105.7,104.3,104.74,492218221.55,0,104.99,-0.25,-0.24
2020-12-02 00:00:00,ABBV,104.0,105.38,103.32,104.99,574868059.4,0,104.04,0.95,0.91
2020-12-01 00:00:00,ABBV,105.05,106.38,104.04,104.04,798286467.85,0,104.58,-0.54,-0.52
2020-11-30 00:00:00,ABBV,105.12,105.415,103.648,104.58,2166813376.05,0,104.89,-0.31,-0.3
2020-11-27 00:00:00,ABBV,104.98,105.8,104.3,104.89,463593093.59,0,104.2,0.69,0.66
2020-11-25 00:00:00,ABBV,103.82,104.46,103.39,104.2,661755085.84,0,103.96,0.24,0.23
2020-11-24 00:00:00,ABBV,102.88,104.82,102.58,103.96,969174716.6,0,102.18,1.78,1.74
2020-11-23 00:00:00,ABBV,101.94,102.76,101.065,102.18,769176992.05,0,100.84,1.34,1.33
2020-11-20 00:00:00,ABBV,99.95,101.83,98.62,100.84,974641124.02,0,99.67,1.17,1.17
2020-11-19 00:00:00,ABBV,98.76,100.15,98.59,99.67,751625124.17,0,98.72,0.95,0.96
2020-11-18 00:00:00,ABBV,100.0,100.29,98.68,98.72,884806654.54,0,99.21,-0.49,-0.49
2020-11-17 00:00:00,ABBV,99.37,100.26,98.74,99.21,1153024484.83,0,98.36,0.85,0.86
2020-11-16 00:00:00,ABBV,99.96,100.54,98.33,98.36,853927475.05,0,99.04,-0.68,-0.69
2020-11-13 00:00:00,ABBV,97.41,99.55,97.4,99.04,682346358.31,0,97.6,1.44,1.48
2020-11-12 00:00:00,ABBV,97.5,97.745,96.28,97.6,742548529.14,0,98.15,-0.55,-0.56
2020-11-11 00:00:00,ABBV,99.15,99.87,97.765,98.15,932870118.93,0,98.87,-0.72,-0.73
2020-11-10 00:00:00,ABBV,96.01,99.13,95.625,98.87,1203015249.06,0,95.12,3.75,3.94
2020-11-09 00:00:00,ABBV,95.74,96.95,94.67,95.12,1054400844.74,0,92.85,2.27,2.44
2020-11-06 00:00:00,ABBV,92.975,93.65,91.71,92.85,648480299.83,0,93.69,-0.84,-0.9
2020-11-05 00:00:00,ABBV,95.36,95.52,93.0,93.69,750339062.93,0,94.5,-0.81,-0.86
2020-11-04 00:00:00,ABBV,93.135,97.49,92.67,94.5,2466356297.5,0,87.96,6.54,7.44
2020-11-03 00:00:00,ABBV,89.14,89.385,87.43,87.96,752080901.53,0,88.25,-0.29,-0.33
2020-11-02 00:00:00,ABBV,86.03,88.54,86.0,88.25,946575075.18,0,85.1,3.15,3.7
2020-10-30 00:00:00,ABBV,83.195,86.14,83.0,85.1,1535094965.67,0,80.67,4.43,5.49
2020-10-29 00:00:00,ABBV,80.5,81.37,79.11,80.67,715524514.7,0,80.49,0.18,0.22
2020-10-28 00:00:00,ABBV,81.35,82.21,80.235,80.49,927592706.97,0,82.71,-2.22,-2.68
2020-10-27 00:00:00,ABBV,84.0,84.26,82.68,82.71,559885965.3,0,83.92,-1.21,-1.44
2020-10-26 00:00:00,ABBV,84.09,84.32,82.81,83.92,667084779.92,0,84.34,-0.42,-0.5
2020-10-23 00:00:00,ABBV,84.64,85.15,83.94,84.34,358132638.81,0,84.31,0.03,0.04
2020-10-22 00:00:00,ABBV,83.02,84.89,82.92,84.31,680211282.85,0,82.89,1.42,1.71
2020-10-21 00:00:00,ABBV,83.58,84.14,82.56,82.89,812048237.57,0,84.25,-1.36,-1.61
2020-10-20 00:00:00,ABBV,84.19,84.83,83.42,84.25,583808300.61,0,84.31,-0.06,-0.07
2020-10-19 00:00:00,ABBV,86.59,86.79,84.13,84.31,871410721.99,0,86.27,-1.96,-2.27
2020-10-16 00:00:00,ABBV,85.89,87.15,85.757,86.27,463642012.03,0,85.23,1.04,1.22
2020-10-15 00:00:00,ABBV,85.41,85.74,84.96,85.23,528137630.51,0,86.07,-0.84,-0.98
2020-10-14 00:00:00,ABBV,86.83,87.112,85.9,86.07,506196524.82,0,87.83,-1.76,-2.0
2020-10-13 00:00:00,ABBV,88.01,88.8,87.47,87.83,690852157.64,0,88.32,-0.49,-0.55
2020-10-12 00:00:00,ABBV,88.17,88.6,87.32,88.32,644770156.89,0,87.7,0.62,0.71
2020-10-09 00:00:00,ABBV,87.41,88.7,87.35,87.7,528023653.3,0,87.34,0.36,0.41
2020-10-08 00:00:00,ABBV,87.27,88.58,86.92,87.34,485116529.55,0,87.07,0.27,0.31
2020-10-07 00:00:00,ABBV,86.16,87.298,86.03,87.07,511837845.51,0,85.89,1.18,1.37
2020-10-06 00:00:00,ABBV,87.97,88.06,85.71,85.89,755804240.13,0,87.93,-2.04,-2.32
2020-10-05 00:00:00,ABBV,86.49,88.18,86.21,87.93,523764733.75,0,86.12,1.81,2.1
2020-10-02 00:00:00,ABBV,86.5,87.35,86.05,86.12,481129099.5,0,87.14,-1.02,-1.17
2020-10-01 00:00:00,ABBV,88.17,88.17,86.73,87.14,765950972.87,0,87.59,-0.45,-0.51
2020-09-30 00:00:00,ABBV,87.0,88.44,86.81,87.59,717943045.97,0,86.89,0.7,0.81
2020-09-29 00:00:00,ABBV,87.11,87.28,86.31,86.89,478385798.22,0,87.28,-0.39,-0.45
2020-09-28 00:00:00,ABBV,87.29,88.2,86.87,87.28,551995805.12,0,86.23,1.05,1.22
2020-09-25 00:00:00,ABBV,86.0,86.86,85.46,86.23,855703018.07,0,85.91,0.32,0.37
2020-09-24 00:00:00,ABBV,87.0,87.0,85.32,85.91,858690048.95,0,87.14,-1.23,-1.41
2020-09-23 00:00:00,ABBV,89.0,89.27,87.119,87.14,549433211.46,0,88.6,-1.46,-1.65
2020-09-22 00:00:00,ABBV,88.9,88.95,87.93,88.6,469347063.53,0,89.09,-0.49,-0.55
2020-09-21 00:00:00,ABBV,89.14,89.43,87.17,89.09,646829750.75,0,90.11,-1.02,-1.13
2020-09-18 00:00:00,ABBV,89.49,90.5,88.86,90.11,906300728.69,0,89.63,0.48,0.54
2020-09-17 00:00:00,ABBV,89.3,90.81,89.175,89.63,503575523.35,0,89.78,-0.15,-0.17
2020-09-16 00:00:00,ABBV,91.02,91.27,89.685,89.78,569411581.65,0,90.91,-1.13,-1.24
2020-09-15 00:00:00,ABBV,91.4,91.98,90.635,90.91,351207862.24,0,90.49,0.42,0.46
2020-09-14 00:00:00,ABBV,90.05,91.26,89.46,90.49,472237521.4,0,89.7,0.79,0.88
2020-09-11 00:00:00,ABBV,89.81,90.34,89.04,89.7,751919226.58,0,89.65,0.05,0.06
2020-09-10 00:00:00,ABBV,91.07,91.41,89.48,89.65,936613872.75,0,91.63,-1.98,-2.16
2020-09-09 00:00:00,ABBV,90.86,92.43,90.51,91.63,492071076.5,0,90.22,1.41,1.56
