date,symbol,open,high,low,close,volume,turnover,preclose,risefall,risefallratio
2020-10-22 00:00:00,BA,164.7,169.63,164.095,169.07,2381536065.98,0,163.86,5.21,3.18
2020-10-21 00:00:00,BA,166.44,167.63,163.82,163.86,1893758583.92,0,167.24,-3.38,-2.02
2020-10-20 00:00:00,BA,168.29,169.29,166.18,167.24,2064731148.88,0,167.11,0.13,0.08
2020-10-19 00:00:00,BA,169.09,170.84,166.11,167.11,2783385519.22,0,167.35,-0.24,-0.14
2020-10-16 00:00:00,BA,171.22,173.42,167.27,167.35,5393885428.32,0,164.24,3.11,1.89
2020-10-15 00:00:00,BA,161.01,164.54,158.73,164.24,2145841424.9,0,163.24,1.0,0.61
2020-10-14 00:00:00,BA,162.7,165.17,162.49,163.24,1726793697.48,0,162.14,1.1,0.68
2020-10-13 00:00:00,BA,165.36,165.53,162.09,162.14,2483418481.47,0,167.35,-5.21,-3.11
2020-10-12 00:00:00,BA,167.75,169.2,165.95,167.35,2040959017.0,0,167.33,0.02,0.01
2020-10-09 00:00:00,BA,169.93,170.0,166.82,167.33,2928969379.6,0,168.0,-0.67,-0.4
2020-10-08 00:00:00,BA,166.22,168.09,163.54,168.0,3426519704.05,0,164.61,3.39,2.06
2020-10-07 00:00:00,BA,163.71,166.345,162.38,164.61,4272539586.6,0,159.54,5.07,3.18
2020-10-06 00:00:00,BA,173.04,175.56,159.33,159.54,7857776608.78,0,171.2,-11.66,-6.81
2020-10-05 00:00:00,BA,169.49,172.08,167.51,171.2,3254174227.26,0,168.08,3.12,1.86
2020-10-02 00:00:00,BA,161.86,169.78,161.8,168.08,5280647539.71,0,167.86,0.22,0.13
2020-10-01 00:00:00,BA,170.15,172.76,165.57,167.86,5178007021.72,0,165.26,2.6,1.57
2020-09-30 00:00:00,BA,164.5,170.98,164.11,165.26,6438101527.47,0,163.6,1.66,1.01
2020-09-29 00:00:00,BA,164.77,165.5,162.01,163.6,3262052735.1,0,166.08,-2.48,-1.49
2020-09-28 00:00:00,BA,160.33,168.0,159.2,166.08,6455224012.8,0,156.03,10.05,6.44
2020-09-25 00:00:00,BA,146.85,156.312,146.415,156.03,4434242774.59,0,146.05,9.98,6.83
2020-09-24 00:00:00,BA,150.29,150.31,145.02,146.05,3983552268.7,0,151.18,-5.13,-3.39
2020-09-23 00:00:00,BA,157.33,160.42,150.89,151.18,2830345472.33,0,156.8,-5.62,-3.58
2020-09-22 00:00:00,BA,156.81,160.068,154.95,156.8,2781930442.3,0,156.35,0.45,0.29
2020-09-21 00:00:00,BA,157.83,158.83,154.2,156.35,3619132615.51,0,161.14,-4.79,-2.97
2020-09-18 00:00:00,BA,165.66,169.72,161.02,161.14,3617521918.98,0,167.53,-6.39,-3.81
2020-09-17 00:00:00,BA,164.63,168.455,161.05,167.53,3266783124.59,0,167.46,0.07,0.04
2020-09-16 00:00:00,BA,161.95,170.57,160.31,167.46,3643231606.39,0,163.49,3.97,2.43
2020-09-15 00:00:00,BA,166.65,168.84,163.33,163.49,2457834978.13,0,165.35,-1.86,-1.12
2020-09-14 00:00:00,BA,161.75,165.94,158.9,165.35,2810887904.24,0,160.23,5.12,3.2
2020-09-11 00:00:00,BA,158.0,161.359,156.32,160.23,2346522667.73,0,157.69,2.54,1.61
2020-09-10 00:00:00,BA,160.96,163.78,157.57,157.69,2328066939.35,0,160.78,-3.09,-1.92
2020-09-09 00:00:00,BA,161.61,163.06,157.0,160.78,3516562392.45,0,161.08,-0.3,-0.19
2020-09-08 00:00:00,BA,165.8,166.9,160.5,161.08,3687290059.01,0,171.05,-9.97,-5.83
2020-09-04 00:00:00,BA,171.31,172.83,164.0,171.05,3192605381.51,0,168.77,2.28,1.35
2020-09-03 00:00:00,BA,175.0,180.85,168.12,168.77,4830111059.37,0,174.78,-6.01,-3.44
2020-09-02 00:00:00,BA,172.74,175.0,171.45,174.78,2871942204.08,0,172.1,2.68,1.56
2020-09-01 00:00:00,BA,170.71,175.49,169.25,172.1,3278987668.69,0,171.82,0.28,0.16
2020-08-31 00:00:00,BA,174.65,175.27,171.7,171.82,2808999539.7,0,175.8,-3.98,-2.26
2020-08-28 00:00:00,BA,175.11,177.28,172.57,175.8,3571232141.41,0,174.2,1.6,0.92
2020-08-27 00:00:00,BA,174.71,181.31,173.56,174.2,5221381700.43,0,171.9,2.3,1.34
2020-08-26 00:00:00,BA,173.8,174.43,171.35,171.9,2792141970.41,0,174.73,-2.83,-1.62
2020-08-25 00:00:00,BA,180.46,180.63,172.44,174.73,5479431838.69,0,178.27,-3.54,-1.99
2020-08-24 00:00:00,BA,168.78,178.27,167.93,178.27,6872150680.94,0,167.5,10.77,6.43
2020-08-21 00:00:00,BA,168.35,170.084,167.27,167.5,2855372736.76,0,169.58,-2.08,-1.23
2020-08-20 00:00:00,BA,168.54,170.84,165.86,169.58,3912197086.31,0,169.27,0.31,0.18
2020-08-19 00:00:00,BA,170.44,174.1,169.09,169.27,4381344871.44,0,170.23,-0.96,-0.56
2020-08-18 00:00:00,BA,172.01,173.238,169.01,170.23,3665454371.17,0,172.01,-1.78,-1.03
2020-08-17 00:00:00,BA,178.24,178.29,171.409,172.01,4034467756.24,0,178.08,-6.07,-3.41
2020-08-14 00:00:00,BA,173.09,179.47,172.35,178.08,5744795263.34,0,174.73,3.35,1.92
2020-08-13 00:00:00,BA,173.62,179.47,172.43,174.73,4043811646.56,0,175.44,-0.71,-0.4
2020-08-12 00:00:00,BA,184.01,184.149,173.19,175.44,7196375420.12,0,180.13,-4.69,-2.6
2020-08-11 00:00:00,BA,184.51,189.97,179.53,180.13,11350377405.6,0,179.41,0.72,0.4
2020-08-10 00:00:00,BA,171.36,179.79,171.33,179.41,6362311585.41,0,170.02,9.39,5.52
2020-08-07 00:00:00,BA,171.5,171.86,168.7,170.02,3291413292.5,0,172.2,-2.18,-1.27
2020-08-06 00:00:00,BA,172.8,175.57,170.6,172.2,5688304940.64,0,174.28,-2.08,-1.19
2020-08-05 00:00:00,BA,167.6,174.98,166.4,174.28,7996073261.36,0,165.07,9.21,5.58
2020-08-04 00:00:00,BA,164.63,167.4,163.01,165.07,5096730015.2,0,162.27,2.8,1.73
2020-08-03 00:00:00,BA,156.51,163.58,153.41,162.27,6151378684.4,0,158.0,4.27,2.7
2020-07-31 00:00:00,BA,161.55,163.4,156.26,158.0,4812220584.61,0,161.95,-3.95,-2.44
