date,symbol,open,high,low,close,volume,turnover,preclose,risefall,risefallratio
2021-01-29 00:00:00,BBBY,40.66,40.9,32.25,35.33,784884031.58,0,33.64,1.69,5.02
2021-01-28 00:00:00,BBBY,41.28,49.48,30.08,33.64,2241781367.16,0,52.89,-19.25,-36.4
2021-01-27 00:00:00,BBBY,42.98,53.9,41.117,52.89,4297793848.28,0,36.87,16.02,43.45
2021-01-26 00:00:00,BBBY,30.19,38.3,28.78,36.87,2208085790.82,0,30.68,6.19,20.18
2021-01-25 00:00:00,BBBY,34.84,47.73,30.31,30.68,3339572283.02,0,30.21,0.47,1.56
2021-01-22 00:00:00,BBBY,26.26,31.45,26.12,30.21,1143061658.64,0,26.87,3.34,12.43
2021-01-21 00:00:00,BBBY,25.16,28.6,25.1,26.87,456314058.07,0,24.97,1.9,7.61
2021-01-20 00:00:00,BBBY,25.11,25.965,24.46,24.97,175895971.93,0,25.03,-0.06,-0.24
2021-01-19 00:00:00,BBBY,26.096,26.5,24.33,25.03,225194909.16,0,25.6,-0.565,-2.21
2021-01-15 00:00:00,BBBY,26.89,27.29,24.88,25.595,353298214.55,0,27.34,-1.745,-6.38
2021-01-14 00:00:00,BBBY,23.4,27.74,23.4,27.34,772250697.29,0,23.02,4.32,18.77
2021-01-13 00:00:00,BBBY,21.5,24.42,21.178,23.02,441548792.73,0,21.53,1.495,6.95
2021-01-12 00:00:00,BBBY,20.545,21.63,20.2,21.525,185406455.74,0,20.49,1.035,5.05
2021-01-11 00:00:00,BBBY,18.72,20.69,18.61,20.49,326371295.19,0,18.94,1.55,8.18
2021-01-08 00:00:00,BBBY,19.35,19.52,18.74,18.94,214305100.08,0,18.73,0.21,1.12
2021-01-07 00:00:00,BBBY,17.94,19.58,17.75,18.73,702896353.36,0,21.03,-2.3,-10.94
2021-01-06 00:00:00,BBBY,20.26,21.57,20.16,21.03,399657001.47,0,19.76,1.27,6.43
2021-01-05 00:00:00,BBBY,18.03,19.89,17.93,19.76,264119520.69,0,18.03,1.73,9.6
2021-01-04 00:00:00,BBBY,17.97,18.59,17.7,18.03,254309273.45,0,17.76,0.27,1.52
2020-12-31 00:00:00,BBBY,18.55,18.59,17.61,17.76,223878713.63,0,18.65,-0.89,-4.77
2020-12-30 00:00:00,BBBY,18.85,19.38,18.56,18.65,101674403.03,0,18.83,-0.18,-0.96
2020-12-29 00:00:00,BBBY,19.03,19.2,18.21,18.83,119060154.72,0,18.77,0.06,0.32
2020-12-28 00:00:00,BBBY,18.9,19.04,18.44,18.77,110629436.75,0,18.6,0.17,0.91
2020-12-24 00:00:00,BBBY,18.82,18.97,18.27,18.6,45123234.91,0,18.88,-0.28,-1.48
2020-12-23 00:00:00,BBBY,19.04,19.38,18.74,18.88,90868598.39,0,18.99,-0.11,-0.58
2020-12-22 00:00:00,BBBY,19.36,19.48,18.59,18.99,106258140.72,0,19.26,-0.27,-1.4
2020-12-21 00:00:00,BBBY,18.45,19.35,18.272,19.26,143331481.94,0,18.72,0.54,2.88
2020-12-18 00:00:00,BBBY,19.74,19.92,18.65,18.72,161410974.07,0,19.8,-1.08,-5.45
2020-12-17 00:00:00,BBBY,19.892,20.44,19.59,19.8,107514193.96,0,19.81,-0.01,-0.05
2020-12-16 00:00:00,BBBY,19.431,19.85,18.93,19.81,120249253.58,0,19.53,0.28,1.43
2020-12-15 00:00:00,BBBY,19.36,20.11,18.92,19.53,176199829.26,0,18.87,0.66,3.5
2020-12-14 00:00:00,BBBY,19.477,19.58,18.58,18.87,180510173.21,0,19.17,-0.3,-1.56
2020-12-11 00:00:00,BBBY,19.04,19.46,18.9,19.17,120150150.88,0,18.96,0.21,1.11
2020-12-10 00:00:00,BBBY,18.25,19.025,17.959,18.96,129258637.88,0,18.51,0.45,2.43
2020-12-09 00:00:00,BBBY,18.79,18.97,18.155,18.51,164083687.82,0,18.59,-0.08,-0.43
2020-12-08 00:00:00,BBBY,19.07,19.51,18.5,18.59,180053603.97,0,19.17,-0.58,-3.03
2020-12-07 00:00:00,BBBY,19.787,19.81,18.97,19.17,139002401.75,0,19.7,-0.53,-2.69
2020-12-04 00:00:00,BBBY,19.66,19.995,19.356,19.7,124151116.67,0,19.57,0.13,0.66
2020-12-03 00:00:00,BBBY,20.41,20.79,19.415,19.57,150133067.73,0,20.32,-0.75,-3.69
2020-12-02 00:00:00,BBBY,20.2,20.55,19.87,20.32,122645795.81,0,20.38,-0.06,-0.29
2020-12-01 00:00:00,BBBY,21.29,21.55,20.1,20.38,160141050.97,0,20.96,-0.58,-2.77
2020-11-30 00:00:00,BBBY,21.68,21.86,20.25,20.96,151677101.56,0,21.8,-0.84,-3.85
2020-11-27 00:00:00,BBBY,21.92,22.105,21.547,21.8,83275166.42,0,21.72,0.08,0.37
2020-11-25 00:00:00,BBBY,21.894,22.8,21.51,21.72,227301435.92,0,21.97,-0.25,-1.14
2020-11-24 00:00:00,BBBY,21.09,22.17,21.05,21.97,211363360.63,0,20.79,1.18,5.68
2020-11-23 00:00:00,BBBY,20.37,21.35,20.323,20.79,198842478.65,0,20.24,0.55,2.72
2020-11-20 00:00:00,BBBY,20.59,21.2,20.1,20.24,97429465.08,0,20.43,-0.19,-0.93
2020-11-19 00:00:00,BBBY,19.92,20.51,19.92,20.43,99753296.07,0,19.87,0.565,2.84
2020-11-18 00:00:00,BBBY,20.12,20.285,19.687,19.865,138977737.55,0,20.12,-0.255,-1.27
2020-11-17 00:00:00,BBBY,20.27,20.58,19.84,20.12,143087317.48,0,20.54,-0.42,-2.04
2020-11-16 00:00:00,BBBY,20.32,20.87,19.88,20.54,173679348.8,0,20.23,0.31,1.53
2020-11-13 00:00:00,BBBY,19.85,20.6,19.65,20.23,127793680.25,0,19.73,0.5,2.53
2020-11-12 00:00:00,BBBY,19.7,20.03,19.47,19.73,113954557.78,0,19.8,-0.07,-0.35
2020-11-11 00:00:00,BBBY,19.11,20.08,18.93,19.8,177397410.98,0,18.95,0.85,4.49
2020-11-10 00:00:00,BBBY,19.03,19.59,17.99,18.95,194346758.64,0,18.64,0.31,1.66
2020-11-09 00:00:00,BBBY,21.725,21.85,18.61,18.64,292116461.8,0,21.44,-2.8,-13.06
2020-11-06 00:00:00,BBBY,21.5,22.09,21.265,21.44,92837143.76,0,21.5,-0.06,-0.28
2020-11-05 00:00:00,BBBY,21.37,22.22,21.31,21.5,96964859.96,0,21.02,0.48,2.28
2020-11-04 00:00:00,BBBY,20.81,21.575,20.75,21.02,126631550.38,0,20.67,0.35,1.69
2020-11-03 00:00:00,BBBY,20.66,20.828,20.07,20.67,128626419.7,0,20.2,0.47,2.33
2020-11-02 00:00:00,BBBY,20.0,20.828,19.58,20.2,123126241.37,0,19.8,0.4,2.02
2020-10-30 00:00:00,BBBY,20.27,20.46,19.532,19.8,171897196.27,0,20.53,-0.73,-3.56
2020-10-29 00:00:00,BBBY,22.07,22.36,20.47,20.53,199195847.77,0,21.1,-0.57,-2.7
2020-10-28 00:00:00,BBBY,21.0,22.18,20.52,21.1,419772517.39,0,24.01,-2.91,-12.12
2020-10-27 00:00:00,BBBY,24.81,25.05,23.875,24.01,119027091.14,0,24.73,-0.72,-2.91
2020-10-26 00:00:00,BBBY,24.798,25.56,24.01,24.73,120674946.89,0,25.36,-0.63,-2.48
2020-10-23 00:00:00,BBBY,25.23,25.37,24.09,25.36,136177082.49,0,25.17,0.19,0.75
2020-10-22 00:00:00,BBBY,24.4,25.66,24.12,25.17,154740664.61,0,24.44,0.73,2.99
2020-10-21 00:00:00,BBBY,25.126,25.68,24.41,24.44,115236320.46,0,24.99,-0.55,-2.2
2020-10-20 00:00:00,BBBY,25.09,26.16,24.85,24.99,221690357.9,0,24.89,0.1,0.4
2020-10-19 00:00:00,BBBY,25.04,25.45,24.43,24.89,197926411.97,0,24.84,0.055,0.22
2020-10-16 00:00:00,BBBY,25.05,25.755,24.825,24.835,289374372.31,0,24.96,-0.125,-0.5
2020-10-15 00:00:00,BBBY,23.34,24.99,23.29,24.96,254482626.71,0,23.95,1.015,4.24
2020-10-14 00:00:00,BBBY,23.25,24.26,22.9,23.945,608468049.53,0,22.15,1.8,8.13
2020-10-13 00:00:00,BBBY,21.08,22.64,21.04,22.145,210665827.69,0,21.55,0.595,2.76
2020-10-12 00:00:00,BBBY,21.46,21.92,21.4,21.55,127543969.85,0,21.46,0.09,0.42
2020-10-09 00:00:00,BBBY,21.96,22.09,21.365,21.46,175092172.56,0,21.76,-0.3,-1.38
2020-10-08 00:00:00,BBBY,21.0,21.865,20.69,21.76,169813753.71,0,20.85,0.91,4.36
2020-10-07 00:00:00,BBBY,20.372,21.45,20.34,20.85,260720985.35,0,19.97,0.88,4.41
2020-10-06 00:00:00,BBBY,20.55,21.28,19.7,19.97,346742069.83,0,20.49,-0.52,-2.54
2020-10-05 00:00:00,BBBY,21.21,22.12,20.38,20.49,435245619.99,0,20.6,-0.11,-0.53
2020-10-02 00:00:00,BBBY,18.22,20.9,18.21,20.6,682200844.44,0,18.75,1.855,9.9
2020-10-01 00:00:00,BBBY,18.3,20.37,17.95,18.745,1607961040.41,0,14.98,3.765,25.13
2020-09-30 00:00:00,BBBY,14.36,15.38,14.31,14.98,177678004.16,0,14.51,0.47,3.24
2020-09-29 00:00:00,BBBY,14.84,14.899,14.25,14.51,101210941.83,0,14.88,-0.37,-2.49
2020-09-28 00:00:00,BBBY,14.76,15.33,14.17,14.88,139178811.58,0,14.53,0.35,2.41
2020-09-25 00:00:00,BBBY,14.25,14.74,13.965,14.53,135218181.46,0,13.93,0.6,4.31
2020-09-24 00:00:00,BBBY,13.93,14.46,13.65,13.93,190331848.92,0,13.36,0.575,4.31
2020-09-23 00:00:00,BBBY,14.04,14.18,13.29,13.355,92299069.83,0,13.91,-0.55,-3.96
2020-09-22 00:00:00,BBBY,12.45,14.155,12.44,13.905,275161404.33,0,12.38,1.53,12.36
2020-09-21 00:00:00,BBBY,12.25,12.43,12.07,12.375,77611475.87,0,12.56,-0.185,-1.47
2020-09-18 00:00:00,BBBY,12.85,12.98,12.395,12.56,80231240.95,0,12.73,-0.17,-1.34
2020-09-17 00:00:00,BBBY,12.65,12.935,12.521,12.73,57271198.21,0,12.83,-0.1,-0.78
2020-09-16 00:00:00,BBBY,12.65,13.13,12.54,12.83,85423423.11,0,12.55,0.28,2.23
2020-09-15 00:00:00,BBBY,12.803,13.04,12.37,12.55,102226084.42,0,12.69,-0.14,-1.1
2020-09-14 00:00:00,BBBY,12.12,12.8,12.12,12.69,77802065.05,0,12.04,0.655,5.44
2020-09-11 00:00:00,BBBY,12.05,12.15,11.64,12.035,58430383.92,0,11.98,0.055,0.46
2020-09-10 00:00:00,BBBY,12.03,12.65,11.76,11.98,189247168.01,0,11.42,0.56,4.9
2020-09-09 00:00:00,BBBY,11.527,11.53,11.05,11.42,53700367.57,0,11.32,0.1,0.88
2020-09-08 00:00:00,BBBY,11.52,11.655,11.21,11.32,68061335.45,0,11.75,-0.43,-3.66
