date,symbol,open,high,low,close,volume,turnover,preclose,risefall,risefallratio
2021-05-10 00:00:00,CCL,26.72,26.83,26.23,26.27,479626652.57,0,26.76,-0.49,-1.83
2021-05-07 00:00:00,CCL,26.03,26.86,25.89,26.75,536511286.06,0,25.95,0.8,3.08
2021-05-06 00:00:00,CCL,26.49,26.82,25.52,25.96,277200174.22,0,26.68,-0.72,-2.7
2021-05-05 00:00:00,CCL,26.79,27.31,26.37,26.56,685763030.96,0,26.68,-0.12,-0.45
2021-05-04 00:00:00,CCL,27.48,27.56,26.2,26.68,894766686.52,0,27.93,-1.25,-4.48
2021-05-03 00:00:00,CCL,28.02,28.355,27.53,27.93,612730976.45,0,27.96,-0.03,-0.11
2021-04-30 00:00:00,CCL,27.0,28.01,26.87,27.96,598561089.98,0,27.21,0.75,2.76
2021-04-29 00:00:00,CCL,28.79,29.138,27.13,27.21,1140811500.6,0,27.8,-0.59,-2.12
2021-04-28 00:00:00,CCL,27.7,28.265,27.57,27.8,480783304.97,0,27.81,-0.01,-0.04
2021-04-27 00:00:00,CCL,27.59,27.88,27.14,27.81,501006382.93,0,27.55,0.26,0.94
2021-04-26 00:00:00,CCL,27.82,28.5,27.31,27.55,554806980.19,0,27.27,0.28,1.03
2021-04-23 00:00:00,CCL,27.0,27.41,26.565,27.27,525425235.2,0,26.91,0.36,1.34
2021-04-22 00:00:00,CCL,26.97,27.9,26.77,26.91,811434259.69,0,27.33,-0.42,-1.54
2021-04-21 00:00:00,CCL,25.65,27.35,25.245,27.33,835459560.62,0,25.72,1.61,6.26
2021-04-20 00:00:00,CCL,26.48,26.51,25.12,25.72,801348969.56,0,26.89,-1.17,-4.35
2021-04-19 00:00:00,CCL,27.095,27.27,26.385,26.89,597621618.19,0,27.03,-0.14,-0.52
2021-04-16 00:00:00,CCL,27.53,27.79,26.82,27.03,598876790.3,0,27.32,-0.29,-1.06
2021-04-15 00:00:00,CCL,28.18,28.2,27.12,27.32,658076426.42,0,27.94,-0.62,-2.22
