date,symbol,open,high,low,close,volume,turnover,preclose,risefall,risefallratio
2021-05-10 00:00:00,CF,55.56,55.96,54.525,54.6,160160576.8,0,55.1,-0.5,-0.91
2021-05-07 00:00:00,CF,52.76,55.205,52.46,55.06,204351889.72,0,52.17,2.89,5.54
2021-05-06 00:00:00,CF,48.865,52.25,48.24,52.13,91780175.34,0,49.62,2.51,5.06
2021-05-05 00:00:00,CF,49.88,50.715,49.44,50.09,97847354.18,0,49.62,0.47,0.95
2021-05-04 00:00:00,CF,49.12,49.97,48.32,49.62,109167754.27,0,49.61,0.01,0.02
2021-05-03 00:00:00,CF,49.16,50.19,49.1,49.61,97627969.6,0,48.63,0.98,2.02
2021-04-30 00:00:00,CF,49.1,49.74,48.53,48.63,53105620.18,0,49.63,-1.0,-2.01
2021-04-29 00:00:00,CF,50.34,50.46,49.11,49.63,74184445.35,0,49.56,0.07,0.14
2021-04-28 00:00:00,CF,49.21,50.2,48.895,49.56,81377241.18,0,48.99,0.57,1.16
2021-04-27 00:00:00,CF,48.47,49.44,47.84,48.99,71691152.09,0,48.47,0.52,1.07
2021-04-26 00:00:00,CF,47.8,48.81,47.59,48.47,101096785.69,0,47.32,1.15,2.43
2021-04-23 00:00:00,CF,47.24,47.84,46.77,47.32,72154830.45,0,47.15,0.17,0.36
2021-04-22 00:00:00,CF,47.78,48.33,47.09,47.15,93911748.25,0,47.71,-0.56,-1.17
2021-04-21 00:00:00,CF,46.2,47.79,45.5,47.71,75463171.11,0,46.23,1.48,3.2
2021-04-20 00:00:00,CF,46.5,46.92,45.26,46.23,91895386.43,0,46.91,-0.68,-1.45
2021-04-19 00:00:00,CF,47.5,47.77,46.47,46.91,70184243.62,0,47.31,-0.4,-0.85
2021-04-16 00:00:00,CF,47.77,48.33,46.97,47.31,61807963.5,0,47.37,-0.06,-0.13
2021-04-15 00:00:00,CF,47.61,47.89,46.7,47.37,61031920.29,0,47.22,0.15,0.32
2021-04-14 00:00:00,CF,45.5,47.7,45.48,47.22,115511284.07,0,45.2,2.02,4.47
2021-04-13 00:00:00,CF,45.36,45.6,44.322,45.2,69022577.24,0,45.47,-0.27,-0.59
2021-04-12 00:00:00,CF,46.41,46.47,45.215,45.47,70264415.23,0,46.01,-0.54,-1.17
2021-04-09 00:00:00,CF,45.52,46.22,45.5,46.01,58963575.96,0,45.52,0.49,1.08
2021-04-08 00:00:00,CF,45.87,46.19,44.69,45.52,87358700.65,0,46.08,-0.56,-1.22
2021-04-07 00:00:00,CF,45.88,46.23,45.25,46.08,55653348.72,0,45.61,0.47,1.03
2021-04-06 00:00:00,CF,45.23,45.8,44.96,45.61,74916813.53,0,45.42,0.19,0.42
2021-04-05 00:00:00,CF,46.7,46.82,44.99,45.42,71158758.72,0,45.91,-0.49,-1.07
2021-04-01 00:00:00,CF,45.73,46.48,45.016,45.91,84728812.42,0,45.38,0.53,1.17
2021-03-31 00:00:00,CF,45.3,46.025,43.92,45.38,143778517.07,0,45.43,-0.05,-0.11
2021-03-30 00:00:00,CF,45.75,46.24,45.04,45.43,71833970.49,0,45.97,-0.54,-1.17
