date,symbol,open,high,low,close,volume,turnover,preclose,risefall,risefallratio
2021-05-10 00:00:00,C,75.68,76.835,75.12,75.17,1490487529.39,0,75.08,0.09,0.12
2021-05-07 00:00:00,C,73.59,75.105,73.22,75.03,1263687797.85,0,74.78,0.25,0.33
2021-05-06 00:00:00,C,73.7,74.93,73.425,74.85,463035298.85,0,72.33,2.52,3.48
2021-05-05 00:00:00,C,72.6,73.81,71.78,73.76,1422517779.15,0,72.33,1.43,1.98
2021-05-04 00:00:00,C,71.24,72.4,70.63,72.33,1657732734.01,0,71.71,0.62,0.86
2021-05-03 00:00:00,C,72.02,72.445,71.39,71.71,1151090061.91,0,71.24,0.47,0.66
2021-04-30 00:00:00,C,72.69,72.74,71.09,71.24,1694983384.11,0,73.84,-2.6,-3.52
2021-04-29 00:00:00,C,73.76,74.02,72.881,73.84,1513759426.83,0,72.91,0.93,1.28
2021-04-28 00:00:00,C,73.37,73.64,72.73,72.91,1052254924.04,0,72.99,-0.08,-0.11
2021-04-27 00:00:00,C,72.5,73.1,72.36,72.99,970881411.61,0,72.2,0.79,1.09
2021-04-26 00:00:00,C,71.73,72.81,71.61,72.2,948419560.18,0,71.38,0.82,1.15
2021-04-23 00:00:00,C,69.84,71.54,69.51,71.38,1342334477.42,0,69.81,1.57,2.25
2021-04-22 00:00:00,C,70.43,70.75,69.67,69.81,1121798636.47,0,70.65,-0.84,-1.19
2021-04-21 00:00:00,C,69.13,70.705,68.405,70.65,1144181533.37,0,69.79,0.86,1.23
2021-04-20 00:00:00,C,71.55,71.55,69.27,69.79,1537604549.68,0,72.13,-2.34,-3.24
2021-04-19 00:00:00,C,72.71,72.835,71.95,72.13,1443638980.34,0,72.45,-0.32,-0.44
2021-04-16 00:00:00,C,73.32,73.57,71.69,72.45,2061480465.24,0,72.54,-0.09,-0.12
2021-04-15 00:00:00,C,74.45,74.73,71.76,72.54,2280518388.43,0,72.91,-0.37,-0.51
2021-04-14 00:00:00,C,71.74,73.29,71.379,72.91,1413822624.37,0,72.06,0.85,1.18
2021-04-13 00:00:00,C,72.3,72.42,71.065,72.06,1161429466.62,0,72.69,-0.63,-0.87
2021-04-12 00:00:00,C,72.62,72.8,72.14,72.69,869688433.72,0,72.42,0.27,0.37
2021-04-09 00:00:00,C,72.81,73.01,72.01,72.42,1055222021.16,0,72.33,0.09,0.12
2021-04-08 00:00:00,C,72.15,72.525,71.085,72.33,983742449.25,0,72.69,-0.36,-0.5
2021-04-07 00:00:00,C,72.92,73.12,71.95,72.69,1019834244.91,0,72.6,0.09,0.12
2021-04-06 00:00:00,C,72.365,73.065,72.05,72.6,934781255.72,0,72.75,-0.15,-0.21
2021-04-05 00:00:00,C,74.07,74.34,72.44,72.75,1178135274.62,0,73.14,-0.39,-0.53
2021-04-01 00:00:00,C,72.22,73.29,72.22,73.14,1108690545.63,0,72.75,0.39,0.54
2021-03-31 00:00:00,C,72.71,73.83,72.46,72.75,1108176216.76,0,72.96,-0.21,-0.29
2021-03-30 00:00:00,C,72.0,73.22,72.0,72.96,1135117500.33,0,71.58,1.38,1.93
2021-03-29 00:00:00,C,71.55,72.15,70.37,71.58,1271384872.89,0,73.02,-1.44,-1.97
2021-03-26 00:00:00,C,72.57,73.24,72.0,73.02,1140718446.65,0,71.72,1.3,1.81
2021-03-25 00:00:00,C,69.83,71.92,69.15,71.72,1296965468.9,0,70.08,1.64,2.34
2021-03-24 00:00:00,C,71.69,72.48,70.06,70.08,1217597454.23,0,70.91,-0.83,-1.17
2021-03-23 00:00:00,C,71.3,72.64,70.505,70.91,1158356358.57,0,71.96,-1.05,-1.46
2021-03-22 00:00:00,C,72.29,72.6,71.64,71.96,1082264389.35,0,73.01,-1.05,-1.44
2021-03-19 00:00:00,C,73.2,73.58,71.522,73.01,1754457968.15,0,73.84,-0.83,-1.12
2021-03-18 00:00:00,C,74.43,76.13,73.45,73.84,1784286806.06,0,73.6,0.24,0.33
2021-03-17 00:00:00,C,73.93,74.34,72.74,73.6,1419784700.49,0,73.33,0.27,0.37
2021-03-16 00:00:00,C,73.52,73.625,72.315,73.33,1157541703.81,0,74.22,-0.89,-1.2
2021-03-15 00:00:00,C,75.51,75.59,73.275,74.22,1401817125.24,0,75.18,-0.96,-1.28
2021-03-12 00:00:00,C,74.42,75.25,74.1,75.18,1285990736.87,0,73.31,1.87,2.55
2021-03-11 00:00:00,C,73.48,74.275,72.55,73.31,1283453720.43,0,73.75,-0.44,-0.6
2021-03-10 00:00:00,C,71.285,73.88,71.2,73.75,1554839247.61,0,70.99,2.76,3.89
2021-03-09 00:00:00,C,70.91,72.485,70.04,70.99,1726059109.44,0,72.22,-1.23,-1.7
2021-03-08 00:00:00,C,71.07,72.84,70.86,72.22,1968884264.02,0,70.23,1.99,2.83
2021-03-05 00:00:00,C,70.84,71.27,68.44,70.23,1769178091.56,0,69.81,0.42,0.6
2021-03-04 00:00:00,C,70.18,71.78,67.89,69.81,1986476806.11,0,70.38,-0.57,-0.81
2021-03-03 00:00:00,C,69.49,71.49,69.3,70.38,1774637384.97,0,68.91,1.47,2.13
2021-03-02 00:00:00,C,69.19,69.99,68.85,68.91,1326717918.69,0,69.54,-0.63,-0.91
2021-03-01 00:00:00,C,68.49,69.985,67.98,69.54,1938867922.34,0,65.88,3.66,5.56
2021-02-26 00:00:00,C,66.78,67.595,65.54,65.88,1602144505.9,0,67.41,-1.53,-2.27
2021-02-25 00:00:00,C,69.04,69.38,66.89,67.41,1714242916.87,0,68.6,-1.19,-1.73
2021-02-24 00:00:00,C,67.17,68.68,67.0,68.6,1412898536.63,0,66.74,1.86,2.79
