date,symbol,open,high,low,close,volume,turnover,preclose,risefall,risefallratio
2021-01-29 00:00:00,FDX,242.96,243.38,234.79,235.34,768728803.14,0,242.79,-7.45,-3.07
2021-01-28 00:00:00,FDX,246.01,246.29,242.62,242.79,530326900.82,0,242.83,-0.04,-0.02
2021-01-27 00:00:00,FDX,245.61,246.4,240.61,242.83,656683189.82,0,249.67,-6.84,-2.74
2021-01-26 00:00:00,FDX,254.2,254.84,249.34,249.67,461132215.91,0,253.48,-3.81,-1.5
2021-01-25 00:00:00,FDX,252.45,254.78,248.29,253.48,506316641.74,0,254.08,-0.6,-0.24
2021-01-22 00:00:00,FDX,252.0,255.44,250.01,254.08,428635852.15,0,253.94,0.14,0.06
2021-01-21 00:00:00,FDX,253.77,257.28,252.372,253.94,497072639.87,0,251.96,1.98,0.79
2021-01-20 00:00:00,FDX,251.19,252.35,247.62,251.96,541862702.61,0,249.52,2.44,0.98
2021-01-19 00:00:00,FDX,253.93,256.395,248.9,249.52,593067199.45,0,252.56,-3.04,-1.2
2021-01-15 00:00:00,FDX,255.76,255.76,250.98,252.56,708506620.11,0,256.27,-3.71,-1.45
2021-01-14 00:00:00,FDX,254.26,258.34,253.4,256.27,734410186.46,0,252.22,4.05,1.61
2021-01-13 00:00:00,FDX,250.5,253.87,248.2,252.22,756462402.65,0,249.04,3.18,1.28
2021-01-12 00:00:00,FDX,246.08,249.62,243.0,249.04,1078780852.79,0,245.31,3.73,1.52
2021-01-11 00:00:00,FDX,243.0,246.46,242.72,245.31,835850893.07,0,244.96,0.35,0.14
2021-01-08 00:00:00,FDX,246.52,247.36,242.42,244.96,1121483905.14,0,246.03,-1.07,-0.43
2021-01-07 00:00:00,FDX,254.09,256.215,245.45,246.03,1407203600.19,0,253.56,-7.53,-2.97
2021-01-06 00:00:00,FDX,250.46,258.981,250.385,253.56,920515938.06,0,253.18,0.38,0.15
2021-01-05 00:00:00,FDX,251.5,254.773,250.05,253.18,826035096.32,0,253.19,-0.01,0.0
2021-01-04 00:00:00,FDX,260.4,260.5,250.9,253.19,964494699.33,0,259.62,-6.43,-2.48
2020-12-31 00:00:00,FDX,259.6,260.46,257.51,259.62,674486551.85,0,259.98,-0.36,-0.14
2020-12-30 00:00:00,FDX,262.2,262.684,258.36,259.98,699956892.97,0,261.56,-1.58,-0.6
2020-12-29 00:00:00,FDX,263.95,265.45,259.67,261.56,700910981.87,0,262.94,-1.38,-0.52
2020-12-28 00:00:00,FDX,269.84,270.104,261.81,262.94,961006635.51,0,268.82,-5.88,-2.19
2020-12-24 00:00:00,FDX,271.36,272.03,267.19,268.82,443476172.96,0,270.71,-1.89,-0.7
2020-12-23 00:00:00,FDX,273.64,276.64,270.62,270.71,640745771.5,0,273.28,-2.57,-0.94
2020-12-22 00:00:00,FDX,272.5,273.34,268.28,273.28,963955604.6,0,271.94,1.34,0.49
2020-12-21 00:00:00,FDX,271.66,273.5,268.51,271.94,1350701508.7,0,275.57,-3.63,-1.32
2020-12-18 00:00:00,FDX,283.5,284.52,274.96,275.57,4295018678.05,0,292.26,-16.69,-5.71
2020-12-17 00:00:00,FDX,289.41,293.9,286.221,292.26,1736878957.01,0,288.81,3.45,1.19
2020-12-16 00:00:00,FDX,287.38,290.85,286.61,288.81,754006826.61,0,285.74,3.07,1.07
2020-12-15 00:00:00,FDX,286.01,289.46,283.11,285.74,865132451.1,0,285.54,0.2,0.07
2020-12-14 00:00:00,FDX,296.0,296.35,285.41,285.54,850615143.53,0,289.47,-3.93,-1.36
2020-12-11 00:00:00,FDX,289.78,291.88,286.192,289.47,681668178.22,0,290.9,-1.43,-0.49
2020-12-10 00:00:00,FDX,291.26,294.38,288.61,290.9,860857482.68,0,295.32,-4.42,-1.5
2020-12-09 00:00:00,FDX,303.5,305.66,293.46,295.32,789325468.85,0,301.45,-6.13,-2.03
2020-12-08 00:00:00,FDX,298.0,303.65,297.72,301.45,869912920.16,0,297.04,4.41,1.48
2020-12-07 00:00:00,FDX,296.9,297.04,293.2,297.04,438557501.21,0,294.88,2.16,0.73
2020-12-04 00:00:00,FDX,294.36,298.98,293.119,294.88,546168354.66,0,292.7,2.18,0.74
2020-12-03 00:00:00,FDX,291.72,296.34,289.78,292.7,574641913.33,0,291.72,0.98,0.34
2020-12-02 00:00:00,FDX,287.22,293.84,285.034,291.72,731457271.76,0,287.76,3.96,1.38
2020-12-01 00:00:00,FDX,293.56,297.66,287.6,287.76,892308928.68,0,286.58,1.18,0.41
2020-11-30 00:00:00,FDX,287.99,290.9,280.54,286.58,911697958.83,0,287.41,-0.83,-0.29
2020-11-27 00:00:00,FDX,290.8,291.2,285.35,287.41,359394759.03,0,288.3,-0.89,-0.31
2020-11-25 00:00:00,FDX,291.81,292.775,286.56,288.3,663843820.6,0,291.68,-3.38,-1.16
2020-11-24 00:00:00,FDX,289.59,296.075,285.3,291.68,1086971612.89,0,286.35,5.33,1.86
2020-11-23 00:00:00,FDX,280.21,286.4,280.2,286.35,692677856.75,0,276.69,9.66,3.49
2020-11-20 00:00:00,FDX,280.97,281.66,276.69,276.69,525707042.94,0,279.85,-3.16,-1.13
2020-11-19 00:00:00,FDX,283.77,285.0,276.88,279.85,663344021.81,0,282.5,-2.65,-0.94
2020-11-18 00:00:00,FDX,285.7,289.76,282.49,282.5,822559787.78,0,285.05,-2.55,-0.89
2020-11-17 00:00:00,FDX,281.87,286.2,276.9,285.05,795245627.39,0,279.83,5.22,1.87
2020-11-16 00:00:00,FDX,273.52,280.88,270.42,279.83,688890303.29,0,271.91,7.92,2.91
2020-11-13 00:00:00,FDX,267.99,273.72,267.99,271.91,433756144.26,0,267.16,4.75,1.78
2020-11-12 00:00:00,FDX,269.23,270.89,263.99,267.16,514772396.35,0,267.81,-0.65,-0.24
2020-11-11 00:00:00,FDX,271.17,271.308,266.0,267.81,519197284.91,0,267.27,0.54,0.2
2020-11-10 00:00:00,FDX,264.38,268.77,258.0,267.27,761294586.88,0,263.88,3.39,1.28
2020-11-09 00:00:00,FDX,274.24,274.5,256.35,263.88,1559347328.54,0,279.77,-15.89,-5.68
2020-11-06 00:00:00,FDX,278.52,284.3,277.124,279.77,530988180.42,0,279.07,0.7,0.25
2020-11-05 00:00:00,FDX,273.0,282.27,273.0,279.07,622931797.91,0,269.1,9.97,3.7
2020-11-04 00:00:00,FDX,276.71,278.8,268.53,269.1,768617072.4,0,274.48,-5.38,-1.96
2020-11-03 00:00:00,FDX,271.95,276.92,268.12,274.48,721853423.06,0,266.98,7.5,2.81
2020-11-02 00:00:00,FDX,262.7,267.49,259.01,266.98,541356395.29,0,259.47,7.51,2.89
2020-10-30 00:00:00,FDX,264.6,265.99,255.56,259.47,700558860.56,0,267.02,-7.55,-2.83
2020-10-29 00:00:00,FDX,260.21,269.74,260.06,267.02,713963626.72,0,259.99,7.03,2.7
2020-10-28 00:00:00,FDX,262.73,266.92,258.0,259.99,1057846175.35,0,274.41,-14.42,-5.25
2020-10-27 00:00:00,FDX,279.94,280.35,274.39,274.41,529363827.71,0,277.62,-3.21,-1.16
2020-10-26 00:00:00,FDX,279.99,280.5,273.4,277.62,642078019.7,0,283.56,-5.94,-2.09
2020-10-23 00:00:00,FDX,278.29,283.87,276.86,283.56,701844003.78,0,275.95,7.61,2.76
2020-10-22 00:00:00,FDX,283.58,285.64,274.02,275.95,822516422.4,0,282.28,-6.33,-2.24
2020-10-21 00:00:00,FDX,289.16,293.3,282.26,282.28,920840355.61,0,287.4,-5.12,-1.78
2020-10-20 00:00:00,FDX,284.0,292.69,283.11,287.4,1133145204.2,0,281.97,5.43,1.93
2020-10-19 00:00:00,FDX,284.81,291.22,279.56,281.97,987774682.65,0,283.87,-1.9,-0.67
2020-10-16 00:00:00,FDX,284.0,287.16,282.001,283.87,851602770.76,0,282.11,1.76,0.62
2020-10-15 00:00:00,FDX,273.09,282.14,271.749,282.11,629093348.62,0,276.24,5.87,2.13
2020-10-14 00:00:00,FDX,274.75,278.96,273.77,276.24,575806430.99,0,272.74,3.5,1.28
2020-10-13 00:00:00,FDX,272.32,275.24,271.85,272.74,453067580.91,0,273.5,-0.76,-0.28
2020-10-12 00:00:00,FDX,272.26,274.21,271.32,273.5,563902510.65,0,271.55,1.95,0.72
2020-10-09 00:00:00,FDX,274.4,275.0,269.54,271.55,589513125.51,0,271.06,0.49,0.18
2020-10-08 00:00:00,FDX,269.73,272.525,266.35,271.06,538751183.51,0,268.26,2.8,1.04
2020-10-07 00:00:00,FDX,263.85,270.66,263.5,268.26,800895469.31,0,259.27,8.99,3.47
2020-10-06 00:00:00,FDX,260.12,264.98,258.18,259.27,824987973.39,0,259.21,0.06,0.02
2020-10-05 00:00:00,FDX,258.8,260.96,257.73,259.21,629232320.46,0,255.2,4.01,1.57
2020-10-02 00:00:00,FDX,250.55,258.55,250.0,255.2,771868845.36,0,254.08,1.12,0.44
2020-10-01 00:00:00,FDX,255.26,257.79,252.88,254.08,730536017.88,0,251.52,2.56,1.02
2020-09-30 00:00:00,FDX,253.47,257.506,249.5,251.52,634781436.63,0,253.5,-1.98,-0.78
2020-09-29 00:00:00,FDX,254.99,258.2,249.12,253.5,561862218.53,0,254.44,-0.94,-0.37
2020-09-28 00:00:00,FDX,255.27,259.95,254.08,254.44,848159534.85,0,250.17,4.27,1.71
2020-09-25 00:00:00,FDX,241.68,251.899,241.47,250.17,798697466.28,0,244.22,5.95,2.44
2020-09-24 00:00:00,FDX,244.01,247.2,239.5,244.22,744403082.09,0,241.42,2.8,1.16
2020-09-23 00:00:00,FDX,244.99,250.51,241.04,241.42,758667744.15,0,243.42,-2.0,-0.82
2020-09-22 00:00:00,FDX,239.51,243.78,235.63,243.42,637695281.92,0,238.74,4.68,1.96
2020-09-21 00:00:00,FDX,237.95,239.19,230.27,238.74,970612869.33,0,242.78,-4.04,-1.66
2020-09-18 00:00:00,FDX,242.97,248.2,241.95,242.78,1062193379.18,0,244.08,-1.3,-0.53
2020-09-17 00:00:00,FDX,242.63,249.8,242.11,244.08,1044309873.95,0,250.3,-6.22,-2.49
2020-09-16 00:00:00,FDX,253.03,256.18,246.3,250.3,4297795879.77,0,236.67,13.63,5.76
2020-09-15 00:00:00,FDX,234.99,239.85,230.51,236.67,2365560724.58,0,236.34,0.33,0.14
2020-09-14 00:00:00,FDX,240.99,241.0,232.57,236.34,1550567791.45,0,232.79,3.55,1.53
2020-09-11 00:00:00,FDX,226.44,233.67,225.47,232.79,1119770242.41,0,224.44,8.35,3.72
2020-09-10 00:00:00,FDX,229.49,229.49,222.89,224.44,550745962.97,0,225.75,-1.31,-0.58
2020-09-09 00:00:00,FDX,226.0,228.845,224.12,225.75,730891683.85,0,221.05,4.7,2.13
2020-09-08 00:00:00,FDX,223.79,225.748,219.72,221.05,472352585.0,0,226.12,-5.07,-2.24
2020-10-22 00:00:00,FDX,283.58,285.64,274.02,275.95,822516422.4,0,282.28,-6.33,-2.24
2020-10-21 00:00:00,FDX,289.16,293.3,282.26,282.28,920840355.61,0,287.4,-5.12,-1.78
2020-10-20 00:00:00,FDX,284.0,292.69,283.11,287.4,1133145204.2,0,281.97,5.43,1.93
2020-10-19 00:00:00,FDX,284.81,291.22,279.56,281.97,987774682.65,0,283.87,-1.9,-0.67
2020-10-16 00:00:00,FDX,284.0,287.16,282.001,283.87,851602770.76,0,282.11,1.76,0.62
2020-10-15 00:00:00,FDX,273.09,282.14,271.749,282.11,629093348.62,0,276.24,5.87,2.13
2020-10-14 00:00:00,FDX,274.75,278.96,273.77,276.24,575806430.99,0,272.74,3.5,1.28
2020-10-13 00:00:00,FDX,272.32,275.24,271.85,272.74,453067580.91,0,273.5,-0.76,-0.28
2020-10-12 00:00:00,FDX,272.26,274.21,271.32,273.5,563902510.65,0,271.55,1.95,0.72
2020-10-09 00:00:00,FDX,274.4,275.0,269.54,271.55,589513125.51,0,271.06,0.49,0.18
2020-10-08 00:00:00,FDX,269.73,272.525,266.35,271.06,538751183.51,0,268.26,2.8,1.04
2020-10-07 00:00:00,FDX,263.85,270.66,263.5,268.26,800895469.31,0,259.27,8.99,3.47
2020-10-06 00:00:00,FDX,260.12,264.98,258.18,259.27,824987973.39,0,259.21,0.06,0.02
2020-10-05 00:00:00,FDX,258.8,260.96,257.73,259.21,629232320.46,0,255.2,4.01,1.57
2020-10-02 00:00:00,FDX,250.55,258.55,250.0,255.2,771868845.36,0,254.08,1.12,0.44
2020-10-01 00:00:00,FDX,255.26,257.79,252.88,254.08,730536017.88,0,251.52,2.56,1.02
2020-09-30 00:00:00,FDX,253.47,257.506,249.5,251.52,634781436.63,0,253.5,-1.98,-0.78
2020-09-29 00:00:00,FDX,254.99,258.2,249.12,253.5,561862218.53,0,254.44,-0.94,-0.37
2020-09-28 00:00:00,FDX,255.27,259.95,254.08,254.44,848159534.85,0,250.17,4.27,1.71
2020-09-25 00:00:00,FDX,241.68,251.899,241.47,250.17,798697466.28,0,244.22,5.95,2.44
2020-09-24 00:00:00,FDX,244.01,247.2,239.5,244.22,744403082.09,0,241.42,2.8,1.16
2020-09-23 00:00:00,FDX,244.99,250.51,241.04,241.42,758667744.15,0,243.42,-2.0,-0.82
2020-09-22 00:00:00,FDX,239.51,243.78,235.63,243.42,637695281.92,0,238.74,4.68,1.96
2020-09-21 00:00:00,FDX,237.95,239.19,230.27,238.74,970612869.33,0,242.78,-4.04,-1.66
2020-09-18 00:00:00,FDX,242.97,248.2,241.95,242.78,1062193379.18,0,244.08,-1.3,-0.53
2020-09-17 00:00:00,FDX,242.63,249.8,242.11,244.08,1044309873.95,0,250.3,-6.22,-2.49
2020-09-16 00:00:00,FDX,253.03,256.18,246.3,250.3,4297795879.77,0,236.67,13.63,5.76
2020-09-15 00:00:00,FDX,234.99,239.85,230.51,236.67,2365560724.58,0,236.34,0.33,0.14
2020-09-14 00:00:00,FDX,240.99,241.0,232.57,236.34,1550567791.45,0,232.79,3.55,1.53
2020-09-11 00:00:00,FDX,226.44,233.67,225.47,232.79,1119770242.41,0,224.44,8.35,3.72
2020-09-10 00:00:00,FDX,229.49,229.49,222.89,224.44,550745962.97,0,225.75,-1.31,-0.58
2020-09-09 00:00:00,FDX,226.0,228.845,224.12,225.75,730891683.85,0,221.05,4.7,2.13
2020-09-08 00:00:00,FDX,223.79,225.748,219.72,221.05,472352585.0,0,226.12,-5.07,-2.24
2020-09-04 00:00:00,FDX,222.46,228.236,217.398,226.12,645565875.99,0,220.97,5.15,2.33
2020-09-03 00:00:00,FDX,228.13,231.58,218.59,220.97,897604416.12,0,227.91,-6.94,-3.05
2020-09-02 00:00:00,FDX,227.12,229.0,223.07,227.91,380293454.65,0,225.46,2.45,1.09
2020-09-01 00:00:00,FDX,219.99,226.55,219.141,225.46,426680932.06,0,219.84,5.62,2.56
2020-08-31 00:00:00,FDX,221.8,224.2,219.8,219.84,406943397.91,0,221.9,-2.06,-0.93
2020-08-28 00:00:00,FDX,218.23,223.66,218.01,221.9,663934540.62,0,218.21,3.69,1.69
2020-08-27 00:00:00,FDX,216.1,218.875,215.08,218.21,438252503.67,0,215.77,2.44,1.13
2020-08-26 00:00:00,FDX,215.73,217.12,214.08,215.77,327416561.74,0,214.31,1.46,0.68
2020-08-25 00:00:00,FDX,219.17,219.58,213.22,214.31,464904713.49,0,217.4,-3.09,-1.42
2020-08-24 00:00:00,FDX,212.96,217.95,211.99,217.4,733462533.86,0,210.49,6.91,3.28
2020-08-21 00:00:00,FDX,209.16,212.94,208.5,210.49,428976897.67,0,208.82,1.67,0.8
2020-08-20 00:00:00,FDX,206.23,209.2,205.06,208.82,318919818.45,0,207.88,0.94,0.45
2020-08-19 00:00:00,FDX,206.84,210.94,206.84,207.88,463246164.81,0,206.97,0.91,0.44
2020-08-18 00:00:00,FDX,206.37,208.43,204.18,206.97,628387235.14,0,206.64,0.33,0.16
2020-08-17 00:00:00,FDX,210.0,211.56,206.037,206.64,553997967.32,0,208.6,-1.96,-0.94
2020-08-14 00:00:00,FDX,202.07,209.641,201.86,208.6,962839751.73,0,203.86,4.74,2.33
2020-08-13 00:00:00,FDX,200.68,204.79,199.61,203.86,743580679.08,0,201.96,1.9,0.94
2020-08-12 00:00:00,FDX,200.0,206.24,199.015,201.96,1269504185.5,0,196.45,5.51,2.8
2020-08-11 00:00:00,FDX,199.99,203.585,195.14,196.45,1191144488.5,0,199.98,-3.53,-1.77
2020-08-10 00:00:00,FDX,188.16,200.46,187.34,199.98,2122963606.35,0,183.53,16.45,8.96
2020-08-07 00:00:00,FDX,172.47,183.88,172.47,183.53,1138448794.35,0,172.24,11.29,6.55
2020-08-06 00:00:00,FDX,172.0,173.48,171.32,172.24,235426383.8,0,171.7,0.54,0.31
2020-08-05 00:00:00,FDX,171.85,172.423,170.244,171.7,224691678.03,0,170.66,1.04,0.61
2020-08-04 00:00:00,FDX,169.22,171.48,169.2,170.66,215642755.71,0,169.22,1.44,0.85
2020-08-03 00:00:00,FDX,169.55,170.585,168.53,169.22,254773541.83,0,168.4,0.82,0.49
2020-07-31 00:00:00,FDX,172.0,172.71,167.99,168.4,420715851.67,0,172.71,-4.31,-2.5
2020-07-30 00:00:00,FDX,174.15,174.5,169.86,172.71,935218046.38,0,169.55,3.16,1.86
2020-07-29 00:00:00,FDX,167.1,171.37,167.01,169.55,784574688.84,0,166.93,2.62,1.57
2020-07-28 00:00:00,FDX,169.42,170.33,166.711,166.93,398576363.61,0,170.64,-3.71,-2.17
