date,symbol,open,high,low,close,volume,turnover,preclose,risefall,risefallratio
2021-05-10 00:00:00,GE,13.34,13.58,13.31,13.37,881917820.41,0,13.3,0.07,0.53
2021-05-07 00:00:00,GE,13.16,13.34,13.07,13.28,713740951.8,0,13.21,0.07,0.53
2021-05-06 00:00:00,GE,13.21,13.31,13.03,13.2,335091067.69,0,13.12,0.08,0.61
2021-05-05 00:00:00,GE,13.19,13.29,13.09,13.2,735636652.16,0,13.12,0.08,0.61
2021-05-04 00:00:00,GE,13.34,13.385,13.07,13.12,1017814116.55,0,13.45,-0.33,-2.45
2021-05-03 00:00:00,GE,13.24,13.53,13.17,13.45,849960420.69,0,13.12,0.33,2.52
2021-04-30 00:00:00,GE,13.16,13.35,13.08,13.12,655711840.01,0,13.21,-0.09,-0.68
2021-04-29 00:00:00,GE,13.18,13.29,13.08,13.21,725906275.99,0,13.2,0.01,0.08
2021-04-28 00:00:00,GE,13.33,13.35,13.15,13.2,875281441.47,0,13.49,-0.29,-2.15
2021-04-27 00:00:00,GE,13.5,13.54,12.91,13.49,1981533181.61,0,13.57,-0.08,-0.59
2021-04-26 00:00:00,GE,13.63,14.0,13.55,13.57,1287422992.95,0,13.55,0.02,0.15
2021-04-23 00:00:00,GE,13.5,13.61,13.36,13.55,637895494.13,0,13.41,0.14,1.04
2021-04-22 00:00:00,GE,13.35,13.675,13.28,13.41,708462726.48,0,13.35,0.06,0.45
2021-04-21 00:00:00,GE,12.93,13.38,12.77,13.35,656675832.0,0,13.06,0.29,2.22
2021-04-20 00:00:00,GE,13.41,13.41,12.9,13.06,802793615.42,0,13.46,-0.4,-2.97
2021-04-19 00:00:00,GE,13.32,13.47,13.17,13.46,598139327.93,0,13.39,0.07,0.52
2021-04-16 00:00:00,GE,13.63,13.68,13.35,13.39,673219700.41,0,13.55,-0.16,-1.18
2021-04-15 00:00:00,GE,13.73,13.75,13.44,13.55,688090707.88,0,13.68,-0.13,-0.95
2021-04-14 00:00:00,GE,13.43,13.79,13.42,13.68,883566720.5,0,13.44,0.24,1.79
2021-04-13 00:00:00,GE,13.51,13.54,13.26,13.44,687770618.92,0,13.59,-0.15,-1.1
2021-04-12 00:00:00,GE,13.61,13.68,13.47,13.59,569903213.8,0,13.6,-0.01,-0.07
2021-04-09 00:00:00,GE,13.5,13.83,13.42,13.6,858611650.82,0,13.45,0.15,1.12
2021-04-08 00:00:00,GE,13.26,13.5,13.09,13.45,732413686.06,0,13.39,0.06,0.45
2021-04-07 00:00:00,GE,13.4,13.53,13.26,13.39,557295644.59,0,13.4,-0.01,-0.07
2021-04-06 00:00:00,GE,13.46,13.5,13.37,13.4,537777482.43,0,13.46,-0.06,-0.45
2021-04-05 00:00:00,GE,13.47,13.565,13.37,13.46,682099207.17,0,13.28,0.18,1.36
2021-04-01 00:00:00,GE,13.23,13.36,13.15,13.28,783215300.7,0,13.13,0.15,1.14
2021-03-31 00:00:00,GE,13.38,13.425,13.13,13.13,826673297.71,0,13.3,-0.17,-1.28
2021-03-30 00:00:00,GE,12.98,13.36,12.9,13.3,699400419.29,0,12.95,0.35,2.7
2021-03-29 00:00:00,GE,12.92,13.05,12.78,12.95,693677293.7,0,12.99,-0.04,-0.31
2021-03-26 00:00:00,GE,12.95,13.13,12.71,12.99,781892217.64,0,12.85,0.14,1.09
2021-03-25 00:00:00,GE,12.4,12.93,12.23,12.85,924403584.26,0,12.5,0.35,2.8
2021-03-24 00:00:00,GE,12.76,13.02,12.5,12.5,791511359.38,0,12.66,-0.16,-1.26
2021-03-23 00:00:00,GE,12.96,13.18,12.55,12.66,838932364.31,0,13.13,-0.47,-3.58
2021-03-22 00:00:00,GE,13.16,13.24,12.93,13.13,690959206.19,0,13.22,-0.09,-0.68
2021-03-19 00:00:00,GE,13.2,13.35,12.98,13.22,904699870.06,0,13.25,-0.03,-0.23
2021-03-18 00:00:00,GE,13.59,13.69,13.193,13.25,857418608.67,0,13.61,-0.36,-2.65
2021-03-17 00:00:00,GE,13.2,13.61,13.125,13.61,1064374368.6,0,13.15,0.46,3.5
2021-03-16 00:00:00,GE,13.33,13.35,13.07,13.15,981760531.05,0,13.35,-0.2,-1.5
2021-03-15 00:00:00,GE,12.74,13.36,12.725,13.35,1464987104.36,0,12.58,0.77,6.12
2021-03-12 00:00:00,GE,12.24,12.618,12.23,12.58,1680124188.86,0,12.27,0.31,2.53
2021-03-11 00:00:00,GE,12.69,12.86,11.95,12.27,3743483436.09,0,13.25,-0.98,-7.4
2021-03-10 00:00:00,GE,13.65,13.74,12.92,13.25,2923213749.18,0,14.0,-0.75,-5.36
2021-03-09 00:00:00,GE,14.1,14.415,13.83,14.0,1618685345.71,0,14.17,-0.17,-1.2
2021-03-08 00:00:00,GE,14.21,14.34,13.81,14.17,2032691124.21,0,13.6,0.57,4.19
2021-03-05 00:00:00,GE,13.8,13.81,13.14,13.6,1417888384.15,0,13.57,0.03,0.22
2021-03-04 00:00:00,GE,13.88,14.13,13.18,13.57,2263340646.99,0,13.44,0.13,0.97
2021-03-03 00:00:00,GE,13.09,13.615,13.05,13.44,1580923042.73,0,12.98,0.46,3.54
2021-03-02 00:00:00,GE,13.15,13.25,12.97,12.98,1006923989.27,0,13.11,-0.13,-0.99
2021-03-01 00:00:00,GE,12.92,13.29,12.79,13.11,1024511106.03,0,12.54,0.57,4.55
2021-02-26 00:00:00,GE,12.68,12.84,12.41,12.54,1118371572.14,0,12.76,-0.22,-1.72
2021-02-25 00:00:00,GE,13.1,13.27,12.66,12.76,1191073855.95,0,13.12,-0.36,-2.74
2021-02-24 00:00:00,GE,12.8,13.35,12.645,13.12,1398917461.6,0,12.59,0.53,4.21
2021-02-23 00:00:00,GE,12.6,12.65,12.18,12.59,899318970.1,0,12.5,0.09,0.72
2021-02-22 00:00:00,GE,12.07,12.7,12.025,12.5,1205411948.98,0,12.02,0.48,3.99
