date,symbol,open,high,low,close,volume,turnover,preclose,risefall,risefallratio
2020-10-22 00:00:00,INTC,53.12,54.22,53.07,53.9,2174301611.78,0,53.5,0.4,0.75
2020-10-21 00:00:00,INTC,53.14,54.07,52.82,53.5,1200302128.68,0,53.43,0.07,0.13
2020-10-20 00:00:00,INTC,54.6,54.7,53.27,53.43,1469501945.06,0,54.58,-1.15,-2.11
2020-10-19 00:00:00,INTC,54.47,56.23,53.84,54.58,2378261070.6,0,54.16,0.42,0.78
2020-10-16 00:00:00,INTC,53.9,54.7,53.9,54.16,1273032630.51,0,53.85,0.31,0.58
2020-10-15 00:00:00,INTC,52.75,53.98,52.62,53.85,976849442.81,0,53.55,0.3,0.56
2020-10-14 00:00:00,INTC,54.01,54.4,53.51,53.55,1176679958.99,0,53.83,-0.28,-0.52
2020-10-13 00:00:00,INTC,54.27,54.29,53.62,53.83,1079476558.3,0,53.88,-0.05,-0.09
2020-10-12 00:00:00,INTC,53.55,54.2,53.21,53.88,1468646841.42,0,52.82,1.06,2.01
2020-10-09 00:00:00,INTC,53.55,53.85,52.67,52.82,1291769048.6,0,53.37,-0.55,-1.03
2020-10-08 00:00:00,INTC,52.91,53.58,52.67,53.37,1192172357.66,0,52.67,0.7,1.33
2020-10-07 00:00:00,INTC,51.85,52.9,51.79,52.67,1157109056.44,0,51.37,1.3,2.53
2020-10-06 00:00:00,INTC,51.71,52.7,51.23,51.37,1331920533.63,0,51.69,-0.32,-0.62
2020-10-05 00:00:00,INTC,51.3,51.81,51.27,51.69,1076952612.8,0,51.01,0.68,1.33
2020-10-02 00:00:00,INTC,5.12,5.46,4.434,5.45,585276.43,0,4.63,0.82,17.71
2020-10-01 00:00:00,INTC,52.4,52.72,51.99,52.24,1156459875.56,0,51.78,0.46,0.89
2020-09-30 00:00:00,INTC,51.24,52.38,51.15,51.78,1437720921.45,0,51.19,0.59,1.15
2020-09-29 00:00:00,INTC,51.305,51.735,50.95,51.19,1009824086.43,0,51.43,-0.24,-0.47
2020-09-28 00:00:00,INTC,50.51,51.46,50.16,51.43,1512150219.14,0,49.94,1.49,2.98
2020-09-25 00:00:00,INTC,48.96,50.28,48.75,49.94,1324100106.7,0,49.16,0.78,1.59
2020-09-24 00:00:00,INTC,48.53,49.64,48.42,49.16,1440306036.27,0,48.82,0.34,0.7
2020-09-23 00:00:00,INTC,49.83,50.145,48.66,48.82,1480935186.25,0,49.95,-1.13,-2.26
