date,symbol,open,high,low,close,volume,turnover,preclose,risefall,risefallratio
2021-05-10 00:00:00,JPM,161.58,163.73,161.13,161.22,2276860193.74,0,161.24,-0.02,-0.01
2021-05-07 00:00:00,JPM,157.24,161.5,157.154,161.15,2286692360.91,0,160.69,0.46,0.29
2021-05-06 00:00:00,JPM,158.08,160.825,157.17,160.81,785549384.08,0,155.48,5.33,3.43
2021-05-05 00:00:00,JPM,155.83,158.28,154.63,157.54,1651219297.16,0,155.48,2.06,1.32
2021-05-04 00:00:00,JPM,152.87,155.64,152.14,155.48,2002426458.64,0,153.36,2.12,1.38
2021-05-03 00:00:00,JPM,154.85,155.48,153.13,153.36,1817862934.47,0,153.81,-0.45,-0.29
2021-04-30 00:00:00,JPM,154.1,154.49,153.01,153.81,1798429874.8,0,155.19,-1.38,-0.89
2021-04-29 00:00:00,JPM,153.54,155.28,153.2,155.19,2002975771.39,0,152.23,2.96,1.94
2021-04-28 00:00:00,JPM,152.43,152.89,151.4,152.23,1360470334.6,0,151.25,0.98,0.65
2021-04-27 00:00:00,JPM,150.5,151.57,150.11,151.25,1935321310.12,0,150.56,0.69,0.46
2021-04-26 00:00:00,JPM,150.78,152.46,150.38,150.56,1633008946.84,0,150.19,0.37,0.25
2021-04-23 00:00:00,JPM,147.18,151.13,146.685,150.19,2101222460.35,0,147.37,2.82,1.91
2021-04-22 00:00:00,JPM,150.23,150.3,147.26,147.37,2262245895.26,0,150.54,-3.17,-2.11
2021-04-21 00:00:00,JPM,147.79,150.61,146.79,150.54,1829654531.71,0,149.27,1.27,0.85
2021-04-20 00:00:00,JPM,151.74,151.75,148.65,149.27,2050307029.12,0,152.65,-3.38,-2.21
2021-04-19 00:00:00,JPM,153.42,153.88,152.22,152.65,1819079452.87,0,153.3,-0.65,-0.42
2021-04-16 00:00:00,JPM,153.87,154.51,152.69,153.3,2113293149.51,0,152.17,1.13,0.74
2021-04-15 00:00:00,JPM,151.25,152.2,149.32,152.17,2670108215.01,0,151.21,0.96,0.63
2021-04-14 00:00:00,JPM,151.47,153.83,150.93,151.21,3033769755.09,0,154.09,-2.88,-1.87
2021-04-13 00:00:00,JPM,154.75,155.2,152.43,154.09,2483335165.3,0,155.95,-1.86,-1.19
2021-04-12 00:00:00,JPM,155.58,157.25,155.57,155.95,1915402276.23,0,156.28,-0.33,-0.21
2021-04-09 00:00:00,JPM,155.81,157.042,154.97,156.28,1890447044.67,0,155.12,1.16,0.75
2021-04-08 00:00:00,JPM,154.0,155.505,152.31,155.12,1901509786.69,0,154.93,0.19,0.12
2021-04-07 00:00:00,JPM,153.1,155.23,152.65,154.93,2603415624.28,0,152.54,2.39,1.57
2021-04-06 00:00:00,JPM,152.79,154.28,151.86,152.54,1993292959.88,0,153.62,-1.08,-0.7
2021-04-05 00:00:00,JPM,154.4,154.94,152.6,153.62,2074002056.03,0,153.71,-0.09,-0.06
2021-04-01 00:00:00,JPM,151.9,153.79,151.55,153.71,2531751283.65,0,152.23,1.48,0.97
2021-03-31 00:00:00,JPM,153.28,154.49,152.12,152.23,2554617754.02,0,154.48,-2.25,-1.46
2021-03-30 00:00:00,JPM,154.46,155.87,153.88,154.48,2038871189.25,0,152.68,1.8,1.18
2021-03-29 00:00:00,JPM,152.12,153.728,151.04,152.68,2681384712.2,0,155.09,-2.41,-1.55
2021-03-26 00:00:00,JPM,154.3,155.45,152.55,155.09,2581245050.86,0,152.55,2.54,1.67
2021-03-25 00:00:00,JPM,150.0,152.97,149.33,152.55,2365436788.23,0,150.62,1.93,1.28
2021-03-24 00:00:00,JPM,150.0,153.18,149.86,150.62,1982199795.35,0,149.46,1.16,0.78
2021-03-23 00:00:00,JPM,150.33,152.12,148.96,149.46,2565913762.96,0,150.97,-1.51,-1.0
2021-03-22 00:00:00,JPM,152.8,153.97,150.61,150.97,3023237324.23,0,155.14,-4.17,-2.69
2021-03-19 00:00:00,JPM,155.51,155.94,151.19,155.14,8388224947.15,0,157.65,-2.51,-1.59
2021-03-18 00:00:00,JPM,157.6,161.69,157.11,157.65,3489832087.38,0,155.09,2.56,1.65
2021-03-17 00:00:00,JPM,155.34,156.88,153.05,155.09,2156119138.12,0,153.51,1.58,1.03
2021-03-16 00:00:00,JPM,154.09,154.6,152.19,153.51,1964046907.42,0,155.37,-1.86,-1.2
2021-03-15 00:00:00,JPM,156.35,156.92,153.96,155.37,1875147579.1,0,156.15,-0.78,-0.5
2021-03-12 00:00:00,JPM,156.86,157.63,155.07,156.15,2007111938.02,0,154.32,1.83,1.19
2021-03-11 00:00:00,JPM,154.11,156.15,153.36,154.32,1821642201.8,0,155.13,-0.81,-0.52
2021-03-10 00:00:00,JPM,151.91,156.16,151.51,155.13,2212203298.87,0,151.83,3.3,2.17
2021-03-09 00:00:00,JPM,151.5,154.25,149.82,151.83,2472522199.39,0,152.91,-1.08,-0.71
2021-03-08 00:00:00,JPM,152.47,155.46,150.75,152.91,2623004419.41,0,150.91,2.0,1.33
2021-03-05 00:00:00,JPM,153.215,153.49,147.97,150.91,2775632016.96,0,150.56,0.35,0.23
2021-03-04 00:00:00,JPM,152.61,154.379,148.62,150.56,3030556711.41,0,152.91,-2.35,-1.54
