date,symbol,open,high,low,close,volume,turnover,preclose,risefall,risefallratio
2021-05-10 00:00:00,MET,66.99,67.675,66.44,66.53,357145341.36,0,66.68,-0.15,-0.23
2021-05-07 00:00:00,MET,66.54,67.215,66.0,67.19,281486344.13,0,66.95,0.24,0.36
2021-05-06 00:00:00,MET,65.41,67.05,65.11,66.94,128722412.19,0,64.31,2.63,4.09
2021-05-05 00:00:00,MET,64.5,65.89,64.02,65.51,341342532.13,0,64.31,1.2,1.87
2021-05-04 00:00:00,MET,63.91,64.425,63.29,64.31,245075803.54,0,64.22,0.09,0.14
2021-05-03 00:00:00,MET,64.38,64.75,63.76,64.22,244943845.56,0,63.63,0.59,0.93
2021-04-30 00:00:00,MET,64.17,64.57,63.515,63.63,267168588.47,0,64.43,-0.8,-1.24
2021-04-29 00:00:00,MET,64.36,64.81,63.83,64.43,199945330.23,0,63.73,0.7,1.1
2021-04-28 00:00:00,MET,63.84,64.16,63.46,63.73,240094870.42,0,63.36,0.37,0.58
2021-04-27 00:00:00,MET,62.8,63.42,62.76,63.36,208011589.76,0,62.79,0.57,0.91
2021-04-26 00:00:00,MET,63.01,63.91,62.66,62.79,196292998.98,0,62.79,0.0,0.0
2021-04-23 00:00:00,MET,61.87,63.13,61.75,62.79,204233097.86,0,61.9,0.89,1.44
2021-04-22 00:00:00,MET,62.11,62.535,61.62,61.9,206987357.71,0,62.65,-0.75,-1.2
2021-04-21 00:00:00,MET,61.08,62.72,60.95,62.65,323145594.32,0,61.16,1.49,2.44
2021-04-20 00:00:00,MET,62.5,62.78,60.78,61.16,266284933.34,0,63.1,-1.94,-3.07
2021-04-19 00:00:00,MET,63.23,63.6,63.005,63.1,302365841.57,0,63.07,0.03,0.05
2021-04-16 00:00:00,MET,62.94,63.362,62.58,63.07,256629733.3,0,62.3,0.77,1.24
2021-04-15 00:00:00,MET,62.83,62.925,61.9,62.3,283585193.52,0,62.73,-0.43,-0.69
2021-04-14 00:00:00,MET,61.94,63.06,61.87,62.73,272358938.22,0,62.05,0.68,1.1
2021-04-13 00:00:00,MET,62.27,62.47,61.626,62.05,211583861.03,0,62.66,-0.61,-0.97
2021-04-12 00:00:00,MET,62.4,62.715,62.15,62.66,166977124.72,0,61.92,0.74,1.2
2021-04-09 00:00:00,MET,61.82,61.95,61.165,61.92,227486984.68,0,61.31,0.61,0.99
2021-04-08 00:00:00,MET,61.21,61.53,60.484,61.31,182654548.06,0,61.78,-0.47,-0.76
2021-04-07 00:00:00,MET,61.21,61.79,61.02,61.78,269192065.64,0,61.26,0.52,0.85
2021-04-06 00:00:00,MET,61.15,61.95,61.03,61.26,242497154.92,0,61.58,-0.32,-0.52
2021-04-05 00:00:00,MET,62.25,62.67,61.39,61.58,245475131.86,0,61.6,-0.02,-0.03
2021-04-01 00:00:00,MET,60.75,61.63,60.57,61.6,212588232.98,0,60.79,0.81,1.33
2021-03-31 00:00:00,MET,60.99,61.65,60.65,60.79,300935319.0,0,61.44,-0.65,-1.06
2021-03-30 00:00:00,MET,60.73,61.73,60.57,61.44,230188293.95,0,60.16,1.28,2.13
2021-03-29 00:00:00,MET,59.81,60.66,59.58,60.16,250427601.39,0,60.82,-0.66,-1.09
2021-03-26 00:00:00,MET,60.76,60.98,60.01,60.82,226421503.93,0,60.04,0.78,1.3
2021-03-25 00:00:00,MET,58.68,60.255,58.125,60.04,339182077.21,0,58.54,1.5,2.56
2021-03-24 00:00:00,MET,59.31,59.92,58.54,58.54,220675290.91,0,58.66,-0.12,-0.2
2021-03-23 00:00:00,MET,59.67,60.17,58.38,58.66,302611573.43,0,60.11,-1.45,-2.41
2021-03-22 00:00:00,MET,60.59,61.06,59.8,60.11,432849128.43,0,61.29,-1.18,-1.93
2021-03-19 00:00:00,MET,61.7,61.91,60.615,61.29,800944055.44,0,61.76,-0.47,-0.76
2021-03-18 00:00:00,MET,60.61,62.66,60.51,61.76,822172669.25,0,60.15,1.61,2.68
2021-03-17 00:00:00,MET,59.72,60.255,59.42,60.15,295584340.15,0,59.31,0.84,1.42
2021-03-16 00:00:00,MET,59.98,60.04,58.88,59.31,303783685.01,0,60.54,-1.23,-2.03
2021-03-15 00:00:00,MET,60.95,61.21,59.59,60.54,293364907.31,0,61.09,-0.55,-0.9
2021-03-12 00:00:00,MET,60.9,61.26,60.59,61.09,233516334.65,0,60.01,1.08,1.8
2021-03-11 00:00:00,MET,60.12,60.835,59.75,60.01,263714214.77,0,60.48,-0.47,-0.78
2021-03-10 00:00:00,MET,59.89,60.74,59.56,60.48,343058630.37,0,59.65,0.83,1.39
2021-03-09 00:00:00,MET,59.75,60.5,58.83,59.65,466198894.71,0,60.37,-0.72,-1.19
2021-03-08 00:00:00,MET,60.3,62.05,60.1,60.37,387858613.58,0,59.71,0.66,1.11
2021-03-05 00:00:00,MET,59.28,59.96,57.72,59.71,353242647.46,0,58.63,1.08,1.84
2021-03-04 00:00:00,MET,59.32,59.68,57.28,58.63,413970465.34,0,59.44,-0.81,-1.36
2021-03-03 00:00:00,MET,59.21,60.19,58.85,59.44,479866219.04,0,58.96,0.48,0.81
2021-03-02 00:00:00,MET,59.52,60.02,58.95,58.96,346147631.25,0,59.44,-0.48,-0.81
2021-03-01 00:00:00,MET,58.74,60.06,58.69,59.44,314129608.29,0,57.6,1.84,3.19
2021-02-26 00:00:00,MET,58.11,58.67,56.98,57.6,427477739.63,0,58.26,-0.66,-1.13
2021-02-25 00:00:00,MET,59.72,60.2,58.21,58.26,511100536.74,0,59.56,-1.3,-2.18
2021-02-24 00:00:00,MET,57.72,59.76,57.56,59.56,524013705.61,0,57.43,2.13,3.71
2021-02-23 00:00:00,MET,57.8,57.95,56.91,57.43,423395268.94,0,57.44,-0.01,-0.02
2021-02-22 00:00:00,MET,55.71,57.735,55.71,57.44,477821978.48,0,56.07,1.37,2.44
2021-02-19 00:00:00,MET,55.5,56.252,55.35,56.07,267739665.22,0,54.99,1.08,1.96
2021-02-18 00:00:00,MET,54.92,55.56,54.37,54.99,226841209.89,0,55.41,-0.42,-0.76
2021-02-17 00:00:00,MET,55.63,56.21,55.05,55.41,302340543.03,0,56.01,-0.6,-1.07
2021-02-16 00:00:00,MET,56.16,56.745,56.0,56.01,241822060.95,0,55.67,0.34,0.61
2021-02-12 00:00:00,MET,55.54,56.41,55.11,55.67,298804578.83,0,55.31,0.36,0.65
2021-02-11 00:00:00,MET,55.14,56.15,54.564,55.31,294265440.9,0,54.96,0.35,0.64
2021-02-10 00:00:00,MET,54.58,55.225,54.07,54.96,404615288.11,0,54.42,0.54,0.99
2021-02-09 00:00:00,MET,53.82,54.9,53.65,54.42,390271732.71,0,54.18,0.24,0.44
