date,symbol,open,high,low,close,volume,turnover,preclose,risefall,risefallratio
2021-05-10 00:00:00,NVDA,591.48,592.008,570.0,570.63,3867150814.23,0,592.49,-21.86,-3.69
2021-05-07 00:00:00,NVDA,593.44,598.83,587.0,592.49,3400496448.73,0,580.92,11.57,1.99
2021-05-06 00:00:00,NVDA,579.81,582.85,568.724,580.92,1668384256.26,0,574.05,6.87,1.2
2021-05-05 00:00:00,NVDA,588.87,592.54,575.5,578.34,4266445005.91,0,574.05,4.29,0.75
2021-05-04 00:00:00,NVDA,585.49,585.5,560.41,574.05,5776968049.53,0,593.47,-19.42,-3.27
2021-05-03 00:00:00,NVDA,605.0,609.87,591.5,593.47,3044318739.14,0,600.38,-6.91,-1.15
2021-04-30 00:00:00,NVDA,606.98,614.6,599.88,600.38,3051837594.85,0,612.99,-12.61,-2.06
2021-04-29 00:00:00,NVDA,616.0,617.46,602.86,612.99,2644415114.42,0,611.07,1.92,0.31
2021-04-28 00:00:00,NVDA,614.58,621.29,608.621,611.07,3211776719.79,0,615.27,-4.2,-0.68
2021-04-27 00:00:00,NVDA,623.14,626.82,614.18,615.27,2541297390.83,0,619.12,-3.85,-0.62
2021-04-26 00:00:00,NVDA,607.402,619.16,605.0,619.12,3035228275.91,0,610.61,8.51,1.39
2021-04-23 00:00:00,NVDA,597.375,613.395,596.01,610.61,3457976689.21,0,594.01,16.6,2.79
2021-04-22 00:00:00,NVDA,615.0,617.543,591.34,594.01,4176753739.73,0,614.42,-20.41,-3.32
2021-04-21 00:00:00,NVDA,604.75,614.5,604.09,614.42,3307400446.75,0,606.85,7.57,1.25
2021-04-20 00:00:00,NVDA,612.93,619.88,598.52,606.85,5069197381.49,0,614.47,-7.62,-1.24
2021-04-19 00:00:00,NVDA,621.462,632.3,609.32,614.47,6255062839.87,0,636.5,-22.03,-3.46
2021-04-16 00:00:00,NVDA,642.124,646.63,634.61,636.5,5353977660.5,0,645.49,-8.99,-1.39
2021-04-15 00:00:00,NVDA,626.5,648.566,625.26,645.49,9591854049.54,0,611.08,34.41,5.63
2021-04-14 00:00:00,NVDA,625.0,628.818,609.1,611.08,5958869041.14,0,627.18,-16.1,-2.57
2021-04-13 00:00:00,NVDA,609.26,628.0,605.03,627.18,10487307336.03,0,608.36,18.82,3.09
2021-04-12 00:00:00,NVDA,571.59,614.1,565.57,608.36,12987519989.58,0,576.0,32.36,5.62
2021-04-09 00:00:00,NVDA,568.56,576.32,567.0,576.0,2796232680.89,0,572.68,3.32,0.58
2021-04-08 00:00:00,NVDA,570.11,578.86,569.958,572.68,3506093858.62,0,565.74,6.94,1.23
2021-04-07 00:00:00,NVDA,555.23,569.74,548.46,565.74,3535384250.9,0,554.46,11.28,2.03
2021-04-06 00:00:00,NVDA,559.987,562.165,550.945,554.46,2668939036.12,0,559.5,-5.04,-0.9
2021-04-05 00:00:00,NVDA,554.7,560.559,549.32,559.5,3556502950.23,0,552.47,7.03,1.27
2021-04-01 00:00:00,NVDA,542.89,554.8,540.45,552.47,4233564689.95,0,533.93,18.54,3.47
2021-03-31 00:00:00,NVDA,520.62,538.82,519.3,533.93,4194389776.37,0,514.87,19.06,3.7
2021-03-30 00:00:00,NVDA,513.678,519.01,508.2,514.87,2573075545.72,0,517.93,-3.06,-0.59
2021-03-29 00:00:00,NVDA,512.81,522.5,508.0,517.93,3527098280.48,0,513.57,4.36,0.85
2021-03-26 00:00:00,NVDA,502.18,514.25,494.94,513.57,4590763340.79,0,501.41,12.16,2.43
2021-03-25 00:00:00,NVDA,499.98,508.59,490.88,501.41,3685405051.54,0,505.72,-4.31,-0.85
2021-03-24 00:00:00,NVDA,526.05,526.365,505.47,505.72,3162871002.8,0,522.83,-17.11,-3.27
2021-03-23 00:00:00,NVDA,530.17,533.78,520.85,522.83,2928268296.42,0,527.45,-4.62,-0.88
2021-03-22 00:00:00,NVDA,516.51,535.78,516.27,527.45,3934443651.1,0,513.83,13.62,2.65
2021-03-19 00:00:00,NVDA,510.0,516.86,504.5,513.83,3833377287.37,0,508.9,4.93,0.97
2021-03-18 00:00:00,NVDA,525.46,527.36,508.682,508.9,3802243117.68,0,533.65,-24.75,-4.64
2021-03-17 00:00:00,NVDA,521.59,538.13,519.58,533.65,3224097728.86,0,531.65,2.0,0.38
2021-03-16 00:00:00,NVDA,534.26,540.5,524.67,531.65,3633683291.31,0,527.65,4.0,0.76
2021-03-15 00:00:00,NVDA,514.59,528.27,510.685,527.65,2903995732.5,0,514.24,13.41,2.61
2021-03-12 00:00:00,NVDA,505.93,515.55,503.6,514.24,3119383794.35,0,519.74,-5.5,-1.06
2021-03-11 00:00:00,NVDA,518.0,521.85,509.38,519.74,3881693358.81,0,498.73,21.01,4.21
2021-03-10 00:00:00,NVDA,513.62,519.2,498.3,498.73,4869854025.22,0,500.81,-2.08,-0.42
2021-03-09 00:00:00,NVDA,485.21,504.67,482.37,500.81,6468658565.43,0,463.73,37.08,8.0
2021-03-08 00:00:00,NVDA,498.0,498.85,462.66,463.73,6468409283.06,0,498.46,-34.73,-6.97
2021-03-05 00:00:00,NVDA,502.0,502.0,467.17,498.46,6620832778.62,0,494.81,3.65,0.74
2021-03-04 00:00:00,NVDA,512.03,519.0,483.35,494.81,7142718960.97,0,512.19,-17.38,-3.39
2021-03-03 00:00:00,NVDA,537.05,538.06,511.95,512.19,4908905585.37,0,536.25,-24.06,-4.49
2021-03-02 00:00:00,NVDA,556.0,556.82,535.84,536.25,3596480592.3,0,553.67,-17.42,-3.15
2021-03-01 00:00:00,NVDA,555.0,557.0,542.13,553.67,4845604212.97,0,548.58,5.09,0.93
2021-02-26 00:00:00,NVDA,550.1,554.18,534.44,548.58,6855610993.79,0,532.3,16.28,3.06
2021-02-25 00:00:00,NVDA,561.817,574.99,528.65,532.3,11263228708.6,0,579.96,-47.66,-8.22
2021-02-24 00:00:00,NVDA,564.91,580.27,550.24,579.96,6406190205.31,0,565.68,14.28,2.52
2021-02-23 00:00:00,NVDA,563.01,569.55,535.58,565.68,5437980764.48,0,574.23,-8.55,-1.49
2021-02-22 00:00:00,NVDA,590.99,605.33,573.0,574.23,4788475502.03,0,597.06,-22.83,-3.82
2021-02-19 00:00:00,NVDA,600.98,607.08,593.868,597.06,4072963150.45,0,593.16,3.9,0.66
2021-02-18 00:00:00,NVDA,589.16,594.93,583.0,593.16,3450401240.03,0,596.24,-3.08,-0.52
2021-02-17 00:00:00,NVDA,606.84,608.941,591.2,596.24,4121385667.81,0,613.21,-16.97,-2.77
2021-02-16 00:00:00,NVDA,602.57,614.9,598.0,613.21,4899710308.57,0,598.45,14.76,2.47
2021-02-12 00:00:00,NVDA,602.0,611.646,591.0,598.45,5637206066.31,0,610.03,-11.58,-1.9
2021-02-11 00:00:00,NVDA,599.21,610.89,597.0,610.03,6830036737.77,0,590.57,19.46,3.3
2021-02-10 00:00:00,NVDA,578.53,596.2,573.655,590.57,7125870670.97,0,570.53,20.04,3.51
2021-02-09 00:00:00,NVDA,573.625,583.33,568.9,570.53,4134529330.81,0,577.55,-7.02,-1.22
2021-02-08 00:00:00,NVDA,549.089,578.95,549.089,577.55,6188186304.35,0,543.64,33.91,6.24
2021-02-05 00:00:00,NVDA,549.0,549.49,541.83,543.64,2300909024.18,0,546.57,-2.93,-0.54
2021-02-04 00:00:00,NVDA,541.24,546.94,533.515,546.57,2758594726.65,0,541.22,5.35,0.99
2021-02-03 00:00:00,NVDA,545.44,557.27,540.66,541.22,3358000377.23,0,542.27,-1.05,-0.19
2021-02-02 00:00:00,NVDA,535.95,542.88,531.42,542.27,2965619163.77,0,529.48,12.79,2.42
2021-02-01 00:00:00,NVDA,522.134,530.83,516.11,529.48,2855104814.14,0,519.59,9.89,1.9
