date,symbol,open,high,low,close,volume,turnover,preclose,risefall,risefallratio
2021-01-29 00:00:00,PLUG,65.85,67.15,62.36,63.17,1847704152.36,0,65.28,-2.11,-3.23
2021-01-28 00:00:00,PLUG,65.6,68.0,62.99,65.28,2700565242.71,0,64.42,0.86,1.34
2021-01-27 00:00:00,PLUG,64.05,69.51,62.95,64.42,4795119525.11,0,73.18,-8.76,-11.97
2021-01-26 00:00:00,PLUG,67.64,75.49,66.0,73.18,5080464269.17,0,65.72,7.46,11.35
2021-01-25 00:00:00,PLUG,66.47,70.58,63.15,65.72,2369661153.98,0,66.87,-1.15,-1.72
2021-01-22 00:00:00,PLUG,62.3,67.02,61.96,66.87,2618161832.3,0,63.69,3.18,4.99
2021-01-21 00:00:00,PLUG,60.05,65.33,58.73,63.69,3512618852.74,0,62.5,1.19,1.9
2021-01-20 00:00:00,PLUG,65.81,65.85,60.28,62.5,4004051547.12,0,66.47,-3.97,-5.97
2021-01-19 00:00:00,PLUG,63.635,68.45,62.23,66.47,4142197386.06,0,60.14,6.33,10.53
2021-01-15 00:00:00,PLUG,63.15,65.0,57.32,60.14,4917270713.71,0,66.54,-6.4,-9.62
2021-01-14 00:00:00,PLUG,66.22,68.55,63.76,66.54,5897303988.3,0,69.5,-2.96,-4.26
2021-01-13 00:00:00,PLUG,70.3,73.9,64.13,69.5,10631016879.05,0,66.02,3.48,5.27
2021-01-12 00:00:00,PLUG,62.4,66.07,60.83,66.02,6977948444.89,0,53.97,12.05,22.33
2021-01-11 00:00:00,PLUG,48.86,54.35,47.62,53.97,2421144163.25,0,53.78,0.195,0.36
2021-01-08 00:00:00,PLUG,51.98,55.98,49.2,53.775,5321207660.53,0,47.29,6.485,13.71
2021-01-07 00:00:00,PLUG,43.6,47.31,43.16,47.29,4471826664.94,0,35.0,12.29,35.11
2021-01-06 00:00:00,PLUG,34.37,36.86,33.72,35.0,1653439149.67,0,32.55,2.45,7.53
2021-01-05 00:00:00,PLUG,30.79,33.09,30.4,32.55,598684725.15,0,32.17,0.38,1.18
2021-01-04 00:00:00,PLUG,34.64,34.92,31.066,32.17,958713457.11,0,33.91,-1.74,-5.13
2020-12-31 00:00:00,PLUG,34.1,34.573,33.1,33.91,528687208.15,0,34.19,-0.28,-0.82
2020-12-30 00:00:00,PLUG,33.14,34.4,32.56,34.19,822749877.37,0,32.46,1.73,5.33
2020-12-29 00:00:00,PLUG,33.33,33.46,30.84,32.46,1030141198.31,0,33.57,-1.11,-3.31
2020-12-28 00:00:00,PLUG,37.37,37.505,33.525,33.57,1253811611.33,0,35.58,-2.01,-5.65
2020-12-24 00:00:00,PLUG,35.71,36.67,34.75,35.58,712396286.02,0,36.14,-0.56,-1.55
2020-12-23 00:00:00,PLUG,36.764,37.11,34.68,36.14,1447205485.09,0,35.69,0.45,1.26
2020-12-22 00:00:00,PLUG,34.41,36.74,33.8,35.69,1833133193.78,0,32.37,3.32,10.26
2020-12-21 00:00:00,PLUG,31.42,32.46,30.46,32.37,1112884581.22,0,31.63,0.745,2.36
2020-12-18 00:00:00,PLUG,30.53,33.02,29.88,31.625,1673528011.08,0,30.57,1.055,3.45
2020-12-17 00:00:00,PLUG,28.5,30.98,28.49,30.57,1289168686.05,0,28.46,2.11,7.41
2020-12-16 00:00:00,PLUG,28.55,28.771,27.4,28.46,636897026.72,0,28.47,-0.01,-0.04
2020-12-15 00:00:00,PLUG,27.39,29.31,26.86,28.47,1410908376.18,0,25.7,2.77,10.78
2020-12-14 00:00:00,PLUG,27.19,27.4,25.7,25.7,433127586.37,0,26.77,-1.07,-4.0
2020-12-11 00:00:00,PLUG,27.08,27.85,26.22,26.77,451031054.46,0,27.19,-0.42,-1.54
2020-12-10 00:00:00,PLUG,26.5,28.11,26.26,27.19,663237933.36,0,26.74,0.45,1.68
2020-12-09 00:00:00,PLUG,28.8,29.69,26.17,26.74,999734078.56,0,28.74,-2.0,-6.96
2020-12-08 00:00:00,PLUG,25.01,29.49,24.92,28.74,1953948953.61,0,24.75,3.99,16.12
2020-12-07 00:00:00,PLUG,25.4,25.98,24.44,24.75,424562468.4,0,24.85,-0.1,-0.4
2020-12-04 00:00:00,PLUG,24.27,24.93,23.95,24.85,452796558.26,0,23.85,1.0,4.19
2020-12-03 00:00:00,PLUG,24.34,24.73,23.81,23.85,428788263.85,0,24.07,-0.22,-0.91
2020-12-02 00:00:00,PLUG,22.63,24.8,22.25,24.07,730899304.83,0,24.47,-0.4,-1.63
2020-12-01 00:00:00,PLUG,25.92,26.05,23.75,24.47,806105210.75,0,26.39,-1.92,-7.28
2020-11-30 00:00:00,PLUG,27.33,27.35,23.51,26.39,879506038.32,0,26.24,0.15,0.57
2020-11-27 00:00:00,PLUG,26.99,27.78,25.66,26.24,617346426.85,0,26.16,0.08,0.31
2020-11-25 00:00:00,PLUG,25.8,26.4,25.07,26.16,801015805.41,0,26.72,-0.56,-2.1
2020-11-24 00:00:00,PLUG,28.36,28.7,25.51,26.72,1394173917.53,0,26.87,-0.15,-0.56
2020-11-23 00:00:00,PLUG,24.95,27.02,24.74,26.87,1181488939.44,0,24.36,2.51,10.3
2020-11-20 00:00:00,PLUG,24.1,24.74,23.965,24.36,586820095.46,0,23.79,0.57,2.4
2020-11-19 00:00:00,PLUG,23.67,24.87,23.445,23.79,1068692331.82,0,23.22,0.57,2.45
2020-11-18 00:00:00,PLUG,23.37,23.8,22.56,23.22,816600034.77,0,22.98,0.24,1.04
2020-11-17 00:00:00,PLUG,22.06,23.38,22.0,22.98,1793881104.54,0,25.0,-2.02,-8.08
2020-11-16 00:00:00,PLUG,23.65,25.49,23.62,25.0,1137721024.71,0,23.43,1.57,6.7
