date,symbol,open,high,low,close,volume,turnover,preclose,risefall,risefallratio
2021-05-10 00:00:00,SPG,125.78,128.25,125.64,126.37,648764074.23,0,124.94,1.43,1.14
2021-05-07 00:00:00,SPG,122.16,125.0,121.8,125.0,333561553.35,0,122.92,2.08,1.69
2021-05-06 00:00:00,SPG,121.3,122.97,120.28,122.85,74763786.06,0,121.36,1.49,1.23
2021-05-05 00:00:00,SPG,121.04,122.64,120.35,121.0,297449794.64,0,121.36,-0.36,-0.3
2021-05-04 00:00:00,SPG,123.04,123.96,120.4,121.36,331263717.2,0,123.2,-1.84,-1.49
2021-05-03 00:00:00,SPG,122.69,123.83,121.64,123.2,322819822.14,0,121.74,1.46,1.2
2021-04-30 00:00:00,SPG,122.93,123.095,120.933,121.74,335613907.25,0,123.33,-1.59,-1.29
2021-04-29 00:00:00,SPG,124.27,125.55,121.77,123.33,281485947.63,0,123.1,0.23,0.19
2021-04-28 00:00:00,SPG,122.67,125.42,122.65,123.1,284695090.55,0,122.36,0.74,0.6
2021-04-27 00:00:00,SPG,120.96,123.3,119.46,122.36,403173571.25,0,120.17,2.19,1.82
2021-04-26 00:00:00,SPG,118.9,121.7,118.43,120.17,393658073.47,0,116.92,3.25,2.78
2021-04-23 00:00:00,SPG,116.31,117.12,115.41,116.92,273203205.83,0,115.65,1.27,1.1
2021-04-22 00:00:00,SPG,117.78,119.06,115.57,115.65,302788854.48,0,117.63,-1.98,-1.68
2021-04-21 00:00:00,SPG,113.97,117.9,112.61,117.63,288582577.94,0,114.26,3.37,2.95
2021-04-20 00:00:00,SPG,115.51,116.42,113.12,114.26,248917333.82,0,116.56,-2.3,-1.97
2021-04-19 00:00:00,SPG,116.6,116.89,114.95,116.56,203757831.52,0,117.12,-0.56,-0.48
2021-04-16 00:00:00,SPG,116.51,118.5,115.93,117.12,381831937.44,0,114.57,2.55,2.23
2021-04-15 00:00:00,SPG,115.0,115.56,113.62,114.57,264744697.93,0,113.76,0.81,0.71
2021-04-14 00:00:00,SPG,113.71,115.75,113.56,113.76,304136592.06,0,113.38,0.38,0.34
2021-04-13 00:00:00,SPG,113.7,114.1,111.3,113.38,416279314.68,0,114.74,-1.36,-1.19
2021-04-12 00:00:00,SPG,116.41,116.87,113.44,114.74,343818836.79,0,115.91,-1.17,-1.01
2021-04-09 00:00:00,SPG,114.69,116.21,114.04,115.91,192965463.06,0,114.33,1.58,1.38
2021-04-08 00:00:00,SPG,115.06,115.64,113.61,114.33,270528853.15,0,117.01,-2.68,-2.29
2021-04-07 00:00:00,SPG,117.05,117.71,115.12,117.01,295900824.78,0,116.49,0.52,0.45
2021-04-06 00:00:00,SPG,114.73,116.86,114.51,116.49,290337581.58,0,115.05,1.44,1.25
2021-04-05 00:00:00,SPG,116.0,116.0,113.27,115.05,333803510.36,0,115.2,-0.15,-0.13
2021-04-01 00:00:00,SPG,114.99,115.35,112.63,115.2,325815522.98,0,113.77,1.43,1.26
2021-03-31 00:00:00,SPG,114.61,115.65,113.47,113.77,286691973.0,0,115.39,-1.62,-1.4
2021-03-30 00:00:00,SPG,113.98,116.45,113.7,115.39,240575224.13,0,113.81,1.58,1.39
2021-03-29 00:00:00,SPG,114.41,115.24,110.96,113.81,376456639.14,0,114.67,-0.86,-0.75
2021-03-26 00:00:00,SPG,114.7,116.66,112.21,114.67,306430376.99,0,113.64,1.03,0.91
2021-03-25 00:00:00,SPG,107.81,114.15,106.68,113.64,430294056.92,0,109.4,4.24,3.88
2021-03-24 00:00:00,SPG,111.12,114.28,109.39,109.4,381295940.65,0,110.41,-1.01,-0.91
2021-03-23 00:00:00,SPG,114.66,114.96,109.52,110.41,410544233.26,0,115.25,-4.84,-4.2
2021-03-22 00:00:00,SPG,116.51,116.88,113.841,115.25,313911920.64,0,116.69,-1.44,-1.23
2021-03-19 00:00:00,SPG,117.21,118.46,114.11,116.69,522044866.49,0,116.82,-0.13,-0.11
2021-03-18 00:00:00,SPG,117.64,120.82,115.63,116.82,717740307.57,0,118.24,-1.42,-1.2
