date,symbol,open,high,low,close,volume,turnover,preclose,risefall,risefallratio
2020-10-22 00:00:00,TMUS,112.77,113.76,110.88,111.64,402668550.73,0,112.42,-0.78,-0.69
2020-10-21 00:00:00,TMUS,112.67,113.792,112.21,112.42,341721023.97,0,113.07,-0.65,-0.57
2020-10-20 00:00:00,TMUS,113.9,114.21,112.7,113.07,311038285.69,0,112.75,0.32,0.28
2020-10-19 00:00:00,TMUS,115.47,115.55,112.01,112.75,344248265.03,0,114.96,-2.21,-1.92
2020-10-16 00:00:00,TMUS,115.811,116.78,114.85,114.96,434748208.03,0,115.3,-0.34,-0.29
2020-10-15 00:00:00,TMUS,115.81,116.95,114.07,115.3,378310310.29,0,116.67,-1.37,-1.17
2020-10-14 00:00:00,TMUS,122.05,122.24,116.45,116.67,782540893.71,0,121.57,-4.9,-4.03
2020-10-13 00:00:00,TMUS,120.8,123.42,120.07,121.57,650087863.72,0,120.07,1.5,1.25
2020-10-12 00:00:00,TMUS,118.06,121.36,117.4,120.07,776366384.56,0,117.23,2.84,2.42
2020-10-09 00:00:00,TMUS,115.583,117.52,115.52,117.23,390408749.22,0,115.49,1.74,1.51
2020-10-08 00:00:00,TMUS,114.89,115.6,114.28,115.49,259518595.85,0,114.22,1.27,1.11
2020-10-07 00:00:00,TMUS,113.02,114.52,112.62,114.22,383987981.7,0,112.45,1.77,1.57
2020-10-06 00:00:00,TMUS,113.61,114.47,111.8,112.45,376736265.64,0,114.8,-2.35,-2.05
2020-10-05 00:00:00,TMUS,113.46,114.99,113.42,114.8,303799428.0,0,113.41,1.39,1.23
2020-10-02 00:00:00,TMUS,114.41,115.7,113.0,113.41,457381206.58,0,115.73,-2.32,-2.0
2020-10-01 00:00:00,TMUS,115.0,116.43,113.89,115.73,497610014.7,0,114.36,1.37,1.2
2020-09-30 00:00:00,TMUS,113.36,115.09,112.01,114.36,589352895.7,0,113.52,0.84,0.74
2020-09-29 00:00:00,TMUS,114.35,114.84,113.29,113.52,367154317.78,0,114.24,-0.72,-0.63
2020-09-28 00:00:00,TMUS,112.87,114.48,112.485,114.24,666209155.26,0,112.02,2.22,1.98
2020-09-25 00:00:00,TMUS,110.25,112.56,109.705,112.02,573070314.35,0,110.55,1.47,1.33
2020-09-24 00:00:00,TMUS,108.21,112.15,108.15,110.55,462185017.79,0,109.0,1.55,1.42
2020-09-23 00:00:00,TMUS,112.8,112.83,108.66,109.0,389093929.54,0,112.39,-3.39,-3.02
2020-09-22 00:00:00,TMUS,111.64,112.61,110.64,112.39,485546513.08,0,110.57,1.82,1.65
2020-09-21 00:00:00,TMUS,109.92,110.67,108.9,110.57,501527976.25,0,110.72,-0.15,-0.14
2020-09-18 00:00:00,TMUS,112.21,112.65,107.79,110.72,975521248.21,0,111.91,-1.19,-1.06
2020-09-17 00:00:00,TMUS,110.94,112.79,110.11,111.91,653322098.52,0,113.76,-1.85,-1.63
2020-09-16 00:00:00,TMUS,116.41,117.42,113.49,113.76,663017730.53,0,115.93,-2.17,-1.87
2020-09-15 00:00:00,TMUS,113.12,116.15,112.48,115.93,555859560.86,0,112.27,3.66,3.26
2020-09-14 00:00:00,TMUS,112.95,113.49,111.64,112.27,442995420.74,0,111.58,0.69,0.62
2020-09-11 00:00:00,TMUS,112.28,113.42,110.45,111.58,346149954.61,0,111.72,-0.14,-0.13
2020-09-10 00:00:00,TMUS,113.11,114.95,111.255,111.72,435259122.17,0,113.2,-1.48,-1.31
2020-09-09 00:00:00,TMUS,111.64,114.56,111.64,113.2,456369759.91,0,111.57,1.63,1.46
2020-09-08 00:00:00,TMUS,112.63,113.85,111.08,111.57,636418527.59,0,114.29,-2.72,-2.38
2020-09-04 00:00:00,TMUS,115.49,116.0,112.21,114.29,533712132.71,0,114.84,-0.55,-0.48
2020-09-03 00:00:00,TMUS,118.702,119.15,113.93,114.84,509233847.42,0,118.88,-4.04,-3.4
2020-09-02 00:00:00,TMUS,117.83,119.2,117.14,118.88,426495938.69,0,116.9,1.98,1.69
2020-09-01 00:00:00,TMUS,116.63,117.33,115.95,116.9,343145750.38,0,116.68,0.22,0.19
2020-08-31 00:00:00,TMUS,115.49,117.11,115.41,116.68,457202176.47,0,116.26,0.42,0.36
2020-08-28 00:00:00,TMUS,115.25,116.35,114.88,116.26,324253515.83,0,115.24,1.02,0.89
2020-08-27 00:00:00,TMUS,116.62,116.62,115.0,115.24,284887917.97,0,116.19,-0.95,-0.82
2020-08-26 00:00:00,TMUS,115.11,116.24,114.74,116.19,341980432.42,0,115.41,0.78,0.68
2020-08-25 00:00:00,TMUS,115.56,115.56,114.6,115.41,267404815.43,0,115.26,0.15,0.13
2020-08-24 00:00:00,TMUS,115.03,116.09,114.755,115.26,312729036.58,0,115.01,0.25,0.22
2020-08-21 00:00:00,TMUS,114.34,115.25,113.382,115.01,326248265.16,0,115.4,-0.39,-0.34
2020-08-20 00:00:00,TMUS,114.56,115.86,114.51,115.4,261401556.14,0,115.14,0.26,0.23
2020-08-19 00:00:00,TMUS,116.69,116.93,114.92,115.14,312162817.25,0,116.02,-0.88,-0.76
2020-08-18 00:00:00,TMUS,117.68,117.73,115.86,116.02,274960438.23,0,116.87,-0.85,-0.73
2020-08-17 00:00:00,TMUS,115.98,117.32,115.82,116.87,386494375.99,0,115.49,1.38,1.19
2020-08-14 00:00:00,TMUS,115.7,116.09,114.33,115.49,233879213.31,0,115.37,0.12,0.1
2020-08-13 00:00:00,TMUS,115.15,117.15,114.89,115.37,351057635.46,0,115.25,0.12,0.1
2020-08-12 00:00:00,TMUS,114.27,116.24,114.07,115.25,405291824.07,0,113.59,1.66,1.46
2020-08-11 00:00:00,TMUS,116.08,116.2,113.28,113.59,544461921.92,0,116.07,-2.48,-2.14
2020-08-10 00:00:00,TMUS,115.06,116.65,113.6,116.07,554307011.93,0,115.09,0.98,0.85
2020-08-07 00:00:00,TMUS,113.24,118.0,113.09,115.09,1597073254.86,0,108.1,6.99,6.47
2020-08-06 00:00:00,TMUS,107.32,108.3,107.18,108.1,436733440.98,0,107.9,0.2,0.19
2020-08-05 00:00:00,TMUS,108.74,109.16,107.26,107.9,335993160.09,0,108.39,-0.49,-0.45
2020-08-04 00:00:00,TMUS,106.63,108.42,106.384,108.39,322599488.22,0,106.88,1.51,1.41
2020-08-03 00:00:00,TMUS,107.98,108.74,106.82,106.88,489131680.41,0,107.38,-0.5,-0.47
2020-07-31 00:00:00,TMUS,105.63,107.42,105.05,107.38,438606857.86,0,105.48,1.9,1.8
2020-07-30 00:00:00,TMUS,104.72,105.95,104.59,105.48,283494222.65,0,105.78,-0.3,-0.28
2020-07-29 00:00:00,TMUS,105.22,106.37,104.54,105.78,381103414.53,0,104.52,1.26,1.21
2020-07-28 00:00:00,TMUS,105.0,105.5,104.0,104.52,384976235.19,0,105.62,-1.1,-1.04
2020-07-27 00:00:00,TMUS,104.53,106.27,104.35,105.62,839585097.61,0,104.93,0.69,0.66
2020-07-24 00:00:00,TMUS,104.52,105.23,104.23,104.93,522615848.36,0,104.51,0.42,0.4
2020-07-23 00:00:00,TMUS,105.21,105.28,104.36,104.51,695149220.71,0,104.93,-0.42,-0.4
2020-07-22 00:00:00,TMUS,105.66,106.34,104.74,104.93,490219451.62,0,105.58,-0.65,-0.62
