date,symbol,open,high,low,close,volume,turnover,preclose,risefall,risefallratio
2021-01-29 00:00:00,TSLA,830.0,842.41,780.1,793.53,28170830042.12,0,835.43,-41.9,-5.02
2021-01-28 00:00:00,TSLA,820.0,848.0,801.0,835.43,21930076920.32,0,864.16,-28.73,-3.32
2021-01-27 00:00:00,TSLA,870.35,891.5,858.66,864.16,23751230509.3,0,883.09,-18.93,-2.14
2021-01-26 00:00:00,TSLA,891.38,895.9,871.6,883.09,20526227361.49,0,880.8,2.29,0.26
2021-01-25 00:00:00,TSLA,855.0,900.4,838.82,880.8,36111757938.96,0,846.64,34.16,4.03
2021-01-22 00:00:00,TSLA,834.31,848.0,828.62,846.64,16827625477.71,0,844.99,1.65,0.2
2021-01-21 00:00:00,TSLA,855.0,855.72,841.42,844.99,17448999799.57,0,850.45,-5.46,-0.64
2021-01-20 00:00:00,TSLA,858.74,859.5,837.28,850.45,21805651524.72,0,844.55,5.9,0.7
2021-01-19 00:00:00,TSLA,837.8,850.0,833.0,844.55,21326849782.51,0,826.16,18.39,2.23
2021-01-15 00:00:00,TSLA,852.0,859.9,819.1,826.16,32507283438.71,0,845.0,-18.84,-2.23
2021-01-14 00:00:00,TSLA,843.39,863.0,838.75,845.0,26622510680.15,0,854.41,-9.41,-1.1
2021-01-13 00:00:00,TSLA,852.76,860.47,832.0,854.41,28199661273.8,0,849.44,4.97,0.59
2021-01-12 00:00:00,TSLA,831.0,868.0,827.34,849.44,39490622552.86,0,811.19,38.25,4.72
2021-01-11 00:00:00,TSLA,849.4,854.43,803.622,811.19,49559640028.61,0,880.02,-68.83,-7.82
2021-01-08 00:00:00,TSLA,856.0,884.49,838.39,880.02,65034512626.32,0,816.04,63.98,7.84
2021-01-07 00:00:00,TSLA,777.63,816.99,775.2,816.04,41229872869.5,0,755.98,60.06,7.94
2021-01-06 00:00:00,TSLA,758.49,774.0,749.1,755.98,34075185021.81,0,735.11,20.87,2.84
2021-01-05 00:00:00,TSLA,723.66,740.84,719.2,735.11,23671179899.58,0,729.77,5.34,0.73
2021-01-04 00:00:00,TSLA,719.46,744.49,717.19,729.77,35584111859.63,0,705.67,24.1,3.42
2020-12-31 00:00:00,TSLA,699.99,718.72,691.12,705.67,35130468086.04,0,694.78,10.89,1.57
2020-12-30 00:00:00,TSLA,672.0,696.6,668.36,694.78,29221508239.45,0,665.99,28.79,4.32
2020-12-29 00:00:00,TSLA,661.0,669.9,655.0,665.99,15181845449.69,0,663.69,2.3,0.35
2020-12-28 00:00:00,TSLA,674.51,681.4,660.8,663.69,21615129072.88,0,661.77,1.92,0.29
2020-12-24 00:00:00,TSLA,642.99,666.09,641.0,661.77,15057159956.7,0,645.98,15.79,2.44
2020-12-23 00:00:00,TSLA,632.2,651.5,622.57,645.98,21302251716.15,0,640.34,5.64,0.88
2020-12-22 00:00:00,TSLA,648.0,649.88,614.23,640.34,32760998570.06,0,649.86,-9.52,-1.46
2020-12-21 00:00:00,TSLA,666.24,668.5,646.07,649.86,38247828219.22,0,695.0,-45.14,-6.5
2020-12-18 00:00:00,TSLA,668.9,695.0,628.54,695.0,151016676009.79,0,655.9,39.1,5.96
2020-12-17 00:00:00,TSLA,628.19,658.82,619.5,655.9,36152756209.13,0,622.77,33.13,5.32
2020-12-16 00:00:00,TSLA,628.23,632.5,605.0,622.77,26096388491.03,0,633.25,-10.48,-1.66
2020-12-15 00:00:00,TSLA,643.28,646.9,623.8,633.25,28763794659.33,0,639.83,-6.58,-1.03
2020-12-14 00:00:00,TSLA,619.0,642.75,610.2,639.83,32936483297.72,0,609.99,29.84,4.89
2020-12-11 00:00:00,TSLA,615.01,624.0,596.8,609.99,28373400118.28,0,627.07,-17.08,-2.72
2020-12-10 00:00:00,TSLA,574.37,627.75,566.34,627.07,40774588697.2,0,604.48,22.59,3.74
2020-12-09 00:00:00,TSLA,653.69,654.32,588.0,604.48,44243441333.73,0,649.88,-45.4,-6.99
2020-12-08 00:00:00,TSLA,625.505,651.28,618.5,649.88,40892362973.5,0,641.76,8.12,1.27
2020-12-07 00:00:00,TSLA,604.92,648.786,603.05,641.76,35521142839.66,0,599.04,42.72,7.13
2020-12-04 00:00:00,TSLA,591.01,599.04,585.5,599.04,17453177100.47,0,593.38,5.66,0.95
2020-12-03 00:00:00,TSLA,590.02,598.97,582.43,593.38,25177189312.79,0,568.82,24.56,4.32
2020-12-02 00:00:00,TSLA,556.44,571.54,541.21,568.82,26851654657.11,0,584.76,-15.94,-2.73
2020-12-01 00:00:00,TSLA,597.59,597.85,572.05,584.76,23572470130.0,0,567.6,17.16,3.02
2020-11-30 00:00:00,TSLA,602.21,607.8,554.51,567.6,36641974818.53,0,585.76,-18.16,-3.1
2020-11-27 00:00:00,TSLA,581.16,598.78,578.45,585.76,22174657206.18,0,574.0,11.76,2.05
2020-11-25 00:00:00,TSLA,550.06,574.0,545.37,574.0,27545337237.7,0,555.38,18.62,3.35
2020-11-24 00:00:00,TSLA,540.4,559.99,526.2,555.38,29326174445.18,0,521.85,33.53,6.43
2020-11-23 00:00:00,TSLA,503.5,526.0,501.79,521.85,26087353933.01,0,489.61,32.24,6.58
2020-11-20 00:00:00,TSLA,497.99,502.5,489.06,489.61,16270347457.13,0,499.27,-9.66,-1.93
2020-11-19 00:00:00,TSLA,492.0,508.611,487.57,499.27,31224243166.29,0,486.64,12.63,2.6
2020-11-18 00:00:00,TSLA,448.35,496.0,443.5,486.64,37100881221.6,0,441.61,45.03,10.2
2020-11-17 00:00:00,TSLA,460.17,462.0,433.01,441.61,27401717286.75,0,408.09,33.52,8.21
2020-11-16 00:00:00,TSLA,408.93,412.45,404.087,408.09,11325807743.91,0,408.5,-0.41,-0.1
2020-11-13 00:00:00,TSLA,410.85,412.532,401.66,408.5,8053991843.3,0,411.76,-3.26,-0.79
2020-11-12 00:00:00,TSLA,415.05,423.0,409.52,411.76,8283699650.0,0,417.13,-5.37,-1.29
2020-11-11 00:00:00,TSLA,416.45,418.695,410.58,417.13,7212081108.87,0,410.36,6.77,1.65
2020-11-10 00:00:00,TSLA,420.09,420.09,396.03,410.36,12361185792.59,0,421.26,-10.9,-2.59
