date,symbol,open,high,low,close,volume,turnover,preclose,risefall,risefallratio
2021-01-29 00:00:00,UAL,42.111,42.5,39.77,39.99,982378457.3,0,42.55,-2.56,-6.02
2021-01-28 00:00:00,UAL,42.827,44.2,41.62,42.55,948627461.08,0,40.91,1.64,4.01
2021-01-27 00:00:00,UAL,40.74,41.65,40.312,40.91,626952271.93,0,41.25,-0.34,-0.82
2021-01-26 00:00:00,UAL,40.8,41.39,40.56,41.25,549352749.44,0,40.38,0.87,2.15
2021-01-25 00:00:00,UAL,41.54,41.73,39.9,40.38,821652317.38,0,42.14,-1.76,-4.18
2021-01-22 00:00:00,UAL,41.95,42.29,41.61,42.14,567804685.83,0,42.59,-0.45,-1.06
2021-01-21 00:00:00,UAL,43.804,43.98,41.715,42.59,1371577119.77,0,45.18,-2.59,-5.73
2021-01-20 00:00:00,UAL,45.04,45.65,44.41,45.18,524902182.17,0,44.75,0.43,0.96
2021-01-19 00:00:00,UAL,44.6,44.9,43.77,44.75,432058358.21,0,43.89,0.86,1.96
2021-01-15 00:00:00,UAL,45.85,45.98,43.88,43.89,588232150.32,0,46.29,-2.4,-5.18
2021-01-14 00:00:00,UAL,45.32,46.8,45.32,46.29,754411658.62,0,44.43,1.86,4.19
2021-01-13 00:00:00,UAL,44.17,44.64,43.44,44.43,502866355.96,0,44.08,0.35,0.79
2021-01-12 00:00:00,UAL,42.81,44.17,42.46,44.08,395015549.42,0,42.7,1.38,3.23
2021-01-11 00:00:00,UAL,42.67,43.26,42.25,42.7,384608411.33,0,43.29,-0.59,-1.36
2021-01-08 00:00:00,UAL,43.58,44.0,43.02,43.29,401104745.15,0,43.62,-0.33,-0.76
2021-01-07 00:00:00,UAL,43.804,44.84,43.61,43.62,423110794.22,0,43.54,0.08,0.18
2021-01-06 00:00:00,UAL,43.6,44.28,42.86,43.54,537275744.62,0,43.4,0.14,0.32
2021-01-05 00:00:00,UAL,41.58,43.6,41.5,43.4,526546386.44,0,41.63,1.77,4.25
2021-01-04 00:00:00,UAL,43.68,43.7,41.43,41.63,618875914.31,0,43.25,-1.62,-3.75
2020-12-31 00:00:00,UAL,44.41,44.562,43.11,43.25,556781135.99,0,44.65,-1.4,-3.14
2020-12-30 00:00:00,UAL,43.635,44.76,43.46,44.65,419630361.25,0,43.74,0.91,2.08
2020-12-29 00:00:00,UAL,44.45,44.649,43.55,43.74,436486439.22,0,43.92,-0.18,-0.41
2020-12-28 00:00:00,UAL,44.035,44.625,43.75,43.92,603620039.3,0,43.26,0.66,1.53
