date,symbol,open,high,low,close,volume,turnover,preclose,risefall,risefallratio
2021-05-10 00:00:00,UPS,217.47,219.58,215.762,216.09,775060123.27,0,217.5,-1.41,-0.65
2021-05-07 00:00:00,UPS,214.67,218.34,213.8,217.55,573936355.88,0,214.78,2.77,1.29
2021-05-06 00:00:00,UPS,214.53,215.0,212.07,214.9,328760087.08,0,214.31,0.59,0.28
2021-05-05 00:00:00,UPS,214.78,215.74,212.8,214.65,898488768.34,0,214.31,0.34,0.16
2021-05-04 00:00:00,UPS,211.6,215.3,210.86,214.31,1233978049.03,0,212.2,2.11,0.99
2021-05-03 00:00:00,UPS,207.42,213.38,207.12,212.2,1542298238.4,0,203.86,8.34,4.09
2021-04-30 00:00:00,UPS,201.69,205.77,199.82,203.86,1203999354.2,0,203.72,0.14,0.07
2021-04-29 00:00:00,UPS,199.89,204.5,197.67,203.72,1403323252.61,0,198.37,5.35,2.7
2021-04-28 00:00:00,UPS,195.39,198.43,194.1,198.37,1245049321.64,0,194.13,4.24,2.18
2021-04-27 00:00:00,UPS,190.26,197.28,189.71,194.13,2853224591.27,0,175.81,18.32,10.42
2021-04-26 00:00:00,UPS,179.78,179.85,174.7,175.81,699955184.28,0,178.96,-3.15,-1.76
2021-04-23 00:00:00,UPS,177.85,180.31,177.33,178.96,431281196.96,0,177.51,1.45,0.82
2021-04-22 00:00:00,UPS,177.8,180.79,177.21,177.51,549098065.52,0,178.57,-1.06,-0.59
2021-04-21 00:00:00,UPS,179.39,179.54,177.57,178.57,571979264.32,0,179.69,-1.12,-0.62
2021-04-20 00:00:00,UPS,177.9,179.85,176.835,179.69,471334216.38,0,178.06,1.63,0.92
2021-04-19 00:00:00,UPS,179.91,179.91,177.655,178.06,466332071.1,0,179.71,-1.65,-0.92
2021-04-16 00:00:00,UPS,180.73,181.19,178.94,179.71,507620653.2,0,179.64,0.07,0.04
2021-04-15 00:00:00,UPS,178.85,180.85,176.51,179.64,562415001.34,0,176.21,3.43,1.95
2021-04-14 00:00:00,UPS,178.82,179.4,175.89,176.21,458361953.06,0,179.42,-3.21,-1.79
2021-04-13 00:00:00,UPS,177.95,179.92,176.68,179.42,440797805.18,0,178.58,0.84,0.47
2021-04-12 00:00:00,UPS,175.44,179.33,174.75,178.58,537766850.02,0,175.94,2.64,1.5
2021-04-09 00:00:00,UPS,173.27,175.95,172.82,175.94,451575717.15,0,173.02,2.92,1.69
2021-04-08 00:00:00,UPS,172.54,173.243,171.255,173.02,350215856.69,0,171.95,1.07,0.62
2021-04-07 00:00:00,UPS,172.93,173.35,171.2,171.95,357565946.59,0,172.97,-1.02,-0.59
2021-04-06 00:00:00,UPS,172.09,174.03,171.225,172.97,426199175.63,0,171.95,1.02,0.59
2021-04-05 00:00:00,UPS,172.1,173.04,171.11,171.95,398462366.5,0,171.28,0.67,0.39
2021-04-01 00:00:00,UPS,170.18,172.14,168.83,171.28,616416730.4,0,169.99,1.29,0.76
2021-03-31 00:00:00,UPS,169.23,171.0,167.6,169.99,626581582.2,0,168.64,1.35,0.8
2021-03-30 00:00:00,UPS,167.56,169.99,167.4,168.64,404638628.64,0,168.14,0.5,0.3
2021-03-29 00:00:00,UPS,167.61,168.97,166.66,168.14,454001324.17,0,167.98,0.16,0.1
2021-03-26 00:00:00,UPS,164.5,168.1,163.79,167.98,520531219.88,0,163.25,4.73,2.9
2021-03-25 00:00:00,UPS,159.5,163.65,158.7,163.25,475088497.95,0,159.91,3.34,2.09
2021-03-24 00:00:00,UPS,160.06,162.27,159.7,159.91,367201084.37,0,159.86,0.05,0.03
2021-03-23 00:00:00,UPS,159.8,162.16,159.235,159.86,468138544.63,0,161.06,-1.2,-0.75
2021-03-22 00:00:00,UPS,159.69,161.72,158.54,161.06,625116203.7,0,159.29,1.77,1.11
2021-03-19 00:00:00,UPS,161.43,165.24,158.69,159.29,2393905437.78,0,160.2,-0.91,-0.57
2021-03-18 00:00:00,UPS,160.45,161.14,158.94,160.2,474631677.77,0,160.65,-0.45,-0.28
2021-03-17 00:00:00,UPS,160.78,161.75,159.56,160.65,585125395.21,0,162.82,-2.17,-1.33
2021-03-16 00:00:00,UPS,162.78,164.16,161.43,162.82,390434461.86,0,162.64,0.18,0.11
2021-03-15 00:00:00,UPS,167.9,167.925,161.02,162.64,737725831.05,0,167.69,-5.05,-3.01
2021-03-12 00:00:00,UPS,166.61,168.13,165.94,167.69,320431712.47,0,167.24,0.45,0.27
2021-03-11 00:00:00,UPS,166.1,168.68,165.39,167.24,485914131.11,0,165.23,2.01,1.22
2021-03-10 00:00:00,UPS,164.35,166.18,163.73,165.23,414016117.92,0,163.27,1.96,1.2
2021-03-09 00:00:00,UPS,161.21,165.15,161.21,163.27,416974015.11,0,160.87,2.4,1.49
2021-03-08 00:00:00,UPS,165.23,166.23,160.76,160.87,519814548.31,0,164.4,-3.53,-2.15
2021-03-05 00:00:00,UPS,160.51,165.18,159.08,164.4,596584132.86,0,159.45,4.95,3.1
2021-03-04 00:00:00,UPS,160.06,161.29,157.55,159.45,591739828.25,0,160.43,-0.98,-0.61
2021-03-03 00:00:00,UPS,160.59,162.17,159.88,160.43,423325636.92,0,161.37,-0.94,-0.58
2021-03-02 00:00:00,UPS,161.77,163.17,159.89,161.37,428940699.28,0,161.47,-0.1,-0.06
2021-03-01 00:00:00,UPS,159.55,162.66,158.58,161.47,526363505.77,0,157.83,3.64,2.31
2021-02-26 00:00:00,UPS,158.58,159.225,156.59,157.83,550804763.38,0,157.51,0.32,0.2
2021-02-25 00:00:00,UPS,159.0,160.3,157.03,157.51,413999777.44,0,160.07,-2.56,-1.6
2021-02-24 00:00:00,UPS,160.28,161.9,159.08,160.07,475154379.49,0,160.81,-0.74,-0.46
2021-02-23 00:00:00,UPS,159.97,161.42,157.772,160.81,699850070.63,0,161.6,-0.79,-0.49
2021-02-22 00:00:00,UPS,159.72,162.51,158.01,161.6,626295337.82,0,160.54,1.06,0.66
2021-02-19 00:00:00,UPS,161.33,162.28,160.32,160.54,496045863.4,0,162.12,-1.58,-0.97
2021-02-18 00:00:00,UPS,159.8,162.62,158.62,162.12,578199661.07,0,161.0,1.12,0.7
2021-02-17 00:00:00,UPS,161.09,161.905,159.9,161.0,475241639.09,0,161.75,-0.75,-0.46
2021-02-16 00:00:00,UPS,163.95,163.97,161.08,161.75,464668457.01,0,163.39,-1.64,-1.0
2021-02-12 00:00:00,UPS,162.47,163.834,162.04,163.39,417769364.47,0,162.37,1.02,0.63
2021-02-11 00:00:00,UPS,166.0,166.275,161.19,162.37,518174172.57,0,165.66,-3.29,-1.99
2021-02-10 00:00:00,UPS,167.94,168.23,164.54,165.66,488230595.18,0,166.92,-1.26,-0.75
2021-02-09 00:00:00,UPS,163.5,167.596,162.78,166.92,508270344.3,0,163.45,3.47,2.12
2021-02-08 00:00:00,UPS,164.44,165.47,162.81,163.45,366900267.78,0,164.38,-0.93,-0.57
2021-02-05 00:00:00,UPS,163.0,164.54,161.72,164.38,419116641.83,0,162.26,2.12,1.31
2021-02-04 00:00:00,UPS,159.23,162.41,157.825,162.26,452484128.1,0,159.71,2.55,1.6
2021-02-03 00:00:00,UPS,160.69,161.47,156.85,159.71,726422536.41,0,160.29,-0.58,-0.36
2021-02-02 00:00:00,UPS,163.2,164.2,156.93,160.29,1727916054.37,0,156.26,4.03,2.58
2021-02-01 00:00:00,UPS,156.2,157.15,154.91,156.26,746949169.13,0,155.0,1.26,0.81
2021-01-29 00:00:00,UPS,157.02,157.7,154.76,155.0,778810840.54,0,157.27,-2.27,-1.44
2021-01-28 00:00:00,UPS,159.07,159.38,157.2,157.27,404737452.81,0,157.65,-0.38,-0.24
2021-01-27 00:00:00,UPS,159.5,159.595,156.99,157.65,444922222.77,0,161.43,-3.78,-2.34
2021-01-26 00:00:00,UPS,162.38,162.76,160.49,161.43,478445456.61,0,161.75,-0.32,-0.2
2021-01-25 00:00:00,UPS,159.71,164.142,159.11,161.75,637183753.55,0,158.99,2.76,1.74
2021-01-22 00:00:00,UPS,158.4,160.45,157.403,158.99,498598849.2,0,160.1,-1.11,-0.69
2021-01-21 00:00:00,UPS,159.34,161.7,159.22,160.1,321626074.45,0,159.84,0.26,0.16
2021-01-20 00:00:00,UPS,156.91,160.285,156.03,159.84,482154270.83,0,156.28,3.56,2.28
2021-01-19 00:00:00,UPS,159.7,159.8,156.05,156.28,713486826.75,0,158.9,-2.62,-1.65
2021-01-15 00:00:00,UPS,162.73,162.97,158.21,158.9,767720800.1,0,163.47,-4.57,-2.8
2021-01-14 00:00:00,UPS,163.7,165.59,163.22,163.47,430338095.88,0,163.11,0.36,0.22
2021-01-13 00:00:00,UPS,163.55,164.45,161.95,163.11,430798798.9,0,163.91,-0.8,-0.49
2021-01-12 00:00:00,UPS,162.37,164.45,159.93,163.91,751175365.33,0,161.86,2.05,1.27
2021-01-11 00:00:00,UPS,158.87,161.94,157.74,161.86,980080913.03,0,158.39,3.47,2.19
2021-01-08 00:00:00,UPS,159.11,159.9,157.47,158.39,766158657.91,0,159.0,-0.61,-0.38
2021-01-07 00:00:00,UPS,161.62,161.87,158.143,159.0,958587160.1,0,161.04,-2.04,-1.27
2021-01-06 00:00:00,UPS,160.28,163.13,160.006,161.04,817864566.13,0,161.52,-0.48,-0.3
2021-01-05 00:00:00,UPS,162.68,164.01,161.23,161.52,641974987.07,0,163.8,-2.28,-1.39
2021-01-04 00:00:00,UPS,168.4,168.54,161.88,163.8,704529852.87,0,168.4,-4.6,-2.73
2020-12-31 00:00:00,UPS,166.79,168.48,165.437,168.4,392647086.46,0,166.23,2.17,1.31
2020-12-30 00:00:00,UPS,169.82,169.82,166.15,166.23,519160975.02,0,169.03,-2.8,-1.66
2020-12-29 00:00:00,UPS,171.75,172.01,168.4,169.03,485568159.61,0,171.36,-2.33,-1.36
2020-12-28 00:00:00,UPS,172.6,173.2,170.9,171.36,319657534.51,0,172.19,-0.83,-0.48
2020-12-24 00:00:00,UPS,173.01,173.35,171.47,172.19,173201403.05,0,172.64,-0.45,-0.26
2020-12-23 00:00:00,UPS,174.38,175.94,172.62,172.64,442947654.25,0,174.56,-1.92,-1.1
2020-12-22 00:00:00,UPS,172.33,175.25,172.015,174.56,434285727.89,0,172.59,1.97,1.14
2020-12-21 00:00:00,UPS,172.44,174.44,171.03,172.59,548816052.9,0,175.18,-2.59,-1.48
2020-12-18 00:00:00,UPS,173.05,175.49,171.14,175.18,1493126238.93,0,174.49,0.69,0.4
2020-12-17 00:00:00,UPS,170.74,175.315,170.035,174.49,760753001.87,0,170.13,4.36,2.56
2020-12-16 00:00:00,UPS,167.4,171.66,167.4,170.13,581458811.71,0,167.17,2.96,1.77
2020-12-15 00:00:00,UPS,167.1,168.39,166.14,167.17,427657176.81,0,166.62,0.55,0.33
2021-01-29 00:00:00,UPS,157.02,157.7,154.76,155.0,778810840.54,0,157.27,-2.27,-1.44
2021-01-28 00:00:00,UPS,159.07,159.38,157.2,157.27,404737452.81,0,157.65,-0.38,-0.24
2021-01-27 00:00:00,UPS,159.5,159.595,156.99,157.65,444922222.77,0,161.43,-3.78,-2.34
2021-01-26 00:00:00,UPS,162.38,162.76,160.49,161.43,478445456.61,0,161.75,-0.32,-0.2
2021-01-25 00:00:00,UPS,159.71,164.142,159.11,161.75,637183753.55,0,158.99,2.76,1.74
2021-01-22 00:00:00,UPS,158.4,160.45,157.403,158.99,498598849.2,0,160.1,-1.11,-0.69
2021-01-21 00:00:00,UPS,159.34,161.7,159.22,160.1,321626074.45,0,159.84,0.26,0.16
2021-01-20 00:00:00,UPS,156.91,160.285,156.03,159.84,482154270.83,0,156.28,3.56,2.28
2021-01-19 00:00:00,UPS,159.7,159.8,156.05,156.28,713486826.75,0,158.9,-2.62,-1.65
2021-01-15 00:00:00,UPS,162.73,162.97,158.21,158.9,767720800.1,0,163.47,-4.57,-2.8
2021-01-14 00:00:00,UPS,163.7,165.59,163.22,163.47,430338095.88,0,163.11,0.36,0.22
2021-01-13 00:00:00,UPS,163.55,164.45,161.95,163.11,430798798.9,0,163.91,-0.8,-0.49
2021-01-12 00:00:00,UPS,162.37,164.45,159.93,163.91,751175365.33,0,161.86,2.05,1.27
2021-01-11 00:00:00,UPS,158.87,161.94,157.74,161.86,980080913.03,0,158.39,3.47,2.19
2021-01-08 00:00:00,UPS,159.11,159.9,157.47,158.39,766158657.91,0,159.0,-0.61,-0.38
2021-01-07 00:00:00,UPS,161.62,161.87,158.143,159.0,958587160.1,0,161.04,-2.04,-1.27
2021-01-06 00:00:00,UPS,160.28,163.13,160.006,161.04,817864566.13,0,161.52,-0.48,-0.3
2021-01-05 00:00:00,UPS,162.68,164.01,161.23,161.52,641974987.07,0,163.8,-2.28,-1.39
2021-01-04 00:00:00,UPS,168.4,168.54,161.88,163.8,704529852.87,0,168.4,-4.6,-2.73
2020-12-31 00:00:00,UPS,166.79,168.48,165.437,168.4,392647086.46,0,166.23,2.17,1.31
2020-12-30 00:00:00,UPS,169.82,169.82,166.15,166.23,519160975.02,0,169.03,-2.8,-1.66
2020-12-29 00:00:00,UPS,171.75,172.01,168.4,169.03,485568159.61,0,171.36,-2.33,-1.36
2020-12-28 00:00:00,UPS,172.6,173.2,170.9,171.36,319657534.51,0,172.19,-0.83,-0.48
2020-12-24 00:00:00,UPS,173.01,173.35,171.47,172.19,173201403.05,0,172.64,-0.45,-0.26
2020-12-23 00:00:00,UPS,174.38,175.94,172.62,172.64,442947654.25,0,174.56,-1.92,-1.1
2020-12-22 00:00:00,UPS,172.33,175.25,172.015,174.56,434285727.89,0,172.59,1.97,1.14
2020-12-21 00:00:00,UPS,172.44,174.44,171.03,172.59,548816052.9,0,175.18,-2.59,-1.48
2020-12-18 00:00:00,UPS,173.05,175.49,171.14,175.18,1493126238.93,0,174.49,0.69,0.4
2020-12-17 00:00:00,UPS,170.74,175.315,170.035,174.49,760753001.87,0,170.13,4.36,2.56
2020-12-16 00:00:00,UPS,167.4,171.66,167.4,170.13,581458811.71,0,167.17,2.96,1.77
2020-12-15 00:00:00,UPS,167.1,168.39,166.14,167.17,427657176.81,0,166.62,0.55,0.33
2020-12-14 00:00:00,UPS,171.78,171.78,166.59,166.62,571608290.62,0,168.4,-1.78,-1.06
2020-12-11 00:00:00,UPS,165.5,169.02,165.35,168.4,800620732.29,0,164.24,4.16,2.53
2020-12-10 00:00:00,UPS,167.045,167.462,163.63,164.24,776493027.23,0,169.18,-4.94,-2.92
2020-12-09 00:00:00,UPS,167.54,169.85,167.01,169.18,561538480.98,0,166.39,2.79,1.68
2020-12-08 00:00:00,UPS,167.55,168.24,165.92,166.39,647053353.42,0,167.47,-1.08,-0.64
2020-12-07 00:00:00,UPS,168.13,168.29,166.1,167.47,520923100.38,0,167.25,0.22,0.13
2020-12-04 00:00:00,UPS,168.07,168.6,166.34,167.25,462950777.53,0,167.83,-0.58,-0.35
2020-12-03 00:00:00,UPS,169.12,170.231,167.42,167.83,479811725.7,0,168.83,-1.0,-0.59
2020-12-02 00:00:00,UPS,167.92,168.96,166.5,168.83,646566409.06,0,167.96,0.87,0.52
2020-12-01 00:00:00,UPS,173.51,174.2,167.9,167.96,914882311.21,0,171.07,-3.11,-1.82
2020-11-30 00:00:00,UPS,169.57,171.23,168.11,171.07,802337040.76,0,168.89,2.18,1.29
2020-11-27 00:00:00,UPS,170.96,171.43,167.89,168.89,374062174.9,0,170.5,-1.61,-0.94
2020-11-25 00:00:00,UPS,172.11,172.99,169.38,170.5,597150425.61,0,172.69,-2.19,-1.27
2020-11-24 00:00:00,UPS,167.96,173.11,167.57,172.69,923742065.87,0,166.6,6.09,3.66
2020-11-23 00:00:00,UPS,165.5,166.73,163.91,166.6,625409051.26,0,163.76,2.84,1.73
2020-11-20 00:00:00,UPS,166.33,166.8,163.71,163.76,656398695.79,0,166.48,-2.72,-1.63
2020-11-19 00:00:00,UPS,168.0,168.0,165.7,166.48,523789724.96,0,168.45,-1.97,-1.17
2020-11-18 00:00:00,UPS,168.95,171.57,168.45,168.45,576979393.45,0,168.88,-0.43,-0.25
2020-11-17 00:00:00,UPS,168.625,169.4,165.5,168.88,609556079.83,0,168.44,0.44,0.26
2020-11-16 00:00:00,UPS,163.16,168.484,161.25,168.44,732281016.47,0,163.67,4.77,2.91
2020-11-13 00:00:00,UPS,164.2,165.1,163.16,163.67,431132960.96,0,163.11,0.56,0.34
2020-11-12 00:00:00,UPS,165.34,165.5,161.669,163.11,663455703.26,0,166.64,-3.53,-2.12
2020-11-11 00:00:00,UPS,166.365,168.22,165.18,166.64,539772229.65,0,164.73,1.91,1.16
2020-11-10 00:00:00,UPS,163.73,165.26,161.03,164.73,545665420.11,0,163.22,1.51,0.93
2020-11-09 00:00:00,UPS,164.1,167.525,158.71,163.22,1537994208.95,0,167.68,-4.46,-2.66
2020-11-06 00:00:00,UPS,164.08,168.3,163.075,167.68,493128670.86,0,163.56,4.12,2.52
2020-11-05 00:00:00,UPS,165.6,165.85,162.21,163.56,656001448.56,0,162.58,0.98,0.6
2020-11-04 00:00:00,UPS,163.73,165.335,160.56,162.58,577122233.82,0,163.48,-0.9,-0.55
2020-11-03 00:00:00,UPS,161.25,164.65,160.35,163.48,513660230.8,0,159.55,3.93,2.46
2020-11-02 00:00:00,UPS,158.88,161.19,156.97,159.55,626094804.38,0,157.11,2.44,1.55
2020-10-30 00:00:00,UPS,160.01,160.46,155.25,157.11,823444605.63,0,161.36,-4.25,-2.63
2020-10-29 00:00:00,UPS,158.07,164.02,157.735,161.36,947045514.87,0,155.78,5.58,3.58
2020-10-28 00:00:00,UPS,163.16,163.87,155.6,155.78,1780436471.21,0,170.84,-15.06,-8.82
2020-10-27 00:00:00,UPS,170.89,171.67,168.607,170.84,981450211.61,0,168.0,2.84,1.69
2020-10-26 00:00:00,UPS,170.92,170.92,166.18,168.0,681085296.38,0,171.9,-3.9,-2.27
2020-10-23 00:00:00,UPS,172.42,173.75,171.31,171.9,475370973.59,0,172.99,-1.09,-0.63
2020-10-22 00:00:00,UPS,174.36,174.719,171.65,172.99,673653535.85,0,172.73,0.26,0.15
2020-10-21 00:00:00,UPS,176.43,178.01,172.65,172.73,772029650.49,0,174.88,-2.15,-1.23
2020-10-20 00:00:00,UPS,173.14,177.35,172.36,174.88,488632922.78,0,172.1,2.78,1.62
2020-10-19 00:00:00,UPS,174.76,176.2,171.11,172.1,500367273.47,0,174.44,-2.34,-1.34
2020-10-16 00:00:00,UPS,175.07,176.19,174.26,174.44,604024116.82,0,174.04,0.4,0.23
2020-10-15 00:00:00,UPS,172.67,174.06,172.01,174.04,530353720.88,0,174.38,-0.34,-0.2
2020-10-14 00:00:00,UPS,175.715,175.96,173.8,174.38,552977730.57,0,175.33,-0.95,-0.54
2020-10-13 00:00:00,UPS,175.5,177.15,174.89,175.33,530460587.83,0,176.54,-1.21,-0.69
2020-10-12 00:00:00,UPS,174.86,176.8,174.21,176.54,399996985.73,0,174.69,1.85,1.06
2020-10-09 00:00:00,UPS,174.51,175.38,172.86,174.69,498972505.72,0,174.21,0.48,0.28
2020-10-08 00:00:00,UPS,175.55,175.976,173.45,174.21,487956822.38,0,174.99,-0.78,-0.45
2020-10-07 00:00:00,UPS,170.61,175.44,170.305,174.99,669570206.06,0,169.35,5.64,3.33
2020-10-06 00:00:00,UPS,169.28,172.05,168.72,169.35,626290870.52,0,169.16,0.19,0.11
2020-10-05 00:00:00,UPS,168.16,169.96,167.44,169.16,463091765.17,0,166.96,2.2,1.32
2020-10-02 00:00:00,UPS,166.66,168.5,165.75,166.96,748202143.85,0,167.65,-0.69,-0.41
2020-10-01 00:00:00,UPS,169.04,170.8,166.88,167.65,832804399.19,0,166.63,1.02,0.61
2020-09-30 00:00:00,UPS,169.29,169.67,165.5,166.63,907959137.65,0,168.5,-1.87,-1.11
2020-09-29 00:00:00,UPS,168.81,170.465,167.115,168.5,530318092.2,0,168.9,-0.4,-0.24
2020-09-28 00:00:00,UPS,169.91,171.98,168.49,168.9,737855021.88,0,166.12,2.78,1.67
2020-09-25 00:00:00,UPS,159.27,167.0,159.27,166.12,725689795.92,0,160.41,5.71,3.56
2020-09-24 00:00:00,UPS,161.12,162.57,157.991,160.41,477244781.06,0,161.55,-1.14,-0.71
2020-09-23 00:00:00,UPS,162.5,165.76,161.34,161.55,628349122.08,0,161.89,-0.34,-0.21
