date,symbol,open,high,low,close,volume,turnover,preclose,risefall,risefallratio
2021-01-29 00:00:00,VIAC,50.99,53.28,48.385,48.5,1169838577.49,0,50.61,-2.105,-4.16
2021-01-28 00:00:00,VIAC,55.07,56.17,48.219,50.605,1513817819.39,0,56.0,-5.395,-9.63
2021-01-27 00:00:00,VIAC,52.273,60.73,52.1,56.0,2503291605.95,0,51.92,4.08,7.86
2021-01-26 00:00:00,VIAC,48.244,52.3,48.09,51.92,948992831.8,0,47.71,4.21,8.82
2021-01-25 00:00:00,VIAC,45.42,51.29,45.33,47.71,1168145676.48,0,45.58,2.13,4.67
2021-01-22 00:00:00,VIAC,44.52,45.82,43.63,45.58,649660912.22,0,45.11,0.47,1.04
2021-01-21 00:00:00,VIAC,44.0,45.74,43.623,45.11,1090227196.57,0,43.36,1.75,4.04
2021-01-20 00:00:00,VIAC,43.73,44.24,42.89,43.36,565788939.47,0,43.75,-0.39,-0.89
2021-01-19 00:00:00,VIAC,44.12,44.5,43.341,43.75,922352138.02,0,45.3,-1.55,-3.42
2021-01-15 00:00:00,VIAC,45.59,46.315,44.85,45.3,522870896.74,0,46.0,-0.7,-1.52
2021-01-14 00:00:00,VIAC,43.12,46.86,42.91,46.0,1354058646.34,0,43.12,2.88,6.68
2021-01-13 00:00:00,VIAC,41.58,43.43,41.41,43.12,621271596.97,0,41.78,1.34,3.21
2021-01-12 00:00:00,VIAC,41.36,42.59,41.21,41.78,524163808.52,0,41.06,0.72,1.75
2021-01-11 00:00:00,VIAC,39.6,41.17,39.44,41.06,295898561.98,0,40.06,1.0,2.5
2021-01-08 00:00:00,VIAC,40.01,40.21,39.53,40.06,446136035.4,0,40.12,-0.06,-0.15
2021-01-07 00:00:00,VIAC,39.995,40.38,39.35,40.12,524475734.29,0,40.2,-0.08,-0.2
2021-01-06 00:00:00,VIAC,37.85,40.74,37.56,40.2,808035294.76,0,36.99,3.21,8.68
2021-01-05 00:00:00,VIAC,36.64,37.04,36.207,36.99,481807469.55,0,36.6,0.39,1.07
2021-01-04 00:00:00,VIAC,37.3,37.76,36.31,36.6,459838503.83,0,37.26,-0.66,-1.77
2020-12-31 00:00:00,VIAC,36.75,37.455,36.55,37.26,285324196.07,0,36.9,0.36,0.98
2020-12-30 00:00:00,VIAC,36.89,37.45,36.662,36.9,194393292.86,0,36.72,0.18,0.49
2020-12-29 00:00:00,VIAC,36.81,36.985,36.4,36.72,300436521.63,0,36.73,-0.01,-0.03
2020-12-28 00:00:00,VIAC,36.09,37.03,36.03,36.73,224358409.17,0,35.99,0.74,2.06
2020-12-24 00:00:00,VIAC,35.74,36.03,35.45,35.99,169400967.62,0,35.95,0.04,0.11
2020-12-23 00:00:00,VIAC,34.92,36.44,34.91,35.95,448179791.02,0,34.89,1.06,3.04
2020-12-22 00:00:00,VIAC,34.88,35.05,34.12,34.89,305708034.3,0,34.85,0.04,0.11
2020-12-21 00:00:00,VIAC,34.58,34.892,34.13,34.85,503567389.2,0,35.26,-0.41,-1.16
2020-12-18 00:00:00,VIAC,35.48,35.796,34.865,35.26,456103452.44,0,36.2,-0.94,-2.6
2020-12-17 00:00:00,VIAC,36.03,36.28,35.39,36.2,383665532.72,0,35.89,0.31,0.86
2020-12-16 00:00:00,VIAC,35.17,36.42,34.91,35.89,753280648.15,0,35.14,0.75,2.13
2020-12-15 00:00:00,VIAC,34.93,35.415,34.45,35.14,311798417.81,0,34.67,0.47,1.36
2020-12-14 00:00:00,VIAC,35.85,35.91,34.365,34.67,720937226.71,0,35.6,-0.93,-2.61
2020-12-11 00:00:00,VIAC,35.46,35.82,34.91,35.6,350997820.68,0,35.87,-0.27,-0.75
2020-12-10 00:00:00,VIAC,35.933,36.605,35.57,35.87,466064142.39,0,36.44,-0.57,-1.56
2020-12-09 00:00:00,VIAC,36.48,36.665,36.057,36.44,429520343.58,0,36.65,-0.21,-0.57
2020-12-08 00:00:00,VIAC,36.8,37.322,36.46,36.65,393212171.11,0,36.82,-0.17,-0.46
2020-12-07 00:00:00,VIAC,36.64,36.87,36.08,36.82,282656748.05,0,36.95,-0.13,-0.35
2020-12-04 00:00:00,VIAC,36.66,37.0,36.24,36.95,321276953.82,0,36.59,0.365,1.0
2020-12-03 00:00:00,VIAC,36.59,37.016,36.25,36.585,373031327.34,0,36.37,0.215,0.59
2020-12-02 00:00:00,VIAC,36.19,36.56,35.59,36.37,340833370.13,0,36.36,0.01,0.03
2020-12-01 00:00:00,VIAC,35.5,37.24,35.37,36.36,672893751.17,0,35.28,1.08,3.06
2020-11-30 00:00:00,VIAC,34.84,35.41,34.82,35.28,653843605.01,0,35.07,0.215,0.61
2020-11-27 00:00:00,VIAC,34.79,35.28,34.7,35.065,136784387.31,0,34.82,0.245,0.7
2020-11-25 00:00:00,VIAC,34.48,34.89,33.5,34.82,417606174.56,0,34.51,0.31,0.9
2020-11-24 00:00:00,VIAC,34.549,34.92,34.14,34.51,432198006.41,0,34.62,-0.11,-0.32
2020-11-23 00:00:00,VIAC,34.25,35.48,34.2,34.62,515940817.58,0,33.99,0.63,1.85
2020-11-20 00:00:00,VIAC,33.41,34.098,33.13,33.99,575505538.48,0,33.43,0.56,1.68
2020-11-19 00:00:00,VIAC,32.4,33.58,32.24,33.43,306766866.8,0,32.7,0.73,2.23
2020-11-18 00:00:00,VIAC,32.5,33.245,32.09,32.7,270880073.07,0,32.29,0.41,1.27
2020-11-17 00:00:00,VIAC,31.6,32.892,30.99,32.29,318636283.74,0,31.9,0.39,1.22
2020-11-16 00:00:00,VIAC,30.77,32.53,30.62,31.9,671202046.86,0,30.2,1.7,5.63
2020-11-13 00:00:00,VIAC,29.4,30.48,29.38,30.2,238412184.05,0,29.25,0.95,3.25
2020-11-12 00:00:00,VIAC,30.0,30.0,29.12,29.25,237303280.22,0,30.2,-0.95,-3.15
2020-11-11 00:00:00,VIAC,29.764,30.345,29.59,30.2,279041191.86,0,30.07,0.13,0.43
2020-11-10 00:00:00,VIAC,29.16,30.075,28.855,30.07,264213187.09,0,29.05,1.02,3.51
2020-11-09 00:00:00,VIAC,30.85,31.15,28.78,29.05,502804130.75,0,29.3,-0.25,-0.85
2020-11-06 00:00:00,VIAC,30.75,30.98,28.85,29.3,798421852.18,0,31.29,-1.99,-6.36
2020-11-05 00:00:00,VIAC,30.01,31.345,30.01,31.29,362366838.26,0,29.77,1.52,5.11
2020-11-04 00:00:00,VIAC,29.96,30.28,29.31,29.77,264855141.64,0,30.13,-0.36,-1.19
2020-11-03 00:00:00,VIAC,30.0,30.48,29.69,30.13,373756391.75,0,29.6,0.53,1.79
2020-11-02 00:00:00,VIAC,28.8,29.655,28.36,29.6,325510059.46,0,28.57,1.03,3.61
2020-10-30 00:00:00,VIAC,27.8,28.59,27.661,28.57,344380450.96,0,28.13,0.44,1.56
2020-10-29 00:00:00,VIAC,27.66,28.3,27.52,28.13,208698631.35,0,27.8,0.33,1.19
2020-10-28 00:00:00,VIAC,27.5,28.165,27.4,27.8,344690011.63,0,28.21,-0.41,-1.45
2020-10-27 00:00:00,VIAC,28.56,28.64,28.06,28.21,235429108.08,0,28.75,-0.54,-1.88
2020-10-26 00:00:00,VIAC,28.64,28.94,28.29,28.75,211856732.19,0,29.28,-0.53,-1.81
2020-10-23 00:00:00,VIAC,29.3,29.5,28.7,29.28,171004037.24,0,29.1,0.18,0.62
2020-10-22 00:00:00,VIAC,28.7,29.5,28.6,29.1,266448892.94,0,28.47,0.63,2.21
2020-10-21 00:00:00,VIAC,27.46,28.57,27.1,28.47,261166536.09,0,27.46,1.01,3.68
2020-10-20 00:00:00,VIAC,27.42,27.773,27.105,27.46,252766586.48,0,27.13,0.33,1.22
2020-10-19 00:00:00,VIAC,28.15,28.17,27.01,27.13,422927360.95,0,27.94,-0.81,-2.9
2020-10-16 00:00:00,VIAC,27.97,28.02,27.43,27.94,208896219.6,0,27.83,0.11,0.4
2020-10-15 00:00:00,VIAC,27.47,27.865,27.215,27.83,190387653.68,0,27.34,0.49,1.79
2020-10-14 00:00:00,VIAC,27.5,27.79,27.205,27.34,195102943.41,0,27.45,-0.11,-0.4
2020-10-13 00:00:00,VIAC,27.73,28.18,27.085,27.45,367900920.6,0,28.33,-0.875,-3.09
2020-10-12 00:00:00,VIAC,28.83,28.97,28.27,28.325,188181603.82,0,28.92,-0.59,-2.04
2020-10-09 00:00:00,VIAC,29.892,30.08,28.9,28.915,167215367.72,0,29.61,-0.695,-2.35
2020-10-08 00:00:00,VIAC,29.05,29.68,28.74,29.61,280801487.62,0,28.85,0.76,2.63
2020-10-07 00:00:00,VIAC,28.95,29.105,28.64,28.85,140485735.33,0,28.45,0.4,1.41
2020-10-06 00:00:00,VIAC,28.75,29.49,28.43,28.45,251589595.64,0,28.39,0.06,0.21
2020-10-05 00:00:00,VIAC,28.1,28.63,28.06,28.39,166529351.35,0,27.97,0.42,1.5
2020-10-02 00:00:00,VIAC,27.15,28.37,26.985,27.97,253570817.76,0,27.68,0.29,1.05
2020-10-01 00:00:00,VIAC,28.16,28.16,27.03,27.68,382583329.26,0,28.01,-0.33,-1.18
2020-09-30 00:00:00,VIAC,29.15,29.505,27.88,28.01,267149931.89,0,28.96,-0.95,-3.28
2020-09-29 00:00:00,VIAC,29.65,29.91,28.9,28.96,334191602.08,0,29.84,-0.88,-2.95
2020-09-28 00:00:00,VIAC,29.99,30.19,29.573,29.84,278652777.88,0,29.53,0.31,1.05
2020-09-25 00:00:00,VIAC,28.86,29.59,28.84,29.53,276491948.78,0,29.15,0.38,1.3
2020-09-24 00:00:00,VIAC,28.57,29.5,28.11,29.15,392758983.89,0,28.82,0.33,1.15
2020-09-23 00:00:00,VIAC,29.72,30.01,28.64,28.82,283673897.37,0,29.41,-0.585,-1.99
2020-09-22 00:00:00,VIAC,29.23,29.825,28.97,29.405,258836115.94,0,28.99,0.415,1.43
2020-09-21 00:00:00,VIAC,29.51,29.72,28.77,28.99,404754452.36,0,30.16,-1.17,-3.88
2020-09-18 00:00:00,VIAC,30.11,30.478,29.895,30.16,404988823.89,0,30.26,-0.1,-0.33
2020-09-17 00:00:00,VIAC,30.26,30.811,29.895,30.26,359393477.88,0,30.68,-0.42,-1.37
2020-09-16 00:00:00,VIAC,30.38,31.4,29.928,30.68,293171186.51,0,30.13,0.55,1.83
2020-09-15 00:00:00,VIAC,30.08,30.84,29.865,30.13,339721205.97,0,29.73,0.4,1.35
