date,symbol,open,high,low,close,volume,turnover,preclose,risefall,risefallratio
2021-05-10 00:00:00,WMT,140.5,142.07,140.31,140.91,1236951969.99,0,140.2,0.71,0.51
2021-05-07 00:00:00,WMT,141.43,141.698,139.32,140.24,1095873491.33,0,141.05,-0.81,-0.57
2021-05-06 00:00:00,WMT,140.0,141.357,139.45,140.99,315482175.18,0,140.72,0.27,0.19
2021-05-05 00:00:00,WMT,140.92,141.2,140.25,140.59,860861785.49,0,140.72,-0.13,-0.09
2021-05-04 00:00:00,WMT,141.54,142.03,140.1,140.72,895074746.41,0,142.12,-1.4,-0.99
2021-05-03 00:00:00,WMT,139.68,142.74,139.68,142.12,1283934456.91,0,139.91,2.21,1.58
2021-04-30 00:00:00,WMT,139.71,139.99,139.11,139.91,916016702.64,0,139.63,0.28,0.2
2021-04-29 00:00:00,WMT,137.9,140.0,137.9,139.63,909239334.12,0,137.89,1.74,1.26
2021-04-28 00:00:00,WMT,138.35,138.59,137.865,137.89,657425530.27,0,138.38,-0.49,-0.35
2021-04-27 00:00:00,WMT,138.0,138.945,137.55,138.38,745026845.15,0,137.91,0.47,0.34
2021-04-26 00:00:00,WMT,139.91,140.0,137.64,137.91,1052354046.02,0,139.9,-1.99,-1.42
2021-04-23 00:00:00,WMT,139.1,140.342,139.03,139.9,1070352311.29,0,139.67,0.23,0.16
2021-04-22 00:00:00,WMT,141.08,141.45,139.42,139.67,921185809.48,0,141.2,-1.53,-1.08
2021-04-21 00:00:00,WMT,140.77,141.7,140.53,141.2,816002986.11,0,140.79,0.41,0.29
2021-04-20 00:00:00,WMT,139.42,141.77,138.82,140.79,1144778815.12,0,139.71,1.08,0.77
2021-04-19 00:00:00,WMT,140.29,140.57,139.61,139.71,898923618.92,0,140.61,-0.9,-0.64
2021-04-16 00:00:00,WMT,140.89,140.96,139.71,140.61,1241259103.61,0,140.16,0.45,0.32
2021-04-15 00:00:00,WMT,139.4,140.47,139.2,140.16,1012440350.0,0,139.32,0.84,0.6
2021-04-14 00:00:00,WMT,139.12,139.46,138.42,139.32,1014429603.12,0,139.37,-0.05,-0.04
2021-04-13 00:00:00,WMT,139.8,140.0,138.87,139.37,807819061.55,0,139.8,-0.43,-0.31
2021-04-12 00:00:00,WMT,140.07,140.38,139.34,139.8,872012106.17,0,139.78,0.02,0.01
2021-04-09 00:00:00,WMT,139.63,140.09,138.714,139.78,961108826.75,0,139.71,0.07,0.05
2021-04-08 00:00:00,WMT,140.45,141.12,139.66,139.71,891014301.45,0,139.8,-0.09,-0.06
2021-04-07 00:00:00,WMT,140.3,140.75,139.65,139.8,950305029.01,0,140.1,-0.3,-0.21
2021-04-06 00:00:00,WMT,139.11,140.948,138.52,140.1,1449393160.07,0,139.43,0.67,0.48
2021-04-05 00:00:00,WMT,136.72,140.16,136.2,139.43,1858901784.23,0,135.62,3.81,2.81
2021-04-01 00:00:00,WMT,135.94,136.89,135.33,135.62,1158624297.2,0,135.83,-0.21,-0.15
2021-03-31 00:00:00,WMT,135.55,136.86,134.96,135.83,1113848546.35,0,135.74,0.09,0.07
