date,symbol,open,high,low,close,volume,turnover,preclose,risefall,risefallratio
2021-05-10 00:00:00,Z,114.98,115.92,111.29,112.47,381895290.29,0,118.55,-6.075,-5.12
2021-05-07 00:00:00,Z,116.9,121.25,116.718,118.545,503347649.84,0,113.75,4.795,4.22
2021-05-06 00:00:00,Z,112.75,115.43,108.29,113.75,369597885.99,0,121.45,-7.7,-6.34
2021-05-05 00:00:00,Z,123.52,124.56,112.11,113.8,906528292.29,0,121.45,-7.65,-6.3
2021-05-04 00:00:00,Z,123.42,123.44,116.52,121.45,786511613.99,0,125.7,-4.25,-3.38
2021-05-03 00:00:00,Z,130.15,131.4,123.69,125.7,432538137.29,0,130.12,-4.42,-3.4
2021-04-30 00:00:00,Z,129.69,133.36,128.99,130.12,293945558.87,0,132.44,-2.32,-1.75
2021-04-29 00:00:00,Z,138.1,138.1,131.61,132.44,231649663.53,0,135.87,-3.43,-2.52
2021-04-28 00:00:00,Z,138.0,138.0,133.77,135.87,296831769.43,0,138.99,-3.12,-2.24
2021-04-27 00:00:00,Z,141.31,142.8,138.18,138.99,209935613.78,0,141.19,-2.2,-1.56
2021-04-26 00:00:00,Z,137.78,141.4,136.5,141.19,246515843.44,0,137.0,4.19,3.06
2021-04-23 00:00:00,Z,132.93,137.683,132.93,137.0,304104226.03,0,132.47,4.53,3.42
2021-04-22 00:00:00,Z,136.952,136.952,130.66,132.47,240240802.47,0,135.06,-2.59,-1.92
2021-04-21 00:00:00,Z,127.0,135.21,126.18,135.06,251082004.57,0,129.2,5.86,4.54
2021-04-20 00:00:00,Z,130.86,134.06,126.4,129.2,412323234.65,0,133.0,-3.8,-2.86
2021-04-19 00:00:00,Z,133.47,134.885,129.23,133.0,382669454.89,0,134.61,-1.61,-1.2
2021-04-16 00:00:00,Z,141.22,141.32,133.8,134.61,429228131.9,0,141.4,-6.79,-4.8
2021-04-15 00:00:00,Z,138.84,141.66,137.1,141.4,301920520.47,0,136.46,4.94,3.62
2021-04-14 00:00:00,Z,144.99,147.521,135.94,136.46,370262803.85,0,144.11,-7.65,-5.31
2021-04-13 00:00:00,Z,144.2,145.69,140.77,144.11,312732785.77,0,142.01,2.1,1.48
2021-04-12 00:00:00,Z,143.9,144.95,138.06,142.01,320363094.57,0,145.11,-3.1,-2.14
2021-04-09 00:00:00,Z,144.9,145.98,141.11,145.11,279090372.1,0,146.71,-1.6,-1.09
2021-04-08 00:00:00,Z,140.25,147.86,139.73,146.71,510934924.36,0,137.91,8.8,6.38
2021-04-07 00:00:00,Z,139.42,141.66,136.557,137.91,235998959.11,0,140.29,-2.38,-1.7
2021-04-06 00:00:00,Z,134.42,142.15,134.0,140.29,628296081.69,0,133.48,6.81,5.1
2021-04-05 00:00:00,Z,135.66,136.688,130.3,133.48,472950396.62,0,133.41,0.07,0.05
2021-04-01 00:00:00,Z,134.65,137.08,131.59,133.41,356394197.8,0,129.64,3.77,2.91
2021-03-31 00:00:00,Z,126.0,131.0,125.692,129.64,629015000.18,0,123.76,5.88,4.75
2021-03-30 00:00:00,Z,118.32,123.959,116.51,123.76,420423756.17,0,119.63,4.13,3.45
2021-03-29 00:00:00,Z,125.9,127.23,118.26,119.63,533000422.84,0,127.24,-7.61,-5.98
2021-03-26 00:00:00,Z,125.93,130.86,121.41,127.24,455283511.26,0,124.92,2.32,1.86
2021-03-25 00:00:00,Z,122.73,127.58,120.22,124.92,605946467.19,0,127.36,-2.44,-1.92
2021-03-24 00:00:00,Z,136.14,136.65,126.32,127.36,385757340.83,0,134.49,-7.13,-5.3
2021-03-23 00:00:00,Z,137.95,139.16,132.68,134.49,251996967.67,0,137.91,-3.42,-2.48
2021-03-22 00:00:00,Z,137.9,139.93,134.892,137.91,294837199.17,0,134.61,3.3,2.45
2021-03-19 00:00:00,Z,132.35,136.23,129.26,134.61,432333479.77,0,131.78,2.83,2.15
2021-03-18 00:00:00,Z,139.83,140.25,131.43,131.78,737570907.18,0,143.88,-12.1,-8.41
